slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jamesle01,LeBron James,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2393,17,24,2,5,10,13,1,11,5,2,0,3,1,40.9
paulch01,Chris Paul,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1787,10,18,3,5,4,4,0,3,8,3,1,1,2,26.8
favorde01,Derrick Favors,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,WIN,2224,8,14,2,3,2,4,8,8,3,1,0,1,2,21.9
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,LOSS,2232,7,19,2,3,3,4,1,8,13,4,0,3,4,19.7
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,WIN,1997,3,5,0,0,7,12,5,10,3,2,3,3,2,17.6
rubiori01,Ricky Rubio,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,WIN,2128,6,16,5,8,5,6,0,7,9,1,0,3,4,17.6
greenge01,Gerald Green,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1576,7,17,5,12,2,2,3,9,1,0,1,0,2,17.3
collida01,Darren Collison,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,2009,7,11,2,4,0,0,0,5,6,1,0,1,0,16.8
bjeline01,Nemanja Bjelica,MINNESOTA TIMBERWOLVES,AWAY,HOUSTON ROCKETS,LOSS,1139,5,9,2,4,4,5,2,6,2,2,0,1,3,15.7
mitchdo01,Donovan Mitchell,UTAH JAZZ,AWAY,OKLAHOMA CITY THUNDER,WIN,2557,10,25,0,7,8,9,0,6,2,1,0,4,1,13.9
oladivi01,Victor Oladipo,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,1687,9,18,2,8,2,2,0,3,6,2,0,6,3,12.9
breweco01,Corey Brewer,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,LOSS,1729,4,8,1,3,2,2,0,1,2,3,1,0,2,11.6
capelca01,Clint Capela,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1720,4,6,0,0,0,0,4,12,1,0,1,1,2,11.4
turnemy01,Myles Turner,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,2135,7,12,1,1,3,4,1,4,0,0,0,3,2,10.1
korveky01,Kyle Korver,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1854,4,8,4,8,0,0,0,3,1,1,0,0,2,9.8
youngth01,Thaddeus Young,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,2095,4,6,0,0,0,0,2,4,1,3,1,1,5,9.4
feltora01,Raymond Felton,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,LOSS,929,3,5,2,4,0,0,0,2,3,2,0,1,1,9.0
arizatr01,Trevor Ariza,HOUSTON ROCKETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2094,5,14,3,10,2,4,0,5,1,1,0,0,2,8.8
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,LOSS,1320,4,5,0,0,1,2,5,2,1,1,0,2,6,8.1
anthoca01,Carmelo Anthony,OKLAHOMA CITY THUNDER,HOME,UTAH JAZZ,LOSS,2275,6,18,2,9,3,4,0,9,0,1,0,1,3,7.9
