slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,1702,9,18,4,5,6,8,2,4,8,3,0,2,3,26.2
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,2215,10,19,4,8,6,7,1,8,11,3,0,8,4,24.5
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1856,13,20,3,4,4,5,4,2,0,0,1,3,1,24.5
griffbl01,Blake Griffin,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1749,13,19,0,2,2,3,1,4,3,1,0,0,2,23.7
millspa01,Paul Millsap,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,2032,10,20,0,2,3,5,2,9,5,5,1,2,3,22.3
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,2152,9,23,1,5,6,7,1,7,14,2,1,5,1,22.0
howardw01,Dwight Howard,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1752,8,10,0,0,4,10,7,8,3,1,2,3,3,21.4
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1503,5,9,0,1,7,8,3,5,8,4,1,4,3,21.0
templga01,Garrett Temple,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,1669,7,10,5,6,0,0,0,3,4,3,0,1,1,20.1
parkeja01,Jabari Parker,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1507,6,14,0,2,7,7,3,3,2,3,1,0,1,19.3
teletmi01,Mirza Teletović,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1257,7,9,7,9,1,2,0,0,1,0,1,0,1,19.1
bazemke01,Kent Bazemore,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1890,7,12,3,4,3,3,0,4,4,3,0,2,2,18.6
drumman01,Andre Drummond,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,2035,6,11,0,0,7,11,3,16,1,1,3,4,2,18.0
teaguje01,Jeff Teague,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1726,9,14,3,5,0,0,0,1,6,1,0,2,2,17.5
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,1702,6,7,0,0,2,2,3,5,2,2,2,3,1,16.5
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,1515,7,13,4,4,4,4,2,4,2,1,4,6,3,16.3
kanteen01,Enes Kanter,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,1239,9,14,0,1,2,4,3,7,1,1,1,3,2,15.8
ilyaser01,Ersan İlyasova,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,1699,8,13,4,6,1,2,2,2,0,0,0,0,3,15.5
leuerjo01,Jon Leuer,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,1683,6,10,1,2,2,2,2,1,3,1,1,0,2,15.1
greenje02,Jeff Green,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1630,5,12,2,5,6,7,1,4,3,0,1,1,1,14.5
turnemy01,Myles Turner,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1677,5,13,0,1,6,8,1,4,1,2,4,1,0,14.5
loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,2259,8,16,2,5,2,3,1,10,1,0,1,2,1,14.3
portibo01,Bobby Portis,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1080,7,9,1,1,1,3,2,3,1,0,0,0,1,14.3
speigma01,Marreese Speights,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1081,4,8,1,3,6,6,2,6,1,0,0,0,2,14.1
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1510,7,13,3,3,2,2,1,5,0,0,1,1,2,13.8
milescj01,C.J. Miles,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1295,8,14,4,7,0,0,0,4,1,0,0,0,4,13.7
schrode01,Dennis Schröder,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1944,6,14,2,5,3,4,0,3,10,1,0,4,1,13.7
chandwi01,Wilson Chandler,DENVER NUGGETS,AWAY,DETROIT PISTONS,LOSS,1889,9,18,1,4,2,2,3,6,0,0,0,2,1,13.5
paulch01,Chris Paul,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1715,4,11,0,1,1,1,1,7,10,2,0,1,2,12.9
muhamsh01,Shabazz Muhammad,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,LOSS,1273,6,9,0,0,3,3,3,1,0,0,1,1,1,12.8
georgpa01,Paul George,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1728,5,10,3,5,0,0,2,4,3,2,0,1,3,12.5
morrima03,Marcus Morris,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,1650,5,10,1,2,4,4,3,3,0,1,0,0,4,12.4
lopezro01,Robin Lopez,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1625,6,8,0,0,0,0,3,4,0,0,2,1,1,12.1
crawfja01,Jamal Crawford,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1560,6,10,3,5,1,1,0,3,2,0,1,2,1,12.0
redicjj01,J.J. Redick,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1467,5,9,2,3,2,2,1,1,1,2,0,1,1,12.0
morrima02,Markieff Morris,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,2307,5,16,1,4,7,9,1,6,3,0,2,2,1,11.6
smithis01,Ish Smith,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,1698,5,13,0,1,1,2,1,4,8,3,0,2,1,11.6
vaughra01,Rashad Vaughn,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1485,5,9,4,8,0,0,0,3,2,0,2,1,2,11.6
okafoja01,Jahlil Okafor,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,1365,7,11,0,0,0,2,0,5,0,1,3,1,1,11.5
dellama01,Matthew Dellavedova,MILWAUKEE BUCKS,HOME,SACRAMENTO KINGS,WIN,1262,4,7,2,3,0,0,1,4,4,2,0,2,0,11.4
laproni01,Nicolás Laprovíttola,SAN ANTONIO SPURS,HOME,LOS ANGELES CLIPPERS,LOSS,1316,4,5,3,4,0,0,1,1,5,0,0,2,1,11.2
gibsota01,Taj Gibson,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1483,4,8,0,0,1,1,5,5,1,1,2,2,1,10.7
biyombi01,Bismack Biyombo,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1440,4,6,0,0,1,4,3,9,1,0,3,1,3,10.6
thomptr01,Tristan Thompson,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1775,3,6,0,0,1,2,6,7,0,0,2,0,2,10.5
mcdankj01,K.J. McDaniels,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,LOSS,1147,5,6,1,2,2,2,0,2,0,0,1,1,2,10.3
smithjr01,J.R. Smith,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1926,3,7,3,7,2,2,0,1,1,3,1,1,2,10.2
fryech01,Channing Frye,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1105,4,9,4,8,0,0,0,2,2,2,0,0,3,10.1
gallida01,Danilo Gallinari,DENVER NUGGETS,AWAY,DETROIT PISTONS,LOSS,1749,5,14,2,7,4,5,1,2,2,0,0,0,1,10.1
korveky01,Kyle Korver,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1772,4,6,2,3,0,0,0,2,2,2,1,2,0,10.1
youngth01,Thaddeus Young,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1508,6,10,0,2,0,0,3,2,1,1,1,2,1,10.1
caldwke01,Kentavious Caldwell-Pope,DETROIT PISTONS,HOME,DENVER NUGGETS,WIN,1678,5,11,3,6,0,0,0,1,2,1,0,0,0,10.0
rodrise01,Sergio Rodríguez,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,1888,3,9,1,5,0,0,0,6,11,2,0,3,1,10.0
nurkiju01,Jusuf Nurkić,DENVER NUGGETS,AWAY,DETROIT PISTONS,LOSS,1424,5,8,0,0,0,0,4,8,1,2,1,4,3,9.8
sefolth01,Thabo Sefolosha,ATLANTA HAWKS,HOME,HOUSTON ROCKETS,WIN,1440,4,8,0,1,0,0,3,1,1,3,1,1,0,9.8
gordoaa01,Aaron Gordon,ORLANDO MAGIC,HOME,WASHINGTON WIZARDS,WIN,1467,3,7,2,4,1,2,1,3,4,0,1,0,1,9.6
porteot01,Otto Porter,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,1727,4,8,2,3,0,0,3,10,0,0,0,0,4,9.5
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,LOSS,1994,6,17,1,5,2,2,2,2,3,1,1,0,5,9.3
couside01,DeMarcus Cousins,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,1653,5,12,0,2,5,6,0,4,0,1,3,2,3,9.3
ellismo01,Monta Ellis,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,1943,1,2,0,1,0,0,0,7,8,2,0,1,1,9.3
farmajo01,Jordan Farmar,SACRAMENTO KINGS,AWAY,MILWAUKEE BUCKS,LOSS,1475,3,10,3,8,0,0,1,1,7,2,0,2,0,9.1
mbahalu01,Luc Mbah a Moute,LOS ANGELES CLIPPERS,AWAY,SAN ANTONIO SPURS,WIN,1462,5,9,2,4,1,1,0,1,1,1,0,1,2,8.9
mcderdo01,Doug McDermott,CHICAGO BULLS,AWAY,INDIANA PACERS,LOSS,1236,3,7,1,2,5,6,0,4,0,0,0,0,1,8.7
