team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,41,92,16,35,18,20,9,30,33,11,5,9,22
BOSTON CELTICS,240,44,86,17,38,17,22,10,42,29,5,9,17,20
MIAMI HEAT,240,39,77,10,29,5,19,7,38,25,3,6,19,20
DETROIT PISTONS,240,35,82,13,33,15,18,8,34,23,7,2,11,20
GOLDEN STATE WARRIORS,240,42,86,9,37,19,27,3,40,31,11,8,10,24
LOS ANGELES CLIPPERS,240,31,85,4,25,28,35,12,40,11,6,4,18,30
SAN ANTONIO SPURS,240,41,82,11,24,23,29,9,32,24,3,4,16,25
MINNESOTA TIMBERWOLVES,240,37,84,7,26,32,38,10,34,21,5,3,11,28
BROOKLYN NETS,240,44,97,19,46,10,15,9,32,24,5,5,11,19
ORLANDO MAGIC,240,47,94,10,26,11,14,12,37,26,5,6,13,18
NEW ORLEANS PELICANS,240,41,84,8,25,22,27,7,34,23,4,6,12,24
PORTLAND TRAIL BLAZERS,240,48,103,11,34,21,26,18,35,30,8,3,6,22
CLEVELAND CAVALIERS,240,36,87,7,24,20,26,6,31,16,9,3,14,19
UTAH JAZZ,240,44,85,13,37,14,15,8,40,33,6,5,19,22
