slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,PHILADELPHIA 76ERS,WIN,2133,10,22,1,5,10,10,3,15,6,0,1,4,4,25.5
whiteha01,Hassan Whiteside,MIAMI HEAT,AWAY,DALLAS MAVERICKS,WIN,1571,10,15,0,0,5,6,7,7,2,0,1,2,1,24.8
evansty01,Tyreke Evans,MEMPHIS GRIZZLIES,HOME,PHOENIX SUNS,WIN,1575,11,17,3,5,2,2,1,0,4,1,0,1,2,22.2
irvinky01,Kyrie Irving,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,2212,11,17,2,4,3,3,0,3,6,1,0,2,4,22.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,2116,8,17,2,5,6,7,4,7,5,0,0,2,2,20.5
oladivi01,Victor Oladipo,INDIANA PACERS,HOME,CHARLOTTE HORNETS,WIN,2191,11,15,1,3,2,2,0,5,3,1,1,3,3,20.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,DENVER NUGGETS,WIN,1963,8,13,2,4,2,2,1,5,4,1,1,0,3,19.6
lylestr01,Trey Lyles,DENVER NUGGETS,HOME,BOSTON CELTICS,LOSS,1608,7,10,4,7,2,4,2,5,3,0,1,1,1,19.3
turnemy01,Myles Turner,INDIANA PACERS,HOME,CHARLOTTE HORNETS,WIN,1278,8,11,4,6,2,2,0,4,3,0,1,2,1,19.1
gibsota01,Taj Gibson,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,2058,8,12,0,0,1,2,2,2,2,4,1,0,2,18.7
butleji01,Jimmy Butler,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,2179,7,15,1,3,9,9,2,5,3,1,1,4,2,18.2
matthwe02,Wesley Matthews,DALLAS MAVERICKS,HOME,MIAMI HEAT,LOSS,2063,7,12,3,6,2,2,1,6,3,2,0,1,3,17.8
bazemke01,Kent Bazemore,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1821,8,14,4,8,2,3,0,4,4,1,2,3,3,17.2
warretj01,T.J. Warren,PHOENIX SUNS,AWAY,MEMPHIS GRIZZLIES,LOSS,2126,10,18,0,2,4,6,3,4,1,1,0,1,4,17.0
howardw01,Dwight Howard,CHARLOTTE HORNETS,AWAY,INDIANA PACERS,LOSS,2234,9,15,0,1,4,5,2,9,2,0,1,3,3,16.7
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,1923,6,8,1,2,2,2,1,12,3,2,1,3,3,16.7
