team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DALLAS MAVERICKS,240,31,87,12,45,14,22,5,31,20,4,3,13,19
BROOKLYN NETS,240,48,85,17,41,14,19,3,45,29,8,1,13,23
LOS ANGELES CLIPPERS,240,41,83,11,29,20,24,8,42,25,7,3,12,22
LOS ANGELES LAKERS,240,38,91,10,38,19,24,7,33,22,2,6,12,21
ATLANTA HAWKS,240,38,91,17,46,20,25,16,26,25,9,2,14,21
MIAMI HEAT,240,44,79,9,23,17,24,7,33,23,9,7,18,24
MILWAUKEE BUCKS,240,35,95,12,42,23,31,18,39,17,8,2,14,25
PHOENIX SUNS,240,41,91,7,22,25,31,17,39,22,10,10,13,23
NEW YORK KNICKS,240,39,85,12,29,18,28,10,38,17,8,5,17,25
SACRAMENTO KINGS,240,39,83,11,29,26,33,6,37,28,11,3,13,24
DENVER NUGGETS,240,41,95,17,40,4,4,8,35,27,5,3,12,17
SAN ANTONIO SPURS,240,41,85,8,25,14,19,6,37,27,8,7,9,13
NEW ORLEANS PELICANS,240,46,96,9,20,14,18,12,32,24,12,5,8,20
UTAH JAZZ,240,43,92,14,38,12,14,13,34,35,3,6,18,17
