Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
55990-9644,SG,James,James Harden,Harden,52.61579011615954,38,11300,BKN@POR,BKN,POR,GTD,Neck,,,,SG
55990-9642,PG,Russell,Russell Westbrook,Westbrook,48.85294117647059,34,11100,WAS@NY,WAS,NY,,,,,,PG
55990-55062,C,Nikola,Nikola Jokic,Jokic,56.19534656613372,43,11000,DEN@ORL,DEN,ORL,,,,,,C
55990-49111,C,Joel,Joel Embiid,Embiid,53.11290322580645,31,10700,PHI@GS,PHI,GS,O,Knee,,,,C
55990-14514,C,Nikola,Nikola Vucevic,Vucevic,46.734883153161334,43,10200,DEN@ORL,ORL,DEN,,,,,,C
55990-42669,PF,Julius,Julius Randle,Randle,44.42045454545455,44,10000,WAS@NY,NY,WAS,,,,,,PF
55990-9488,SF,LeBron,LeBron James,James,47.083333333333336,42,9900,LAL@NO,LAL,NO,O,Ankle,,,,SF
55990-14498,PG,Kyrie,Kyrie Irving,Irving,45.640625,32,9600,BKN@POR,BKN,POR,O,Personal,,,,PG
55990-15595,SG,Bradley,Bradley Beal,Beal,46.664103190104164,39,9600,WAS@NY,WAS,NY,,,,,,SG
55990-14528,SF,Jimmy,Jimmy Butler,Butler,47.162067281788794,29,9500,PHO@MIA,MIA,PHO,,,,,,SF
55990-20848,PG,Damian,Damian Lillard,Lillard,46.914286295572914,42,9400,BKN@POR,POR,BKN,,,,,,PG
55990-9524,PG,Stephen,Stephen Curry,Curry,45.897500610351564,40,9000,PHI@GS,GS,PHI,O,Lower body,,,,PG
55990-15755,PF,Anthony,Anthony Davis,Davis,44.54782502547555,23,9000,LAL@NO,LAL,NO,O,Calf,,,,PF
55990-14518,PF,Tobias,Tobias Harris,Harris,38.45263029399671,38,8800,PHI@GS,PHI,GS,,,,,,PF
55990-9646,SF,Kevin,Kevin Durant,Durant,48.542104620682565,19,8800,BKN@POR,BKN,POR,O,Hamstring,,,,SF
55990-110310,PF,Zion,Zion Williamson,Williamson,40.58536585365854,41,8600,LAL@NO,NO,LAL,,,,,,PF
55990-66115,PG,Ben,Ben Simmons,Simmons,40.142857142857146,35,8200,PHI@GS,PHI,GS,,,,,,PG
55990-80817,PF,Bam,Bam Adebayo,Adebayo,41.71351417335304,37,8000,PHO@MIA,MIA,PHO,,,,,,PF
55990-66108,PG,Jamal,Jamal Murray,Murray,35.4375,40,7800,DEN@ORL,DEN,ORL,,,,,,PG
55990-58460,SG,Devin,Devin Booker,Booker,36.762160842483105,37,7700,PHO@MIA,PHO,MIA,,,,,,SG
55990-66048,SF,Brandon,Brandon Ingram,Ingram,38.916666666666664,42,7600,LAL@NO,NO,LAL,,,,,,SF
55990-19067,SG,CJ,CJ McCollum,McCollum,38.505880916819855,17,7500,BKN@POR,POR,BKN,,,,,,SG
55990-23776,C,Montrezl,Montrezl Harrell,Harrell,27.6046511627907,43,7500,LAL@NO,LAL,NO,,,,,,C
55990-9623,PG,Chris,Chris Paul,Paul,37.514633550876525,41,7500,PHO@MIA,PHO,MIA,,,,,,PG
55990-40201,PG,Dennis,Dennis Schroder,Schroder,27.205128205128204,39,7000,LAL@NO,LAL,NO,,,,,,PG
55990-15860,PF,Draymond,Draymond Green,Green,30.41891891891892,37,7000,PHI@GS,GS,PHI,,,,,,PF
55990-80806,PG,Lonzo,Lonzo Ball,Ball,31.107894094366777,38,6800,LAL@NO,NO,LAL,GTD,Hip,,,,PG
55990-49116,SG,Andrew,Andrew Wiggins,Wiggins,30.446510492369185,43,6800,PHI@GS,GS,PHI,,,,,,SG
55990-23096,SF,Evan,Evan Fournier,Fournier,30.3874994913737,24,6600,DEN@ORL,ORL,DEN,,,,,,SF
55990-58377,SF,Kyle,Kyle Kuzma,Kuzma,23.521429152715776,42,6500,LAL@NO,LAL,NO,,,,,,SF
55990-84673,C,Deandre,Deandre Ayton,Ayton,32.55365734565549,41,6500,PHO@MIA,PHO,MIA,,,,,,C
55990-84682,SF,Michael,Michael Porter,Porter,30.131250381469727,32,6500,DEN@ORL,DEN,ORL,,,,,,SF
55990-110322,PG,Jordan,Jordan Poole,Poole,15.368182095614346,22,6500,PHI@GS,GS,PHI,,,,,,PG
55990-41594,PF,Aaron,Aaron Gordon,Gordon,30.57391357421875,23,6300,DEN@ORL,ORL,DEN,,,,,,PF
55990-110357,SF,RJ,RJ Barrett,Barrett,29.81162847474564,43,6200,WAS@NY,NY,WAS,,,,,,SF
55990-20491,PF,Robert,Robert Covington,Covington,26.175,40,6100,BKN@POR,POR,BKN,,,,,,PF
55990-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,17.26923076923077,39,6000,LAL@NO,LAL,NO,,,,,,SG
55990-9475,PG,Derrick,Derrick Rose,Rose,25.64,25,6000,WAS@NY,NY,WAS,GTD,Coach's decision,,,,PG
55990-16405,SF,Terrence,Terrence Ross,Ross,26.552778455946182,36,5900,DEN@ORL,ORL,DEN,GTD,Knee,,,,SF
55990-14516,C,Enes,Enes Kanter,Kanter,29.87380836123512,42,5900,BKN@POR,POR,BKN,,,,,,C
55990-17333,SF,Will,Will Barton,Barton,24.66153814853766,39,5900,DEN@ORL,DEN,ORL,,,,,,SF
55990-67312,C,Thomas,Thomas Bryant,Bryant,26.370001220703124,10,5800,WAS@NY,WAS,NY,O,Knee,,,,C
55990-84691,PG,Shake,Shake Milton,Milton,22.394285365513394,35,5700,PHI@GS,PHI,GS,,,,,,PG
55990-14510,SG,Alec,Alec Burks,Burks,22.958064909904234,31,5600,WAS@NY,NY,WAS,,,,,,SG
55990-84670,SF,Mikal,Mikal Bridges,Bridges,27.48048661394817,41,5600,PHO@MIA,PHO,MIA,,,,,,SF
55990-58153,SF,Kelly,Kelly Oubre,Oubre,28.16829327839177,41,5600,PHI@GS,GS,PHI,,,,,,SF
55990-9758,SF,Danny,Danny Green,Green,21.66511571130087,43,5400,PHI@GS,PHI,GS,,,,,,SF
55990-9660,C,Dwight,Dwight Howard,Howard,19.927907544513083,43,5400,PHI@GS,PHI,GS,,,,,,C
55990-23169,C,Steven,Steven Adams,Adams,24.917948404947918,39,5300,LAL@NO,NO,LAL,,,,,,C
55990-80805,PG,Markelle,Markelle Fultz,Fultz,26.1875,8,5300,DEN@ORL,ORL,DEN,O,Knee,,,,PG
55990-84695,SG,Gary,Gary Trent,Trent,22.325,40,5200,BKN@POR,POR,BKN,,,,,,SG
55990-110312,SG,Tyler,Tyler Herro,Herro,27.981250762939453,32,5200,PHO@MIA,MIA,PHO,,,,,,SG
55990-110349,SF,Rui,Rui Hachimura,Hachimura,24.173530129825366,34,5200,WAS@NY,WAS,NY,,,,,,SF
55990-55057,C,Jusuf,Jusuf Nurkic,Nurkic,26.741666158040363,12,5200,BKN@POR,POR,BKN,O,Wrist,,,,C
55990-9508,SF,Carmelo,Carmelo Anthony,Anthony,24.273171029439787,41,5200,BKN@POR,POR,BKN,,,,,,SF
55990-145327,PG,Cole,Cole Anthony,Anthony,23.28800048828125,25,5200,DEN@ORL,ORL,DEN,O,Ribs,,,,PG
55990-23825,C,Nerlens,Nerlens Noel,Noel,20.594736199629935,38,5100,WAS@NY,NY,WAS,,,,,,C
55990-9560,PF,Blake,Blake Griffin,Griffin,24.223810105096724,21,5100,BKN@POR,BKN,POR,,,,,,PF
55990-22541,C,Kelly,Kelly Olynyk,Olynyk,24.185713995070685,42,5000,PHO@MIA,MIA,PHO,,,,,,C
55990-19138,PG,Elfrid,Elfrid Payton,Payton,23.514705882352942,34,5000,WAS@NY,NY,WAS,GTD,Hamstring,,,,PG
55990-40562,SF,Josh,Josh Hart,Hart,23.521429152715776,42,4900,LAL@NO,NO,LAL,,,,,,SF
55990-84709,C,Mitchell,Mitchell Robinson,Robinson,26.067858014787948,28,4900,WAS@NY,NY,WAS,,,,,,C
55990-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,17.808823529411764,34,4900,LAL@NO,NO,LAL,,,,,,SG
55990-117779,PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,15.682758199757544,29,4800,PHI@GS,GS,PHI,,,,,,PF
55990-15583,SG,Seth,Seth Curry,Curry,21.957575017755683,33,4800,PHI@GS,PHI,GS,O,Ankle,,,,SG
55990-80811,SF,Jonathan,Jonathan Isaac,Isaac,32.2705867991728,34,4800,DEN@ORL,ORL,DEN,O,Knee,,,,SF
55990-9673,PG,Goran,Goran Dragic,Dragic,24.871429443359375,28,4800,PHO@MIA,MIA,PHO,GTD,Back,,,,PG
55990-14511,PF,Markieff,Markieff Morris,Morris,13.39729762721706,37,4700,LAL@NO,LAL,NO,,,,,,PF
55990-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,21.785714285714285,21,4700,DEN@ORL,ORL,DEN,,,,,,PG
55990-145348,PG,Immanuel,Immanuel Quickley,Quickley,20.06315853721217,38,4700,WAS@NY,NY,WAS,GTD,Ankle,,,,PG
55990-16363,SF,Joe,Joe Harris,Harris,23.26976687409157,43,4700,BKN@POR,BKN,POR,,,,,,SF
55990-15947,SG,Reggie,Reggie Bullock,Bullock,17.342105263157894,38,4600,WAS@NY,NY,WAS,,,,,,SG
55990-110354,PF,Nicolas,Nicolas Claxton,Claxton,22.19090964577415,11,4600,BKN@POR,BKN,POR,,,,,,PF
55990-9648,PF,Jeff,Jeff Green,Green,18.04871857471955,39,4600,BKN@POR,BKN,POR,,,,,,PF
55990-101329,PG,Kendrick,Kendrick Nunn,Nunn,23.205714634486608,35,4600,PHO@MIA,MIA,PHO,,,,,,PG
55990-66061,SG,Dwayne,Dwayne Bacon,Bacon,16.385714576357888,42,4500,DEN@ORL,ORL,DEN,,,,,,SG
55990-12355,SG,Eric,Eric Bledsoe,Bledsoe,22.782926233803355,41,4500,LAL@NO,NO,LAL,,,,,,SG
55990-85137,SG,Duncan,Duncan Robinson,Robinson,21.05581452125727,43,4500,PHO@MIA,MIA,PHO,,,,,,SG
55990-15636,SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,15.653846153846153,39,4500,LAL@NO,LAL,NO,,,,,,SF
55990-9729,PF,Paul,Paul Millsap,Millsap,21.887500762939453,32,4400,DEN@ORL,DEN,ORL,,,,,,PF
55990-9538,SF,Trevor,Trevor Ariza,Ariza,10.899999618530273,2,4400,PHO@MIA,MIA,PHO,,,,,,SF
55990-9561,C,DeAndre,DeAndre Jordan,Jordan,22.74390243902439,41,4400,BKN@POR,BKN,POR,,,,,,C
55990-15814,C,Alex,Alex Len,Len,15.018182003136838,33,4200,WAS@NY,WAS,NY,,,,,,C
55990-15542,SG,Spencer,Spencer Dinwiddie,Dinwiddie,17.6999994913737,3,4100,BKN@POR,BKN,POR,O,Knee,,,,SG
55990-84714,PF,Moritz,Moritz Wagner,Wagner,15.16249974568685,24,4100,WAS@NY,WAS,NY,,,,,,PF
55990-110336,SF,Chuma,Chuma Okeke,Okeke,14.561538696289062,26,4100,DEN@ORL,ORL,DEN,,,,,,SF
55990-9581,C,Marc,Marc Gasol,Gasol,17.117142159598213,35,4100,LAL@NO,LAL,NO,GTD,Coach's decision,,,,C
55990-66968,SF,Derrick,Derrick Jones,Jones,19.3973677785773,38,4100,BKN@POR,POR,BKN,,,,,,SF
55990-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,15.67999979654948,15,4000,DEN@ORL,ORL,DEN,,,,,,PF
55990-84694,SG,Bruce,Bruce Brown,Brown,18.025641025641026,39,4000,BKN@POR,BKN,POR,,,,,,SG
55990-18600,PG,Tyler,Tyler Johnson,Johnson,9.329166412353516,24,3900,BKN@POR,BKN,POR,,,,,,PG
55990-80823,PF,Tony,Tony Bradley,Bradley,14.110526637027139,19,3900,PHI@GS,PHI,GS,,,,,,PF
55990-15800,PF,Jae,Jae Crowder,Crowder,21.55789505807977,38,3900,PHO@MIA,PHO,MIA,,,,,,PF
55990-67707,PF,Marquese,Marquese Chriss,Chriss,17.799999237060547,2,3800,PHI@GS,GS,PHI,O,Lower leg,,,,PF
55990-145547,PG,Facundo,Facundo Campazzo,Campazzo,13.505555894639757,36,3800,DEN@ORL,DEN,ORL,,,,,,PG
55990-63127,C,Willy,Willy Hernangomez,Hernangomez,17.233333587646484,24,3800,LAL@NO,NO,LAL,,,,,,C
55990-14543,PF,Davis,Davis Bertans,Bertans,17.462857491629464,35,3800,WAS@NY,WAS,NY,O,Calf,,,,PF
55990-55056,PF,Dario,Dario Saric,Saric,18.491303817085598,23,3800,PHO@MIA,PHO,MIA,,,,,,PF
55990-101387,PG,Gabe,Gabe Vincent,Vincent,9.882143293108259,28,3700,PHO@MIA,MIA,PHO,GTD,Knee,,,,PG
55990-17491,SF,James,James Ennis,Ennis,16.644000244140624,25,3700,DEN@ORL,ORL,DEN,,,,,,SF
55990-58576,C,Kevon,Kevon Looney,Looney,13.074999809265137,32,3700,PHI@GS,GS,PHI,,,,,,C
55990-110320,SF,Matisse,Matisse Thybulle,Thybulle,14.5375,40,3700,PHI@GS,PHI,GS,,,,,,SF
55990-19781,SF,Kent,Kent Bazemore,Bazemore,14.570732302782012,41,3700,PHI@GS,GS,PHI,,,,,,SF
55990-145347,C,James,James Wiseman,Wiseman,22.331033640894397,29,3700,PHI@GS,GS,PHI,GTD,Covid-19,,,,C
55990-9873,C,Robin,Robin Lopez,Lopez,16.10731766863567,41,3600,WAS@NY,WAS,NY,,,,,,C
55990-110340,C,Jaxson,Jaxson Hayes,Hayes,11.94193587764617,31,3600,LAL@NO,NO,LAL,,,,,,C
55990-9481,PF,Taj,Taj Gibson,Gibson,12.72941140567555,17,3600,WAS@NY,NY,WAS,,,,,,PF
55990-80813,PG,Frank,Frank Ntilikina,Ntilikina,9.546666463216146,15,3600,WAS@NY,NY,WAS,,,,,,PG
55990-23981,PG,Alex,Alex Caruso,Caruso,15.339394309303977,33,3600,LAL@NO,LAL,NO,,,,,,PG
55990-80815,PF,Zach,Zach Collins,Collins,18.16363664106889,11,3600,BKN@POR,POR,BKN,O,Ankle,,,,PF
55990-48567,PG,Cameron,Cameron Payne,Payne,16.146666463216146,30,3600,PHO@MIA,PHO,MIA,,,,,,PG
55990-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,3.909090909090909,22,3500,LAL@NO,LAL,NO,,,,,,SF
55990-111622,SF,Garrison,Garrison Mathews,Mathews,11.597142682756697,35,3500,WAS@NY,WAS,NY,,,,,,SF
55990-85521,SG,Theo,Theo Pinson,Pinson,0.3769230842590332,13,3500,WAS@NY,NY,WAS,,,,,,SG
55990-117273,SF,Mychal,Mychal Mulder,Mulder,6.822222391764323,36,3500,PHI@GS,GS,PHI,,,,,,SF
55990-117274,PF,Chris,Chris Silva,Silva,7.090909090909091,11,3500,PHO@MIA,MIA,PHO,,,,,,PF
55990-15904,SG,Rodney,Rodney Hood,Hood,10.013513513513514,37,3500,BKN@POR,POR,BKN,,,,,,SG
55990-117285,SF,Vlatko,Vlatko Cancar,Cancar,4.091304281483525,23,3500,DEN@ORL,DEN,ORL,,,,,,SF
55990-15405,PF,JaMychal,JaMychal Green,Green,18.34666748046875,30,3500,DEN@ORL,DEN,ORL,,,,,,PF
55990-12334,SG,Avery,Avery Bradley,Bradley,14.260000610351563,10,3500,PHO@MIA,MIA,PHO,GTD,Calf,,,,SG
55990-117301,PF,Devontae,Devontae Cacok,Cacok,4.928571428571429,7,3500,LAL@NO,LAL,NO,,,,,,PF
55990-117819,PG,Jared,Jared Harper,Harper,0,2,3500,WAS@NY,NY,WAS,,,,,,PG
55990-117821,PG,Keljin,Keljin Blevins,Blevins,1.711111068725586,9,3500,BKN@POR,POR,BKN,,,,,,PG
55990-16448,PF,Frank,Frank Kaminsky,Kaminsky,15.112500190734863,32,3500,PHO@MIA,PHO,MIA,,,,,,PF
55990-112708,SF,Max,Max Strus,Strus,9.033333188011532,21,3500,PHO@MIA,MIA,PHO,,,,,,SF
55990-9799,SG,Wesley,Wesley Matthews,Matthews,9.505555894639757,36,3500,LAL@NO,LAL,NO,,,,,,SG
55990-110697,PF,Nicolo,Nicolo Melli,Melli,8.128571283249627,21,3500,LAL@NO,NO,LAL,,,,,,PF
55990-41077,SG,Sindarius,Sindarius Thornwell,Thornwell,3.0714285714285716,14,3500,LAL@NO,NO,LAL,,,,,,SG
55990-145539,SF,Deni,Deni Avdija,Avdija,15.01621555637669,37,3500,WAS@NY,WAS,NY,,,,,,SF
