slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,2277,13,19,1,1,2,5,8,9,2,0,3,2,3,28.3
derozde01,DeMar DeRozan,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2244,13,25,1,3,10,13,3,5,2,2,0,2,1,28.1
hardeja01,James Harden,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,2343,5,17,1,9,14,17,1,6,12,2,0,2,2,24.0
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,WIN,1958,8,17,1,4,10,11,3,5,4,0,1,2,2,22.2
jamesle01,LeBron James,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2231,8,12,1,2,7,9,0,10,6,0,0,3,1,21.8
willilo02,Lou Williams,HOUSTON ROCKETS,HOME,INDIANA PACERS,LOSS,1702,8,15,5,10,7,8,1,2,1,1,1,1,4,21.4
curryse01,Seth Curry,DALLAS MAVERICKS,HOME,MIAMI HEAT,WIN,2166,10,17,5,7,4,4,0,1,3,0,0,1,3,21.3
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,WIN,2074,10,22,1,3,6,8,2,2,1,4,0,0,1,21.1
teaguje01,Jeff Teague,INDIANA PACERS,AWAY,HOUSTON ROCKETS,WIN,2189,5,13,3,7,12,12,1,6,6,0,0,3,3,20.4
irvinky01,Kyrie Irving,CLEVELAND CAVALIERS,HOME,MILWAUKEE BUCKS,WIN,2193,10,20,2,4,3,3,0,4,9,2,0,4,1,20.1
pachuza01,Zaza Pachulia,GOLDEN STATE WARRIORS,AWAY,PHILADELPHIA 76ERS,WIN,870,5,5,0,0,6,7,1,4,2,1,1,0,0,19.1
