Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (15241059),Giannis Antetokounmpo,15241059,PF/F/UTIL,11400,MIA@MIL 08/31/2020 06:30PM ET,MIL,59.57
PG/SG,James Harden (15241062),James Harden,15241062,PG/SG/G/UTIL,11300,HOU@OKC 08/31/2020 09:00PM ET,HOU,59.73
PG,Russell Westbrook (15241066),Russell Westbrook,15241066,PG/G/UTIL,9700,HOU@OKC 08/31/2020 09:00PM ET,HOU,50.49
PG,Chris Paul (15241069),Chris Paul,15241069,PG/G/UTIL,8200,HOU@OKC 08/31/2020 09:00PM ET,OKC,37.38
SG/SF,Jimmy Butler (15241072),Jimmy Butler,15241072,SG/SF/F/G/UTIL,8100,MIA@MIL 08/31/2020 06:30PM ET,MIA,41.34
SF,Khris Middleton (15241077),Khris Middleton,15241077,SF/F/UTIL,7900,MIA@MIL 08/31/2020 06:30PM ET,MIL,37.03
C,Bam Adebayo (15241080),Bam Adebayo,15241080,C/UTIL,7700,MIA@MIL 08/31/2020 06:30PM ET,MIA,40.78
PG/SG,Shai Gilgeous-Alexander (15241082),Shai Gilgeous-Alexander,15241082,PG/SG/G/UTIL,7100,HOU@OKC 08/31/2020 09:00PM ET,OKC,34.78
PG,Goran Dragic (15241086),Goran Dragic,15241086,PG/G/UTIL,6600,MIA@MIL 08/31/2020 06:30PM ET,MIA,29.92
PG/SG,Dennis Schroder (15241089),Dennis Schroder,15241089,PG/SG/G/UTIL,6400,HOU@OKC 08/31/2020 09:00PM ET,OKC,30.86
SG/SF,Eric Gordon (15241093),Eric Gordon,15241093,SG/SF/F/G/UTIL,6100,HOU@OKC 08/31/2020 09:00PM ET,HOU,23.12
SF/PF,Danilo Gallinari (15241098),Danilo Gallinari,15241098,SF/PF/F/UTIL,6000,HOU@OKC 08/31/2020 09:00PM ET,OKC,30.01
PG,Eric Bledsoe (15241102),Eric Bledsoe,15241102,PG/G/UTIL,5900,MIA@MIL 08/31/2020 06:30PM ET,MIL,30.83
SF/PF,Robert Covington (15241105),Robert Covington,15241105,SF/PF/F/UTIL,5800,HOU@OKC 08/31/2020 09:00PM ET,HOU,28.89
C,Steven Adams (15241109),Steven Adams,15241109,C/UTIL,5800,HOU@OKC 08/31/2020 09:00PM ET,OKC,29.34
SG,Tyler Herro (15241111),Tyler Herro,15241111,SG/G/UTIL,5500,MIA@MIL 08/31/2020 06:30PM ET,MIA,24.04
C,Jeff Green (15241114),Jeff Green,15241114,C/UTIL,5400,HOU@OKC 08/31/2020 09:00PM ET,HOU,17.88
C,Brook Lopez (15241116),Brook Lopez,15241116,C/UTIL,5300,MIA@MIL 08/31/2020 06:30PM ET,MIL,26.24
SF/PF,Danuel House Jr. (15241118),Danuel House Jr.,15241118,SF/PF/F/UTIL,5100,HOU@OKC 08/31/2020 09:00PM ET,HOU,22.15
SG/SF,Duncan Robinson (15241122),Duncan Robinson,15241122,SG/SF/F/G/UTIL,4900,MIA@MIL 08/31/2020 06:30PM ET,MIA,22.30
PF,Jae Crowder (15241127),Jae Crowder,15241127,PF/F/UTIL,4500,MIA@MIL 08/31/2020 06:30PM ET,MIA,25.09
C,P.J. Tucker (15241130),P.J. Tucker,15241130,C/UTIL,4300,HOU@OKC 08/31/2020 09:00PM ET,HOU,21.20
PG,George Hill (15241132),George Hill,15241132,PG/G/UTIL,4200,MIA@MIL 08/31/2020 06:30PM ET,MIL,19.60
SF,Luguentz Dort (15241135),Luguentz Dort,15241135,SF/F/UTIL,4100,HOU@OKC 08/31/2020 09:00PM ET,OKC,13.15
PG/SG,Kendrick Nunn (15241138),Kendrick Nunn,15241138,PG/SG/G/UTIL,4000,MIA@MIL 08/31/2020 06:30PM ET,MIA,25.69
PF/C,Kelly Olynyk (15241142),Kelly Olynyk,15241142,PF/C/F/UTIL,3900,MIA@MIL 08/31/2020 06:30PM ET,MIA,18.62
