team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PORTLAND TRAIL BLAZERS,240,43,83,11,32,21,25,9,36,30,4,3,8,16
CHICAGO BULLS,240,39,91,5,23,15,19,16,28,22,4,0,8,19
GOLDEN STATE WARRIORS,240,45,84,15,31,13,15,6,40,30,9,7,14,19
MEMPHIS GRIZZLIES,240,39,100,10,31,15,21,19,32,22,11,5,9,16
INDIANA PACERS,240,40,92,13,31,6,11,8,37,26,4,6,11,17
OKLAHOMA CITY THUNDER,240,41,92,13,36,12,19,9,35,29,7,7,6,14
WASHINGTON WIZARDS,240,43,90,9,25,29,43,15,37,18,10,3,10,20
PHOENIX SUNS,240,43,87,14,37,21,26,11,37,22,9,7,15,28
LOS ANGELES LAKERS,240,37,97,9,27,17,24,8,32,21,9,5,4,23
UTAH JAZZ,240,41,83,10,32,23,36,8,46,33,4,5,11,18
