team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,340,56,119,21,48,35,48,11,51,30,10,5,16,30
ATLANTA HAWKS,340,61,123,22,60,17,25,9,50,33,11,8,20,34
WASHINGTON WIZARDS,240,36,89,10,38,14,19,11,42,20,7,6,18,16
BOSTON CELTICS,240,42,94,10,35,13,17,11,35,26,12,3,12,18
CHARLOTTE HORNETS,240,50,94,9,21,14,17,10,30,24,6,4,13,25
BROOKLYN NETS,240,44,86,10,32,14,18,7,30,27,2,5,15,19
MILWAUKEE BUCKS,240,48,93,14,40,21,24,11,40,30,4,6,11,15
LOS ANGELES LAKERS,240,46,96,13,40,15,18,8,32,29,4,4,9,21
NEW ORLEANS PELICANS,240,50,87,16,27,14,20,10,40,34,13,4,24,18
PHOENIX SUNS,240,40,94,12,34,24,28,12,27,25,17,2,19,21
LOS ANGELES CLIPPERS,240,40,92,12,31,24,33,16,42,19,4,6,11,23
SACRAMENTO KINGS,240,41,93,6,21,21,25,8,38,27,6,8,8,25
PORTLAND TRAIL BLAZERS,240,42,85,14,33,19,23,9,33,24,9,4,16,25
TORONTO RAPTORS,240,45,81,10,28,19,21,2,30,29,9,6,14,17
