"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG/SF","Jeremy Lamb",5200,"MIL@CHA 12/23/2017 07:00PM ET",27.033,"CHA","MIL",0,23.9,17
"PG/SG","Dennis Smith",5100,"DAL@ATL 12/23/2017 07:30PM ET",27.042,"DAL","ATL",0,25.5,13.75
"PF","Lauri Markkanen",5100,"CHI@BOS 12/23/2017 07:30PM ET",29.402,"CHI","BOS",0,25.8,20.25
"PG/SG","Shabazz Napier",5100,"POR@LAL 12/23/2017 09:30PM ET",14.279,"POR","LAL",0,29.6,39.75
"SG/SF","Joe Ingles",5000,"OKC@UTA 12/23/2017 08:00PM ET",24.5,"UTA","OKC",0,24.7,24
"SG/SF","Danny Green",5000,"SA@SAC 12/23/2017 10:00PM ET",21.188,"SA","SAC",0,0,0
"SF/PF","Jabari Parker",5000,"MIL@CHA 12/23/2017 07:00PM ET",0,"MIL","CHA",0,0,0
"PG/SG","Jordan Clarkson",4900,"POR@LAL 12/23/2017 09:30PM ET",22.966,"LAL","POR",0,19.2,25.75
"SG/SF","Denzel Valentine",4800,"CHI@BOS 12/23/2017 07:30PM ET",22.823,"CHI","BOS",0,21.1,14.25
"SF/PF","DeMarre Carroll",4800,"BKN@IND 12/23/2017 07:00PM ET",27.13,"BKN","IND",0,23.1,45.25
"PG/SG","Isaiah Canaan",4800,"MIN@PHO 12/23/2017 09:00PM ET",22.25,"PHO","MIN",0,17.9,31
"PF","Mike Scott",4800,"ORL@WAS 12/23/2017 07:00PM ET",16.302,"WAS","ORL",0,16.8,22.5
"PG/SG","JJ Barea",4700,"DAL@ATL 12/23/2017 07:30PM ET",25.344,"DAL","ATL",0,23.5,0
"PG/SG","Zach LaVine",4700,"CHI@BOS 12/23/2017 07:30PM ET",0,"CHI","BOS",0,0,0
"PF/C","Greg Monroe",4700,"MIN@PHO 12/23/2017 09:00PM ET",23.597,"PHO","MIN",0,0,0
"PG/SF","Kyle Anderson",4700,"SA@SAC 12/23/2017 10:00PM ET",23.83,"SA","SAC",0,19.5,14.75
"PG/SG","Milos Teodosic",4700,"LAC@MEM 12/23/2017 08:00PM ET",21.214,"LAC","MEM",0,24.5,17.25
"SF/PF","JaMychal Green",4700,"LAC@MEM 12/23/2017 08:00PM ET",20.8,"MEM","LAC",0,0,0
"PG/SG","Yogi Ferrell",4600,"DAL@ATL 12/23/2017 07:30PM ET",19.539,"DAL","ATL",0,19.5,12.5
"PF","Bobby Portis",4600,"CHI@BOS 12/23/2017 07:30PM ET",24.83,"CHI","BOS",0,16.1,30.5
"SF/PF","Marcus Morris",4600,"CHI@BOS 12/23/2017 07:30PM ET",23.281,"BOS","CHI",0,0,0
"PG/SG","Alec Burks",4600,"OKC@UTA 12/23/2017 08:00PM ET",18.727,"UTA","OKC",0,11.3,11
"SG/SF","Kelly Oubre",4600,"ORL@WAS 12/23/2017 07:00PM ET",22.379,"WAS","ORL",0,18.6,30.5
"SG/SF","E'Twaun Moore",4600,"NO@MIA 12/23/2017 08:00PM ET",22.355,"NO","MIA",0,20.6,19
"SF/PF","Omri Casspi",4600,"DEN@GS 12/23/2017 08:30PM ET",16,"GS","DEN",0,15.9,16.25
"PF/C","Mason Plumlee",4600,"DEN@GS 12/23/2017 08:30PM ET",19.315,"DEN","GS",0,23.2,14
"SG/SF","Wesley Matthews",4500,"DAL@ATL 12/23/2017 07:30PM ET",22.914,"DAL","ATL",0,22.7,18.5
"PF/C","Dirk Nowitzki",4500,"DAL@ATL 12/23/2017 07:30PM ET",22.867,"DAL","ATL",0,23,34.5
"SF/PF","Ersan Ilyasova",4500,"DAL@ATL 12/23/2017 07:30PM ET",20.175,"ATL","DAL",0,24.2,36.75
"SG/SF","Buddy Hield",4500,"SA@SAC 12/23/2017 10:00PM ET",21.793,"SAC","SA",0,21,39.5
"SG","Mario Hezonja",4500,"ORL@WAS 12/23/2017 07:00PM ET",10.56,"ORL","WAS",0,18.2,30.5
"PG/SG","Malcolm Brogdon",4500,"MIL@CHA 12/23/2017 07:00PM ET",24.116,"MIL","CHA",0,26.5,17
"SF/PF","Wilson Chandler",4500,"DEN@GS 12/23/2017 08:30PM ET",20.981,"DEN","GS",0,24.7,28.75
"SF/PF","Trey Lyles",4500,"DEN@GS 12/23/2017 08:30PM ET",15.894,"DEN","GS",0,22.4,26
"C","Robin Lopez",4400,"CHI@BOS 12/23/2017 07:30PM ET",24.613,"CHI","BOS",0,21.3,17
"SG/SF","Lance Stephenson",4400,"BKN@IND 12/23/2017 07:00PM ET",20.07,"IND","BKN",0,23.3,17.5
"C","Brook Lopez",4400,"POR@LAL 12/23/2017 09:30PM ET",24.705,"LAL","POR",0,0,0
"C","Tyson Chandler",4400,"MIN@PHO 12/23/2017 09:00PM ET",21.854,"PHO","MIN",0,19.5,25.25
"PG/SG","George Hill",4400,"SA@SAC 12/23/2017 10:00PM ET",20.417,"SAC","SA",0,24.4,19.5
"SG/SF","Bojan Bogdanovic",4300,"BKN@IND 12/23/2017 07:00PM ET",21.82,"IND","BKN",0,22.6,30
"PG","De'Aaron Fox",4300,"SA@SAC 12/23/2017 10:00PM ET",19.698,"SAC","SA",0,0,0
"PG","Tony Parker",4300,"SA@SAC 12/23/2017 10:00PM ET",18.725,"SA","SAC",0,19.7,18.5
"PG","Dejounte Murray",4300,"SA@SAC 12/23/2017 10:00PM ET",17.875,"SA","SAC",0,10.7,32.75
"SF/PF","Markieff Morris",4300,"ORL@WAS 12/23/2017 07:00PM ET",18.913,"WAS","ORL",0,19.6,23.25
"C","John Henson",4300,"MIL@CHA 12/23/2017 07:00PM ET",21.777,"MIL","CHA",0,24.3,23.75
"PF/C","Jordan Bell",4300,"DEN@GS 12/23/2017 08:30PM ET",13.68,"GS","DEN",0,25.2,28.5
"SG/SF","Allen Crabbe",4200,"BKN@IND 12/23/2017 07:00PM ET",21.596,"BKN","IND",0,22.6,23.75
"PG","Patty Mills",4200,"SA@SAC 12/23/2017 10:00PM ET",19.121,"SA","SAC",0,17.1,0
"SF","Michael Kidd-Gilchrist",4200,"MIL@CHA 12/23/2017 07:00PM ET",20.87,"CHA","MIL",0,22,13.25
"SG/SF","Andre Iguodala",4200,"DEN@GS 12/23/2017 08:30PM ET",18.644,"GS","DEN",0,18.8,20.5
"PG/SG","Terry Rozier",4100,"CHI@BOS 12/23/2017 07:30PM ET",19.479,"BOS","CHI",0,18.4,14.75
"SG/SF","Evan Turner",4100,"POR@LAL 12/23/2017 09:30PM ET",17.669,"POR","LAL",0,24.2,12.5
"SG/SF","Bogdan Bogdanovic",4100,"SA@SAC 12/23/2017 10:00PM ET",18.893,"SAC","SA",0,19.9,18.75
"SG/SF","Wesley Johnson",4100,"LAC@MEM 12/23/2017 08:00PM ET",17.045,"LAC","MEM",0,0,0
"PF/C","Bam Adebayo",4100,"NO@MIA 12/23/2017 08:00PM ET",15.227,"MIA","NO",0,21.8,25.25
"PG/SG","Seth Curry",4000,"DAL@ATL 12/23/2017 07:30PM ET",0,"DAL","ATL",0,0,0
"PG/SG","David Nwaba",4000,"CHI@BOS 12/23/2017 07:30PM ET",19.289,"CHI","BOS",0,15.5,16
"SG/SF","Josh Jackson",4000,"MIN@PHO 12/23/2017 09:00PM ET",17.566,"PHO","MIN",0,20.9,18
"SG/SF","Manu Ginobili",4000,"SA@SAC 12/23/2017 10:00PM ET",16.296,"SA","SAC",0,15.1,24.75
"PG/SG","Frank Mason III",4000,"SA@SAC 12/23/2017 10:00PM ET",16.073,"SAC","SA",0,15.8,10.25
"SF/PF","Marvin Williams",4000,"MIL@CHA 12/23/2017 07:00PM ET",19.145,"CHA","MIL",0,17.7,10.75
"PF","Maxi Kleber",3900,"DAL@ATL 12/23/2017 07:30PM ET",13.077,"DAL","ATL",0,15.1,12
"PG","Cory Joseph",3900,"BKN@IND 12/23/2017 07:00PM ET",17.883,"IND","BKN",0,19.3,15.25
"SG","Jamal Crawford",3900,"MIN@PHO 12/23/2017 09:00PM ET",15.594,"MIN","PHO",0,16.5,16.25
"PG","Mario Chalmers",3900,"LAC@MEM 12/23/2017 08:00PM ET",18.266,"MEM","LAC",0,11.9,0
"SF/PF","Chandler Parsons",3900,"LAC@MEM 12/23/2017 08:00PM ET",17.667,"MEM","LAC",0,21.2,13.75
"PG/SG","Andrew Harrison",3900,"LAC@MEM 12/23/2017 08:00PM ET",14.596,"MEM","LAC",0,20.5,29
"PF/C","Frank Kaminsky",3900,"MIL@CHA 12/23/2017 07:00PM ET",18.938,"CHA","MIL",0,18.4,23.5
"SF/PF","Justise Winslow",3900,"NO@MIA 12/23/2017 08:00PM ET",18,"MIA","NO",0,0,0
"SG/SF","Wayne Ellington",3900,"NO@MIA 12/23/2017 08:00PM ET",16.032,"MIA","NO",0,22.5,19.75
"PF/C","Jordan Mickey",3900,"NO@MIA 12/23/2017 08:00PM ET",13.55,"MIA","NO",0,13.4,16.5
"PG/SG","Malcolm Delaney",3800,"DAL@ATL 12/23/2017 07:30PM ET",11.826,"ATL","DAL",0,0,18.25
"PG","Isaiah Taylor",3800,"DAL@ATL 12/23/2017 07:30PM ET",11.688,"ATL","DAL",0,10.6,6
"SF/PF","Jonas Jerebko",3800,"OKC@UTA 12/23/2017 08:00PM ET",14.554,"UTA","OKC",0,14.7,3.25
"PF/C","Ekpe Udoh",3800,"OKC@UTA 12/23/2017 08:00PM ET",12.358,"UTA","OKC",0,11.1,3.5
"SG/SF","Joe Johnson",3800,"OKC@UTA 12/23/2017 08:00PM ET",11.942,"UTA","OKC",0,12.5,13.5
"SG/SF","Joe Harris",3800,"BKN@IND 12/23/2017 07:00PM ET",17.571,"BKN","IND",0,16.1,12.75
"PG/SG","Josh Hart",3800,"POR@LAL 12/23/2017 09:30PM ET",9.979,"LAL","POR",0,14.2,31.5
"SG","Troy Daniels",3800,"MIN@PHO 12/23/2017 09:00PM ET",11.831,"PHO","MIN",0,15.9,22
"PG/SG","DJ Augustin",3800,"ORL@WAS 12/23/2017 07:00PM ET",17.46,"ORL","WAS",0,19.5,15
