"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Raymond Felton",3100,"OKC@UTA 12/23/2017 08:00PM ET",14.065,"OKC","UTA",0,11.6,7.5
"PF/C","Noah Vonleh",3100,"POR@LAL 12/23/2017 09:30PM ET",14.761,"POR","LAL",0,0,0
"SG/SF","Vince Carter",3100,"SA@SAC 12/23/2017 10:00PM ET",8.563,"SAC","SA",0,0,0
"PF/C","Bismack Biyombo",3100,"ORL@WAS 12/23/2017 07:00PM ET",11.906,"ORL","WAS",0,12.1,13.25
"SG","Jodie Meeks",3100,"ORL@WAS 12/23/2017 07:00PM ET",10.839,"WAS","ORL",0,10.2,20
"SG/SF","Tony Allen",3100,"NO@MIA 12/23/2017 08:00PM ET",8.898,"NO","MIA",0,0,0
"PG","Quinn Cook",3100,"DEN@GS 12/23/2017 08:30PM ET",7.472,"GS","DEN",0,0,3.5
"C","Mike Muscala",3000,"DAL@ATL 12/23/2017 07:30PM ET",16.333,"ATL","DAL",0,0,0
"PF","Nerlens Noel",3000,"DAL@ATL 12/23/2017 07:30PM ET",12.132,"DAL","ATL",0,0,0
"C","Salah Mejri",3000,"DAL@ATL 12/23/2017 07:30PM ET",11.846,"DAL","ATL",0,9.3,8.5
"PF/C","Johnathan Motley",3000,"DAL@ATL 12/23/2017 07:30PM ET",7.25,"DAL","ATL",0,0,0
"SG","Kyle Collinsworth",3000,"DAL@ATL 12/23/2017 07:30PM ET",6.25,"DAL","ATL",0,0,0
"PG","Josh Magette",3000,"DAL@ATL 12/23/2017 07:30PM ET",6.188,"ATL","DAL",0,0,0
"SF","Dorian Finney-Smith",3000,"DAL@ATL 12/23/2017 07:30PM ET",5.875,"DAL","ATL",0,0,0
"PG/SG","Tyler Dorsey",3000,"DAL@ATL 12/23/2017 07:30PM ET",4.05,"ATL","DAL",0,0,0
"PF/C","Josh McRoberts",3000,"DAL@ATL 12/23/2017 07:30PM ET",0,"DAL","ATL",0,0,0
"PF/C","Cristiano Felicio",3000,"CHI@BOS 12/23/2017 07:30PM ET",8.852,"CHI","BOS",0,0,0
"SG/SF","Quincy Pondexter",3000,"CHI@BOS 12/23/2017 07:30PM ET",5.441,"CHI","BOS",0,0,3.75
"PF/C","Guerschon Yabusele",3000,"CHI@BOS 12/23/2017 07:30PM ET",5.042,"BOS","CHI",0,0,0
"PF","Abdel Nader",3000,"CHI@BOS 12/23/2017 07:30PM ET",4.417,"BOS","CHI",0,0,6.5
"SG","Jabari Bird",3000,"CHI@BOS 12/23/2017 07:30PM ET",3.667,"BOS","CHI",0,0,0
"SG","Kadeem Allen",3000,"CHI@BOS 12/23/2017 07:30PM ET",3,"BOS","CHI",0,0,0
"PG","Ryan Arcidiacono",3000,"CHI@BOS 12/23/2017 07:30PM ET",1.5,"CHI","BOS",0,0,0
"SG/SF","Gordon Hayward",3000,"CHI@BOS 12/23/2017 07:30PM ET",3.25,"BOS","CHI",0,0,0
"PG/SG","Cameron Payne",3000,"CHI@BOS 12/23/2017 07:30PM ET",0,"CHI","BOS",0,0,0
"SF","Royce O'Neale",3000,"OKC@UTA 12/23/2017 08:00PM ET",7.25,"UTA","OKC",0,0,3.75
"SF/PF","Josh Huestis",3000,"OKC@UTA 12/23/2017 08:00PM ET",6.52,"OKC","UTA",0,9.8,5.25
"C","Dakari Johnson",3000,"OKC@UTA 12/23/2017 08:00PM ET",6.333,"OKC","UTA",0,0,0
"SG/SF","Kyle Singler",3000,"OKC@UTA 12/23/2017 08:00PM ET",4.25,"OKC","UTA",0,0,0
"PF/C","Nick Collison",3000,"OKC@UTA 12/23/2017 08:00PM ET",3.625,"OKC","UTA",0,0,0
"C","Tony Bradley",3000,"OKC@UTA 12/23/2017 08:00PM ET",2.583,"UTA","OKC",0,0,0
"SG/SF","Terrance Ferguson",3000,"OKC@UTA 12/23/2017 08:00PM ET",2.413,"OKC","UTA",0,0,0
"PG","Nate Wolters",3000,"OKC@UTA 12/23/2017 08:00PM ET",1.2,"UTA","OKC",0,0,0
"PG/SG","PJ Dozier",3000,"OKC@UTA 12/23/2017 08:00PM ET",0,"OKC","UTA",0,0,0
"PG/SG","Dante Exum",3000,"OKC@UTA 12/23/2017 08:00PM ET",0,"UTA","OKC",0,0,0
"SF","Daniel Hamilton",3000,"OKC@UTA 12/23/2017 08:00PM ET",0,"OKC","UTA",0,0,0
"SF/PF","Erik McCree",3000,"OKC@UTA 12/23/2017 08:00PM ET",0,"UTA","OKC",0,0,0
"PG/SG","Jeremy Lin",3000,"BKN@IND 12/23/2017 07:00PM ET",23,"BKN","IND",0,0,0
"C","Timofey Mozgov",3000,"BKN@IND 12/23/2017 07:00PM ET",10.476,"BKN","IND",0,0,0
"SF/PF","TJ Leaf",3000,"BKN@IND 12/23/2017 07:00PM ET",6.39,"IND","BKN",0,0,6
"PG","Jacob Wiley",3000,"BKN@IND 12/23/2017 07:00PM ET",4.65,"BKN","IND",0,0,0
"PG/SG","Joe Young",3000,"BKN@IND 12/23/2017 07:00PM ET",4.103,"IND","BKN",0,0,0
"SG/SF","Damien Wilkins",3000,"BKN@IND 12/23/2017 07:00PM ET",2.7,"IND","BKN",0,0,0
"PF/C","Ike Anigbogu",3000,"BKN@IND 12/23/2017 07:00PM ET",2,"IND","BKN",0,0,0
"SF","Alex Poythress",3000,"BKN@IND 12/23/2017 07:00PM ET",1.844,"IND","BKN",0,0,0
"PG","Milton Doyle",3000,"BKN@IND 12/23/2017 07:00PM ET",0,"BKN","IND",0,0,0
"SG","Yakuba Ouattara",3000,"BKN@IND 12/23/2017 07:00PM ET",0,"BKN","IND",0,0,0
"PG","Edmond Sumner",3000,"BKN@IND 12/23/2017 07:00PM ET",0,"IND","BKN",0,0,0
"C","Andrew Bogut",3000,"POR@LAL 12/23/2017 09:30PM ET",7.484,"LAL","POR",0,10.8,11.5
"SF/PF","Luol Deng",3000,"POR@LAL 12/23/2017 09:30PM ET",5,"LAL","POR",0,0,0
"PG/SG","Tyler Ennis",3000,"POR@LAL 12/23/2017 09:30PM ET",4.396,"LAL","POR",0,0,0
"PG/SG","Alex Caruso",3000,"POR@LAL 12/23/2017 09:30PM ET",4,"LAL","POR",0,0,0
"SF/PF","Jake Layman",3000,"POR@LAL 12/23/2017 09:30PM ET",3.692,"POR","LAL",0,7.2,0
"PG/SG","Vander Blue",3000,"POR@LAL 12/23/2017 09:30PM ET",0.938,"LAL","POR",0,0,0
"PF/C","Thomas Bryant",3000,"POR@LAL 12/23/2017 09:30PM ET",0,"LAL","POR",0,0,0
"SG/SF","CJ Wilcox",3000,"POR@LAL 12/23/2017 09:30PM ET",0,"POR","LAL",0,0,0
"PG/SG","Wade Baldwin IV",3000,"POR@LAL 12/23/2017 09:30PM ET",0,"POR","LAL",0,0,0
"SG/SF","Danuel House",3000,"MIN@PHO 12/23/2017 09:00PM ET",7,"PHO","MIN",0,8.5,7.75
"PG/SG","Aaron Brooks",3000,"MIN@PHO 12/23/2017 09:00PM ET",4.25,"MIN","PHO",0,0,0
"PF","Alec Peters",3000,"MIN@PHO 12/23/2017 09:00PM ET",3.75,"PHO","MIN",0,0,0
"C","Cole Aldrich",3000,"MIN@PHO 12/23/2017 09:00PM ET",1.625,"MIN","PHO",0,0,0
"SG/SF","Marcus Georges-Hunt",3000,"MIN@PHO 12/23/2017 09:00PM ET",1.538,"MIN","PHO",0,0,4.5
"C","Alan Williams",3000,"MIN@PHO 12/23/2017 09:00PM ET",0,"PHO","MIN",0,0,0
"PG/SG","Brandon Knight",3000,"MIN@PHO 12/23/2017 09:00PM ET",0,"PHO","MIN",0,0,0
"C","Justin Patton",3000,"MIN@PHO 12/23/2017 09:00PM ET",0,"MIN","PHO",0,0,0
"SG/SF","Davon Reed",3000,"MIN@PHO 12/23/2017 09:00PM ET",0,"PHO","MIN",0,0,0
"SG/SF","Anthony Brown",3000,"MIN@PHO 12/23/2017 09:00PM ET",0,"MIN","PHO",0,0,0
"PF","Matt Costello",3000,"SA@SAC 12/23/2017 10:00PM ET",12.25,"SA","SAC",0,0,0
"PF/C","Joffrey Lauvergne",3000,"SA@SAC 12/23/2017 10:00PM ET",10.132,"SA","SAC",0,0,0
"SG/SF","Justin Jackson",3000,"SA@SAC 12/23/2017 10:00PM ET",9.739,"SAC","SA",0,9.6,1.25
"C","Georgios Papagiannis",3000,"SA@SAC 12/23/2017 10:00PM ET",7.167,"SAC","SA",0,0,0
"SG/SF","Malachi Richardson",3000,"SA@SAC 12/23/2017 10:00PM ET",6.857,"SAC","SA",0,0,0
"PG","Derrick White",3000,"SA@SAC 12/23/2017 10:00PM ET",6.65,"SA","SAC",0,0,0
"PF","Jack Cooley",3000,"SA@SAC 12/23/2017 10:00PM ET",4.75,"SAC","SA",0,0,0
"SG/SF","Darrun Hilliard",3000,"SA@SAC 12/23/2017 10:00PM ET",3.3,"SA","SAC",0,0,0
"PF/C","Harry Giles",3000,"SA@SAC 12/23/2017 10:00PM ET",0,"SAC","SA",0,0,0
"PF/C","Marreese Speights",3000,"ORL@WAS 12/23/2017 07:00PM ET",12.273,"ORL","WAS",0,13,4.75
"PF/C","Jason Smith",3000,"ORL@WAS 12/23/2017 07:00PM ET",6.5,"WAS","ORL",0,0,4.5
"PF/C","Chris McCullough",3000,"ORL@WAS 12/23/2017 07:00PM ET",5.688,"WAS","ORL",0,0,7.75
"PF","Adreian Payne",3000,"ORL@WAS 12/23/2017 07:00PM ET",4.833,"ORL","WAS",0,0,13.25
"SG/SF","Jamel Artis",3000,"ORL@WAS 12/23/2017 07:00PM ET",3,"ORL","WAS",0,0,7
"PF/C","Khem Birch",3000,"ORL@WAS 12/23/2017 07:00PM ET",2,"ORL","WAS",0,0,0
"PF","Mike Young",3000,"ORL@WAS 12/23/2017 07:00PM ET",0,"WAS","ORL",0,0,0
"SG","Sheldon Mac",3000,"ORL@WAS 12/23/2017 07:00PM ET",0,"WAS","ORL",0,0,0
"SG","Devin Robinson",3000,"ORL@WAS 12/23/2017 07:00PM ET",0,"WAS","ORL",0,0,0
"PG/SG","Patrick Beverley",3000,"LAC@MEM 12/23/2017 08:00PM ET",25.977,"LAC","MEM",0,0,0
"PF/C","Brandan Wright",3000,"LAC@MEM 12/23/2017 08:00PM ET",13.338,"MEM","LAC",0,17.2,10.5
"C","Willie Reed",3000,"LAC@MEM 12/23/2017 08:00PM ET",10.19,"LAC","MEM",0,0,4.5
"PF/C","Deyonta Davis",3000,"LAC@MEM 12/23/2017 08:00PM ET",9.645,"MEM","LAC",0,0,7.25
"SG","Sindarius Thornwell",3000,"LAC@MEM 12/23/2017 08:00PM ET",8.342,"LAC","MEM",0,0,0
"PG/SG","Wayne Selden",3000,"LAC@MEM 12/23/2017 08:00PM ET",8.25,"MEM","LAC",0,0,0
"PF/C","Brice Johnson",3000,"LAC@MEM 12/23/2017 08:00PM ET",5.969,"LAC","MEM",0,0,0
"SG","Kobi Simmons",3000,"LAC@MEM 12/23/2017 08:00PM ET",4,"MEM","LAC",0,0,17
"PF","Vince Hunter",3000,"LAC@MEM 12/23/2017 08:00PM ET",3.75,"MEM","LAC",0,0,0
"PF/C","Ivan Rabb",3000,"LAC@MEM 12/23/2017 08:00PM ET",1.583,"MEM","LAC",0,0,0
"PG/SG","Malik Monk",3000,"MIL@CHA 12/23/2017 07:00PM ET",11.25,"CHA","MIL",0,0,0
"SG/SF","Treveon Graham",3000,"MIL@CHA 12/23/2017 07:00PM ET",10.461,"CHA","MIL",0,0,18
"PF/C","Johnny O'Bryant III",3000,"MIL@CHA 12/23/2017 07:00PM ET",10.074,"CHA","MIL",0,10.8,0
"PG/SG","Sean Kilpatrick",3000,"MIL@CHA 12/23/2017 07:00PM ET",9.297,"MIL","CHA",0,8.3,19.5
"SG/SF","Dwayne Bacon",3000,"MIL@CHA 12/23/2017 07:00PM ET",9.268,"CHA","MIL",0,0,0
"SG/SF","Rashad Vaughn",3000,"MIL@CHA 12/23/2017 07:00PM ET",7.433,"MIL","CHA",0,0,0
"PG/SG","Julyan Stone",3000,"MIL@CHA 12/23/2017 07:00PM ET",7.25,"CHA","MIL",0,0,0
"PG/SG","Jason Terry",3000,"MIL@CHA 12/23/2017 07:00PM ET",5.972,"MIL","CHA",0,0,0
"SG","Sterling Brown",3000,"MIL@CHA 12/23/2017 07:00PM ET",5.844,"MIL","CHA",0,0,1.25
"PF","Joel Bolomboy",3000,"MIL@CHA 12/23/2017 07:00PM ET",3.5,"MIL","CHA",0,0,0
"PG","Marcus Paige",3000,"MIL@CHA 12/23/2017 07:00PM ET",2.5,"CHA","MIL",0,0,0
"PF/C","Mangok Mathiang",3000,"MIL@CHA 12/23/2017 07:00PM ET",2.5,"CHA","MIL",0,0,0
"PF/C","DJ Wilson",3000,"MIL@CHA 12/23/2017 07:00PM ET",1.475,"MIL","CHA",0,0,0
"PG/SG","Ian Clark",3000,"NO@MIA 12/23/2017 08:00PM ET",9.21,"NO","MIA",0,0,25.5
"SF/PF","Okaro White",3000,"NO@MIA 12/23/2017 08:00PM ET",8.45,"MIA","NO",0,0,0
"PF","Cheick Diallo",3000,"NO@MIA 12/23/2017 08:00PM ET",5.563,"NO","MIA",0,0,4.75
"C","Omer Asik",3000,"NO@MIA 12/23/2017 08:00PM ET",5,"NO","MIA",0,0,0
"SG","Charles Cooke",3000,"NO@MIA 12/23/2017 08:00PM ET",3.333,"NO","MIA",0,0,0
"SF","Jalen Jones",3000,"NO@MIA 12/23/2017 08:00PM ET",2.313,"NO","MIA",0,0,0
"PF/C","Udonis Haslem",3000,"NO@MIA 12/23/2017 08:00PM ET",2.15,"MIA","NO",0,0,0.25
"PG/SG","Derrick Walton",3000,"NO@MIA 12/23/2017 08:00PM ET",2.031,"MIA","NO",0,0,7
"PG","Frank Jackson",3000,"NO@MIA 12/23/2017 08:00PM ET",0,"NO","MIA",0,0,0
"C","Alexis Ajinca",3000,"NO@MIA 12/23/2017 08:00PM ET",0,"NO","MIA",0,0,0
"SG/SF","Rodney McGruder",3000,"NO@MIA 12/23/2017 08:00PM ET",0,"MIA","NO",0,0,0
"SG","Matt Williams",3000,"NO@MIA 12/23/2017 08:00PM ET",0,"MIA","NO",0,0,0
"SF/PF","Solomon Hill",3000,"NO@MIA 12/23/2017 08:00PM ET",0,"NO","MIA",0,0,0
"C","AJ Hammons",3000,"NO@MIA 12/23/2017 08:00PM ET",0,"MIA","NO",0,0,0
"PF","Darrell Arthur",3000,"DEN@GS 12/23/2017 08:30PM ET",3.938,"DEN","GS",0,0,0
"SF/PF","Richard Jefferson",3000,"DEN@GS 12/23/2017 08:30PM ET",3.219,"DEN","GS",0,0,0
"PG","Monte Morris",3000,"DEN@GS 12/23/2017 08:30PM ET",1.5,"DEN","GS",0,0,0
"C","Damian Jones",3000,"DEN@GS 12/23/2017 08:30PM ET",1.25,"GS","DEN",0,0,0
"PF","Chris Boucher",3000,"DEN@GS 12/23/2017 08:30PM ET",0,"GS","DEN",0,0,0
"PF","Tyler Lydon",3000,"DEN@GS 12/23/2017 08:30PM ET",0,"DEN","GS",0,0,0
