slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
ellinwa01,Wayne Ellington,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1767,4,9,4,8,0,0,0,0,0,0,0,0,1,6.9
feliccr01,Cristiano Felicio,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1312,3,5,0,0,0,0,2,6,2,1,0,2,1,6.9
grahade01,Devonte' Graham,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,1307,1,5,0,2,5,6,0,1,7,0,0,1,2,6.9
kuzmaky01,Kyle Kuzma,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1776,5,15,1,4,4,4,0,4,0,1,0,1,2,6.9
willike04,Kenrich Williams,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,1773,3,8,2,5,0,0,0,5,5,2,0,3,2,6.8
wagnemo01,Moritz Wagner,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,726,4,5,0,1,3,4,0,1,2,0,1,3,4,6.5
fournev01,Evan Fournier,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1955,4,9,2,6,1,1,0,4,3,1,0,3,3,6.4
markkla01,Lauri Markkanen,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,989,2,10,1,3,5,6,2,7,0,1,2,3,0,6.3
thomptr01,Tristan Thompson,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,1089,2,4,0,0,3,4,2,1,2,0,0,1,1,6.3
clarkia01,Ian Clark,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,1479,3,9,2,5,4,4,0,2,1,1,0,1,5,6.2
whiteha01,Hassan Whiteside,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,896,5,6,0,0,0,0,0,2,0,2,0,3,3,6.2
birchkh01,Khem Birch,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,778,2,2,0,0,2,4,3,0,1,0,0,1,1,6.0
greenja01,JaMychal Green,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,984,1,4,1,3,2,2,0,6,0,2,0,0,1,6.0
bayleje01,Jerryd Bayless,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,1069,4,10,0,2,1,5,0,4,3,1,0,0,1,5.9
wilsodj01,D.J. Wilson,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,956,3,5,1,2,0,0,1,5,0,0,0,1,0,5.9
clarkga01,Gary Clark,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,587,2,5,2,5,0,0,0,1,0,2,0,0,0,5.6
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1540,1,6,1,3,4,4,0,3,5,0,0,2,0,5.6
bartowi01,Will Barton,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,1994,4,13,2,6,0,1,1,6,1,1,0,0,2,5.5
dienggo01,Gorgui Dieng,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,730,2,3,0,0,0,2,1,4,0,2,0,0,1,5.4
