,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
0,Bradley Beal,WASHINGTON WIZARDS,2020-02-23,AWAY,CHICAGO BULLS,35.09133333333333,6.265928000000002,2.5743,5.390227,4.945791,4.206,0.5517799999999999,1.62615,2.1763000000000003,43.837999999999994,42.246422200000005,67.0
1,CJ McCollum,PORTLAND TRAIL BLAZERS,2020-02-23,HOME,DETROIT PISTONS,36.311,4.640844,2.49726,1.7783680000000004,4.801128,4.777000000000001,0.3537,1.08975,2.0390099999999998,32.75900000000001,33.77002960000001,71.8
2,Jayson Tatum,BOSTON CELTICS,2020-02-23,AWAY,LOS ANGELES LAKERS,37.758500000000005,3.9246560000000006,2.73052,5.323695000000001,6.897027,3.6009200000000003,0.7649,1.38588,1.7677500000000002,48.431,39.7269694,57.0
3,Carmelo Anthony,PORTLAND TRAIL BLAZERS,2020-02-23,HOME,DETROIT PISTONS,32.44283333333333,4.601164,1.79534,2.415972,6.750468000000001,2.5698,0.6896599999999999,1.1745,1.3694899999999994,24.378999999999998,33.1825716,38.3
4,Jrue Holiday,NEW ORLEANS PELICANS,2020-02-23,AWAY,GOLDEN STATE WARRIORS,30.944833333333335,4.045574,1.84242,3.5634,5.009019,6.59252,0.62822,1.46784,2.5234099999999997,39.467000000000006,36.8461808,52.9
5,Coby White,CHICAGO BULLS,2020-02-23,HOME,WASHINGTON WIZARDS,30.017333333333333,2.693784,2.4566,2.534219,4.655421,4.09156,0.40572,1.22733,1.8275700000000001,27.272999999999996,30.087012199999997,47.2
6,Nikola Jokić,DENVER NUGGETS,2020-02-23,HOME,MINNESOTA TIMBERWOLVES,35.82116666666666,6.698874000000002,1.30314,3.56923,7.987299,6.19428,0.9987999999999999,1.3835100000000002,2.45269,55.71699999999999,44.446816800000015,50.4
7,Christian Wood,DETROIT PISTONS,2020-02-23,AWAY,PORTLAND TRAIL BLAZERS,30.922,3.962786,1.68834,4.562967,8.306649,2.77804,1.03612,1.09971,1.4373500000000003,35.836999999999996,36.65873779999999,44.3
8,Paul Millsap,DENVER NUGGETS,2020-02-23,HOME,MINNESOTA TIMBERWOLVES,22.575,3.466152,1.24322,2.7418519999999997,6.117852,3.2673600000000005,0.55384,1.1872200000000002,1.4103599999999998,23.206,29.459098400000002,41.4
9,Tomáš Satoranský,CHICAGO BULLS,2020-02-23,HOME,WASHINGTON WIZARDS,28.811333333333334,3.559292,1.5492400000000002,1.8078150000000002,6.0235710000000005,4.8065999999999995,0.58892,1.1324100000000001,1.95129,22.532999999999998,31.2250042,50.1
