Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56311-117286,C,Moses,Moses Brown,Brown,22.58823529411765,17,6700,TOR@OKC,OKC,TOR,,,,,,C
56311-23831,PF,Jerami,Jerami Grant,Grant,36.08139534883721,43,6600,POR@DET,DET,POR,,,,,,PF
56311-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,37.77674475381541,43,6600,MIA@IND,IND,MIA,,,,,,PG
56311-68090,SF,OG,OG Anunoby,Anunoby,30.024138351966595,29,6600,TOR@OKC,TOR,OKC,,,,,,SF
56311-84708,C,Robert,Robert Williams,Williams,25.269999694824218,40,6300,DAL@BOS,BOS,DAL,,,,,,C
56311-9535,PG,Kyle,Kyle Lowry,Lowry,35.47179549779647,39,6300,TOR@OKC,TOR,OKC,,,,,,PG
56311-9666,PF,Thaddeus,Thaddeus Young,Young,29.919511004192074,41,6300,CHI@PHO,CHI,PHO,,,,,,PF
56311-23096,SF,Evan,Evan Fournier,Fournier,30.03333423755787,27,6200,DAL@BOS,BOS,DAL,,,,,,SF
56311-58312,SG,D'Angelo,D'Angelo Russell,Russell,32.04500122070313,20,6200,NY@MIN,MIN,NY,O,Knee,,,,SG
56311-58378,C,Jakob,Jakob Poeltl,Poeltl,25.029546564275567,44,6100,SAC@SA,SA,SAC,,,,,,C
56311-14496,PG,Ricky,Ricky Rubio,Rubio,24.71333279079861,45,6000,NY@MIN,MIN,NY,,,,,,PG
56311-145576,PF,Jae'Sean,Jae'Sean Tate,Tate,23.949998938519023,46,6000,HOU@BKN,HOU,BKN,,,,,,PF
56311-14510,SG,Alec,Alec Burks,Burks,23.93142787388393,35,6000,NY@MIN,NY,MIN,,,,,,SG
56311-9575,PG,Mike,Mike Conley,Conley,30.36842105263158,38,6000,UTA@MEM,UTA,MEM,,,,,,PG
56311-58253,C,Myles,Myles Turner,Turner,33.95238095238095,42,6000,MIA@IND,IND,MIA,,,,,,C
56311-23716,SF,Kyle,Kyle Anderson,Anderson,28.273809523809526,42,5900,UTA@MEM,MEM,UTA,,,,,,SF
56311-15946,PF,Harrison,Harrison Barnes,Barnes,30.02499944513494,44,5800,SAC@SA,SAC,SA,,,,,,PF
56311-23665,SF,Buddy,Buddy Hield,Hield,28.606382978723403,47,5800,SAC@SA,SAC,SA,,,,,,SF
56311-84699,PG,Hamidou,Hamidou Diallo,Diallo,24.276471306295957,34,5800,POR@DET,DET,POR,,,,,,PG
56311-15590,C,Mason,Mason Plumlee,Plumlee,30.174998890269887,44,5800,POR@DET,DET,POR,,,,,,C
56311-101329,PG,Kendrick,Kendrick Nunn,Nunn,23.44210494192023,38,5800,MIA@IND,MIA,IND,GTD,Ankle,,,,PG
56311-49675,PG,Derrick,Derrick White,White,25.06999969482422,20,5700,SAC@SA,SA,SAC,,,,,,PG
56311-110312,SG,Tyler,Tyler Herro,Herro,28.055555555555557,36,5700,MIA@IND,MIA,IND,,,,,,SG
56311-23825,C,Nerlens,Nerlens Noel,Noel,21.451219512195124,41,5700,NY@MIN,NY,MIN,,,,,,C
56311-66064,SF,Malik,Malik Beasley,Beasley,30.47428501674107,35,5600,NY@MIN,MIN,NY,,,,,,SF
56311-145337,SG,Tyrese,Tyrese Haliburton,Haliburton,28.741464010099087,41,5600,SAC@SA,SAC,SA,,,,,,SG
56311-22541,C,Kelly,Kelly Olynyk,Olynyk,24.58444552951389,45,5500,HOU@BKN,HOU,BKN,,,,,,C
56311-23670,SG,Marcus,Marcus Smart,Smart,28.753570556640625,28,5500,DAL@BOS,BOS,DAL,,,,,,SG
56311-9475,PG,Derrick,Derrick Rose,Rose,25.48518428096065,27,5500,NY@MIN,NY,MIN,GTD,Ankle,,,,PG
56311-110345,SF,Kevin,Kevin Porter,Porter,29.24444580078125,9,5500,HOU@BKN,HOU,BKN,,,,,,SF
56311-59318,SG,Joe,Joe Ingles,Ingles,23.91190447126116,42,5500,UTA@MEM,UTA,MEM,,,,,,SG
56311-15846,SG,Tim,Tim Hardaway,Hardaway,24.584089799360797,44,5500,DAL@BOS,DAL,BOS,,,,,,SG
56311-110353,PF,Brandon,Brandon Clarke,Clarke,26.174358661358173,39,5400,UTA@MEM,MEM,UTA,,,,,,PF
56311-9508,SF,Carmelo,Carmelo Anthony,Anthony,23.975556098090276,45,5400,POR@DET,POR,DET,,,,,,SF
56311-60233,SG,Dillon,Dillon Brooks,Brooks,26.407315882240855,41,5400,UTA@MEM,MEM,UTA,,,,,,SG
56311-40830,SG,Delon,Delon Wright,Wright,27.663156609786185,38,5400,SAC@SA,SAC,SA,,,,,,SG
56311-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,17.374074300130207,27,5300,TOR@OKC,OKC,TOR,,,,,,PF
56311-84670,SF,Mikal,Mikal Bridges,Bridges,27.254346764605977,46,5300,CHI@PHO,PHO,CHI,,,,,,SF
56311-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,24.28444552951389,45,5300,MIL@LAL,MIL,LAL,,,,,,SG
56311-84709,C,Mitchell,Mitchell Robinson,Robinson,25.73871046496976,31,5300,NY@MIN,NY,MIN,O,Foot,,,,C
56311-9621,C,Brook,Brook Lopez,Lopez,23.567390773607336,46,5300,MIL@LAL,MIL,LAL,,,,,,C
56311-15557,C,Andre,Andre Drummond,Drummond,42.5360009765625,25,5200,MIL@LAL,LAL,MIL,,,,,,C
56311-23294,SF,Danuel,Danuel House,House,19.682141985212052,28,5200,HOU@BKN,HOU,BKN,GTD,Back,,,,SF
56311-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,17.030232274255088,43,5200,MIL@LAL,LAL,MIL,,,,,,SG
56311-145536,PG,Theo,Theo Maledon,Maledon,18.810000610351562,40,5100,TOR@OKC,OKC,TOR,,,,,,PG
56311-84679,PF,Marvin,Marvin Bagley,Bagley,25.87837837837838,37,5100,SAC@SA,SAC,SA,O,Hand,,,,PF
56311-110637,PF,Darius,Darius Bazley,Bazley,24.77777777777778,36,5000,TOR@OKC,OKC,TOR,O,Shoulder,,,,PF
56311-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,14.174074526186343,27,5000,MIA@IND,MIA,IND,,,,,,PF
56311-20640,PG,Jordan,Jordan Clarkson,Clarkson,26.495653235394023,46,5000,UTA@MEM,UTA,MEM,,,,,,PG
56311-111273,SF,Luguentz,Luguentz Dort,Dort,21.273171029439787,41,5000,TOR@OKC,OKC,TOR,O,Concussion,,,,SF
56311-84690,PG,Jalen,Jalen Brunson,Brunson,21.929267697217988,41,5000,DAL@BOS,DAL,BOS,,,,,,PG
56311-110347,SF,Keldon,Keldon Johnson,Johnson,26.00487685785061,41,5000,SAC@SA,SA,SAC,,,,,,SF
56311-110346,PF,Isaiah,Isaiah Roby,Roby,21.525,40,5000,TOR@OKC,OKC,TOR,,,,,,PF
56311-55057,C,Jusuf,Jusuf Nurkic,Nurkic,26.021427699497767,14,5000,POR@DET,POR,DET,,,,,,C
56311-16233,SF,Josh,Josh Richardson,Richardson,23.59722222222222,36,5000,DAL@BOS,DAL,BOS,,,,,,SF
56311-145310,PG,Saben,Saben Lee,Lee,14.375999755859375,25,5000,POR@DET,DET,POR,,,,,,PG
56311-15800,PF,Jae,Jae Crowder,Crowder,21.96046483239462,43,5000,CHI@PHO,PHO,CHI,,,,,,PF
56311-145348,PG,Immanuel,Immanuel Quickley,Quickley,20.326190766834078,42,5000,NY@MIN,NY,MIN,,,,,,PG
56311-68203,C,Chris,Chris Boucher,Boucher,28.97021224650931,47,4900,TOR@OKC,TOR,OKC,,,,,,C
56311-42156,PF,Bobby,Bobby Portis,Portis,23.52558082757994,43,4900,MIL@LAL,MIL,LAL,O,Covid-19,,,,PF
56311-14511,PF,Markieff,Markieff Morris,Morris,14.204878644245428,41,4800,MIL@LAL,LAL,MIL,,,,,,PF
56311-9446,PG,Jeff,Jeff Teague,Teague,13.849999820484834,34,4800,MIL@LAL,MIL,LAL,GTD,Not injury related,,,,PG
56311-15636,SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,15.76279041378997,43,4800,MIL@LAL,LAL,MIL,,,,,,SF
56311-40262,SG,Sterling,Sterling Brown,Brown,18.17954600941051,44,4800,HOU@BKN,HOU,BKN,,,,,,SG
56311-9560,PF,Blake,Blake Griffin,Griffin,23.833333333333332,24,4800,HOU@BKN,BKN,HOU,,,,,,PF
56311-9577,PF,Rudy,Rudy Gay,Gay,21.90810744826858,37,4800,SAC@SA,SA,SAC,,,,,,PF
56311-80812,PF,Lauri,Lauri Markkanen,Markkanen,27.14,25,4800,CHI@PHO,CHI,PHO,,,,,,PF
56311-145328,SF,Saddiq,Saddiq Bey,Bey,19.28181873668324,44,4800,POR@DET,DET,POR,,,,,,SF
56311-80823,PF,Tony,Tony Bradley,Bradley,15.466666085379464,21,4800,TOR@OKC,OKC,TOR,,,,,,PF
56311-9673,PG,Goran,Goran Dragic,Dragic,24.324138772898706,29,4800,MIA@IND,MIA,IND,,,,,,PG
56311-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,24.419047037760418,21,4800,HOU@BKN,BKN,HOU,O,Not injury related,,,,PF
56311-18393,PG,T.J.,T.J. McConnell,McConnell,25.954761323474703,42,4800,MIA@IND,IND,MIA,,,,,,PG
56311-16363,SF,Joe,Joe Harris,Harris,22.48723456200133,47,4800,HOU@BKN,BKN,HOU,,,,,,SF
