team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,35,80,9,29,13,17,9,31,23,8,3,11,22
CHARLOTTE HORNETS,240,32,73,12,29,24,28,6,34,15,6,7,12,17
HOUSTON ROCKETS,240,45,85,16,44,16,21,11,19,23,6,3,10,24
DENVER NUGGETS,240,51,82,14,31,20,23,10,26,37,7,4,8,14
OKLAHOMA CITY THUNDER,240,44,91,16,30,14,19,13,37,23,10,4,15,20
MIAMI HEAT,240,41,92,11,36,9,14,11,36,28,7,2,17,17
BOSTON CELTICS,240,46,100,13,37,8,10,11,32,25,11,7,7,18
NEW YORK KNICKS,240,39,86,9,31,12,12,8,40,21,2,2,17,15
ATLANTA HAWKS,240,39,98,14,46,20,24,8,32,23,11,4,11,27
UTAH JAZZ,240,46,87,12,35,24,30,11,40,31,4,6,15,22
