,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
13,Duncan Robinson,SG,LAL@MIA,MIA,40.95,$8189,$8500,-$311,20.64, , ,0.7678299176219829,0.0
21,Talen Horton-Tucker,SG,LAL@MIA,LAL,9.87,$1973,$6000,-$4027,12.07, , ,0.0,0.0
24,Derrick Jones,SF,LAL@MIA,MIA,16.61,$3321,$6000,-$2679,19.16, , ,0.0,0.0
26,Dion Waiters,SF,LAL@MIA,LAL,17.1,$3420,$6000,-$2580,18.38, , ,0.0,0.0
15,Alex Caruso,PG,LAL@MIA,LAL,16.8,$3361,$7500,-$4139,13.96, , ,0.0,0.0
22,Gabe Vincent,PG,LAL@MIA,MIA,8.54,$1708,$6000,-$4292,5.67,GTD,Knee,0.0,0.0
16,Kyle Kuzma,PF,LAL@MIA,LAL,28.78,$5756,$7000,-$1244,21.32, , ,0.0,0.0
29,Kostas Antetokounmpo,PF,LAL@MIA,LAL,10.45,$2091,$6000,-$3909,2.52, , ,0.0,0.0
19,Meyers Leonard,C,LAL@MIA,MIA,26.15,$5230,$6500,-$1270,14.74, , ,0.0,0.0
