team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,46,95,15,40,18,28,10,34,20,11,4,8,21
ATLANTA HAWKS,240,43,88,20,42,16,19,10,37,21,6,4,18,24
WASHINGTON WIZARDS,240,42,97,10,39,16,18,11,32,24,6,6,13,20
CHARLOTTE HORNETS,240,46,96,13,33,18,22,11,42,26,7,6,13,20
DENVER NUGGETS,240,42,103,14,37,16,25,21,42,32,11,2,13,26
DALLAS MAVERICKS,240,34,84,10,41,26,33,7,35,19,7,2,15,21
NEW ORLEANS PELICANS,240,43,93,8,27,17,30,14,37,25,5,5,17,25
INDIANA PACERS,240,44,93,14,32,24,35,13,35,28,10,5,11,24
LOS ANGELES CLIPPERS,240,35,75,6,25,36,42,7,42,21,8,4,23,30
MEMPHIS GRIZZLIES,240,33,90,9,32,31,36,11,28,20,10,6,11,31
MINNESOTA TIMBERWOLVES,240,41,87,11,24,22,32,7,35,22,13,8,13,20
NEW YORK KNICKS,240,37,86,11,29,19,24,8,39,15,9,8,20,22
UTAH JAZZ,290,52,105,18,40,25,31,15,46,33,8,10,24,25
OKLAHOMA CITY THUNDER,290,55,118,18,44,20,25,11,32,29,16,5,11,29
CHICAGO BULLS,240,40,90,12,29,18,19,6,33,18,8,4,8,19
ORLANDO MAGIC,240,41,81,14,34,13,24,8,38,25,4,6,14,14
SAN ANTONIO SPURS,240,43,89,12,37,19,22,9,39,27,7,6,14,22
TORONTO RAPTORS,240,40,94,14,30,26,32,14,33,24,8,3,9,20
