Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56333-9644,SG,James,James Harden,Harden,53.24761672247024,42,11500,CHA@BKN,BKN,CHA,O,Hamstring,,,,SG
56333-9642,PG,Russell,Russell Westbrook,Westbrook,50.23076923076923,39,11300,WAS@DET,WAS,DET,,,,,,PG
56333-55062,C,Nikola,Nikola Jokic,Jokic,55.647918701171875,48,11000,DEN@LAC,DEN,LAC,,,,,,C
56333-49111,C,Joel,Joel Embiid,Embiid,53.11290322580645,31,10700,PHI@CLE,PHI,CLE,O,Knee,,,,C
56333-14498,PG,Kyrie,Kyrie Irving,Irving,46.16470516429228,34,10000,CHA@BKN,BKN,CHA,,,,,,PG
56333-14513,SF,Kawhi,Kawhi Leonard,Leonard,45.3097549066311,41,9600,DEN@LAC,LAC,DEN,,,,,,SF
56333-110310,PF,Zion,Zion Williamson,Williamson,41.708889431423614,45,9500,ORL@NO,NO,ORL,O,Thumb,,,,PF
56333-80817,C,Bam,Bam Adebayo,Adebayo,42.271429152715776,42,9400,GS@MIA,MIA,GS,,,,,,C
56333-14528,SF,Jimmy,Jimmy Butler,Butler,45.96666740648674,33,9000,GS@MIA,MIA,GS,,,,,,SF
56333-9524,PG,Stephen,Stephen Curry,Curry,45.97317132717225,41,9000,GS@MIA,GS,MIA,,,,,,PG
56333-15595,SG,Bradley,Bradley Beal,Beal,45.63333275204613,42,8800,WAS@DET,WAS,DET,GTD,Hip,,,,SG
56333-9646,SF,Kevin,Kevin Durant,Durant,48.542104620682565,19,8800,CHA@BKN,BKN,CHA,O,Hamstring,,,,SF
56333-12341,SG,Paul,Paul George,George,39.42973038956926,37,8700,DEN@LAC,LAC,DEN,O,Foot,,,,SG
56333-84671,PG,Trae,Trae Young,Young,43.577777777777776,45,8700,ATL@SA,ATL,SA,,,,,,PG
56333-55059,C,Clint,Clint Capela,Capela,40.15853658536585,41,8500,ATL@SA,ATL,SA,,,,,,C
56333-14518,PF,Tobias,Tobias Harris,Harris,38.51190476190476,42,8300,PHI@CLE,PHI,CLE,,,,,,PF
56333-66048,SF,Brandon,Brandon Ingram,Ingram,38.43912937330163,46,8000,ORL@NO,NO,ORL,GTD,Toe,,,,SF
56333-66115,PG,Ben,Ben Simmons,Simmons,39.11025766225961,39,7900,PHI@CLE,PHI,CLE,,,,,,PG
56333-67708,PG,Dejounte,Dejounte Murray,Murray,34.92499889026988,44,7800,ATL@SA,SA,ATL,,,,,,PG
56333-15684,SG,Victor,Victor Oladipo,Oladipo,36.85172245420259,29,7800,GS@MIA,MIA,GS,,,,,,SG
56333-66236,PF,John,John Collins,Collins,33.09574468085106,47,7700,ATL@SA,ATL,SA,O,Ankle,,,,PF
56333-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.61579011615954,38,7700,ATL@SA,SA,ATL,,,,,,SG
56333-42677,PG,Terry,Terry Rozier,Rozier,33.56818181818182,44,7500,CHA@BKN,CHA,BKN,,,,,,PG
56333-84667,SG,Collin,Collin Sexton,Sexton,34.67000122070313,40,7500,PHI@CLE,CLE,PHI,,,,,,SG
56333-20992,PF,Larry,Larry Nance,Nance,28.879310344827587,29,7300,PHI@CLE,CLE,PHI,O,Illness,,,,PF
56333-66108,PG,Jamal,Jamal Murray,Murray,35.82000054253472,45,7300,DEN@LAC,DEN,LAC,,,,,,PG
56333-12366,SF,Gordon,Gordon Hayward,Hayward,35.74285598028274,42,7000,CHA@BKN,CHA,BKN,,,,,,SF
56333-80821,C,Jarrett,Jarrett Allen,Allen,32.41363525390625,44,7000,PHI@CLE,CLE,PHI,O,Concussion,,,,C
56333-49116,SG,Andrew,Andrew Wiggins,Wiggins,30.831914374168882,47,7000,GS@MIA,GS,MIA,,,,,,SG
56333-16405,SG,Terrence,Terrence Ross,Ross,26.427026697107262,37,6900,ORL@NO,ORL,NO,,,,,,SG
56333-84682,SF,Michael,Michael Porter,Porter,30.799999340160472,37,6800,DEN@LAC,DEN,LAC,,,,,,SF
