Position,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position
C,21.033888888888892,2.6813888888888893,0.43361111111111117,1.4352777777777779,5.784722222222222,1.0825,1.0144444444444443,0.5724999999999999,0.9586111111111113,14.0
PF,22.234390243902435,2.4639024390243898,1.0258536585365854,1.773170731707317,4.764146341463413,1.3878048780487806,0.7495121951219511,0.6590243902439026,0.8717073170731706,13.878048780487806
PG,22.82229166666666,2.3320833333333333,1.0925,1.525625,2.7502083333333327,2.694166666666666,0.36708333333333326,0.6997916666666667,1.3387499999999994,16.375
SF,22.534999999999997,2.2252083333333332,0.954791666666667,1.3972916666666668,3.6049999999999986,1.8310416666666665,0.41937500000000005,0.7218749999999999,0.9202083333333334,15.8125
SG,22.94666666666667,2.296666666666667,1.4320370370370368,1.3237037037037036,3.1325925925925926,2.216666666666667,0.3970370370370369,0.7577777777777778,1.0807407407407408,15.61111111111111
