,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
10,Andrew Wiggins,SG,GS@PHO,GS,36.52,$7305,$7400,-$95,31.74, , ,0.0,0.0
22,Derrick Rose,SG,LAL@DET,DET,26.5,$5300,$5600,-$300,26.09, , ,0.0,0.0
0,LeBron James,SF,LAL@DET,LAL,44.92,$8984,$10700,-$1716,46.33,GTD,Ankle,0.0,0.0
37,Josh Jackson,SF,LAL@DET,DET,36.03,$7206,$4800,$2406,21.21, , ,0.0,0.0
9,Chris Paul,PG,GS@PHO,PHO,33.31,$6663,$7400,-$737,34.95, , ,0.0,0.0
21,Dennis Schroder,PG,LAL@DET,LAL,27.47,$5494,$5700,-$206,25.75, , ,0.0,0.0
23,Blake Griffin,PF,LAL@DET,DET,28.06,$5611,$5500,$111,26.62, , ,0.0,0.10769017047573458
36,Draymond Green,PF,GS@PHO,GS,26.04,$5208,$4900,$308,21.86, , ,0.17970795658073102,0.0
8,DeMarcus Cousins,C,POR@HOU,HOU,36.15,$7229,$8000,-$771,25.49, , ,0.0,0.0
