,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
0,Trae Young,ATLANTA HAWKS,2020-02-09,HOME,NEW YORK KNICKS,34.448,3.3411820000000017,2.83752,7.88831,5.058696,7.646000000000001,0.27598,1.2099900000000001,3.1433799999999996,50.028,41.9371992,67.7
1,John Collins,ATLANTA HAWKS,2020-02-09,HOME,NEW YORK KNICKS,35.730000000000004,6.153360000000002,1.44652,3.2172230000000006,8.775977999999999,2.6474,0.92626,0.99078,1.4027299999999996,42.739000000000004,38.714166600000006,58.7
2,Furkan Korkmaz,PHILADELPHIA 76ERS,2020-02-09,HOME,CHICAGO BULLS,24.563333333333333,1.850340000000001,2.3175,1.6787540000000005,4.961717999999999,3.13456,0.60534,1.01682,1.3008800000000003,23.233999999999998,26.553435600000007,47.0
3,Joel Embiid,PHILADELPHIA 76ERS,2020-02-09,HOME,CHICAGO BULLS,27.2515,4.821414000000001,1.64982,4.888224,8.297063999999999,3.77332,0.9346599999999998,1.1814900000000002,1.80789,37.35699999999999,39.6375288,66.9
4,Ja Morant,MEMPHIS GRIZZLIES,2020-02-09,AWAY,WASHINGTON WIZARDS,28.845000000000002,5.85525,1.03564,3.85771,4.539867,5.30412,0.34086,1.10838,2.25475,27.991,34.1721204,57.0
5,Damian Lillard,PORTLAND TRAIL BLAZERS,2020-02-09,HOME,MIAMI HEAT,38.2945,4.421426000000002,3.227,3.955075,5.231457000000001,6.97688,0.47818,1.1733300000000002,2.68318,57.886,41.4933454,52.8
6,Jordan Clarkson,UTAH JAZZ,2020-02-09,AWAY,HOUSTON ROCKETS,23.9885,3.401484,2.0179,2.016236,4.218525,2.66136,0.35642,0.9711599999999999,1.33262,20.719999999999995,26.577294,40.2
7,James Harden,HOUSTON ROCKETS,2020-02-09,HOME,UTAH JAZZ,35.377500000000005,3.1306460000000014,2.85892,6.404808000000001,6.162279,5.70468,0.71278,1.5243600000000002,2.47837,51.53699999999999,41.4276648,63.0
8,Russell Westbrook,HOUSTON ROCKETS,2020-02-09,HOME,UTAH JAZZ,38.04233333333333,10.720408,1.17688,3.9668900000000002,7.158624,5.9044,0.60284,1.4880900000000001,2.6749400000000003,55.602000000000004,49.983144800000005,55.2
9,Trevor Ariza,PORTLAND TRAIL BLAZERS,2020-02-09,HOME,MIAMI HEAT,27.455666666666666,2.934438000000001,1.31812,1.371748,5.067639000000001,2.73456,0.33872,1.2038400000000002,1.2537600000000002,15.852,24.751910800000005,45.3
10,Julius Randle,NEW YORK KNICKS,2020-02-09,AWAY,ATLANTA HAWKS,34.40783333333333,6.636888000000001,1.3245399999999998,3.485818,7.873206,3.7246,0.81344,1.3309500000000003,1.9242299999999999,38.633,40.276901200000005,61.099999999999994
11,Zach LaVine,CHICAGO BULLS,2020-02-09,AWAY,PHILADELPHIA 76ERS,34.99783333333333,5.1092900000000006,2.12918,4.8350360000000006,5.387022,4.915719999999999,0.45475999999999994,1.36632,2.08169,38.931,38.660712399999994,48.2
12,Gary Trent,PORTLAND TRAIL BLAZERS,2020-02-09,HOME,MIAMI HEAT,26.910500000000003,1.9648960000000004,2.05428,1.2908089999999999,4.511864999999999,2.86472,0.64414,1.2953700000000001,1.1190600000000002,23.119999999999997,25.794228999999998,38.8
13,Mitchell Robinson,NEW YORK KNICKS,2020-02-09,AWAY,ATLANTA HAWKS,20.043499999999998,3.7114319999999994,0.766,1.8432610000000003,6.613301999999999,2.3174,1.4578799999999998,1.2767100000000002,1.1621099999999998,21.520999999999997,30.017847399999997,46.2
14,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-02-09,HOME,BOSTON CELTICS,36.381,5.472682000000001,1.6091600000000001,3.9335430000000002,6.254568000000001,3.6806,1.09098,1.2650400000000002,1.7361900000000001,37.729,38.0646386,36.2
15,Lou Williams,LOS ANGELES CLIPPERS,2020-02-09,AWAY,CLEVELAND CAVALIERS,27.306833333333334,4.999844000000001,1.50858,4.471206,4.940091,4.608280000000001,0.35008,0.96651,1.9983100000000005,23.963000000000005,33.788623199999996,39.5
16,Goran Dragić,MIAMI HEAT,2020-02-09,AWAY,PORTLAND TRAIL BLAZERS,29.18,3.0448880000000003,2.01362,3.6963170000000005,4.560804,4.69872,0.26802,1.25922,1.9582400000000002,28.751999999999995,30.9714778,43.3
17,Montrezl Harrell,LOS ANGELES CLIPPERS,2020-02-09,AWAY,CLEVELAND CAVALIERS,24.476666666666667,6.489080000000001,0.7767000000000001,2.3385230000000004,5.918229,2.6486400000000003,0.94966,0.97329,1.3581600000000007,25.912,33.13230780000001,36.3
