Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
55157-9488,SF,LeBron,LeBron James,James,48.517646340762866,34,11000,GS@LAL,LAL,GS,GTD,Ankle,,,
55157-9524,PG,Stephen,Stephen Curry,Curry,46.65151515151515,33,10400,GS@LAL,GS,LAL,,,,,
55157-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,46.82142857142857,14,10000,PHO@MIN,MIN,PHO,,,,,
55157-40783,SG,Zach,Zach LaVine,LaVine,42.881248474121094,32,9800,CHI@TOR,CHI,TOR,,,,,
55157-15755,PF,Anthony,Anthony Davis,Davis,44.54782502547555,23,9800,GS@LAL,LAL,GS,O,Calf,,,
55157-84671,PG,Trae,Trae Young,Young,44.91612981980847,31,9600,ATL@MIA,ATL,MIA,GTD,Groin,,,
55157-15595,SG,Bradley,Bradley Beal,Beal,48.527587890625,29,9600,WAS@BOS,WAS,BOS,,,,,
55157-14528,SF,Jimmy,Jimmy Butler,Butler,45.528570265997026,21,9500,ATL@MIA,MIA,ATL,GTD,Knee,,,
55157-80808,PF,Jayson,Jayson Tatum,Tatum,42.93928745814732,28,9400,WAS@BOS,BOS,WAS,,,,,
55157-9642,PG,Russell,Russell Westbrook,Westbrook,45.2875010172526,24,9400,WAS@BOS,WAS,BOS,,,,,
55157-42669,PF,Julius,Julius Randle,Randle,44.39117790670956,34,8900,NY@DET,NY,DET,,,,,
55157-12332,PG,John,John Wall,Wall,35.71363691850142,22,8800,MEM@HOU,HOU,MEM,,,,,
55157-60021,SF,Pascal,Pascal Siakam,Siakam,39.61000162760417,30,8800,CHI@TOR,TOR,CHI,O,Covid-19,,,
55157-80817,PF,Bam,Bam Adebayo,Adebayo,42.229031470514116,31,8700,ATL@MIA,MIA,ATL,GTD,Knee,,,
55157-42202,PF,Christian,Christian Wood,Wood,41.81176398782169,17,8500,MEM@HOU,HOU,MEM,O,Ankle,,,
55157-55059,C,Clint,Clint Capela,Capela,40.61333414713542,30,8500,ATL@MIA,ATL,MIA,,,,,
55157-24247,SG,Fred,Fred VanVleet,VanVleet,40.799998563878674,34,8400,CHI@TOR,TOR,CHI,,,,,
55157-9535,PG,Kyle,Kyle Lowry,Lowry,36.0407398365162,27,8400,CHI@TOR,TOR,CHI,,,,,
55157-67026,SF,Jaylen,Jaylen Brown,Brown,39.609678206905244,31,8400,WAS@BOS,BOS,WAS,GTD,Knee,,,
55157-80810,PG,De'Aaron,De'Aaron Fox,Fox,39.446876525878906,32,8000,CHA@SAC,SAC,CHA,,,,,
55157-15860,PF,Draymond,Draymond Green,Green,29.899999158135778,29,7800,GS@LAL,GS,LAL,,,,,
55157-58460,SG,Devin,Devin Booker,Booker,35.464285714285715,28,7700,PHO@MIN,PHO,MIN,,,,,
55157-145485,PG,LaMelo,LaMelo Ball,Ball,34.493751525878906,32,7600,CHA@SAC,CHA,SAC,,,,,
55157-15684,SG,Victor,Victor Oladipo,Oladipo,35.79545454545455,22,7600,MEM@HOU,HOU,MEM,O,Rest,,,
55157-58153,SF,Kelly,Kelly Oubre,Oubre,29.341175752527572,34,7500,GS@LAL,GS,LAL,,,,,
55157-9623,PG,Chris,Chris Paul,Paul,37.67741935483871,31,7500,PHO@MIN,PHO,MIN,,,,,
55157-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.43333435058594,24,7400,MEM@HOU,MEM,HOU,,,,,
55157-23831,PF,Jerami,Jerami Grant,Grant,38.10625076293945,32,7400,NY@DET,DET,NY,,,,,
55157-145337,SG,Tyrese,Tyrese Haliburton,Haliburton,30.030000813802083,30,7300,CHA@SAC,SAC,CHA,O,Calf,,,
55157-15590,C,Mason,Mason Plumlee,Plumlee,29.835484658518144,31,7200,NY@DET,DET,NY,,,,,
55157-58312,SG,D'Angelo,D'Angelo Russell,Russell,32.04500122070313,20,7200,PHO@MIN,MIN,PHO,O,Knee,,,
55157-12366,SF,Gordon,Gordon Hayward,Hayward,36.380000813802084,30,7100,CHA@SAC,CHA,SAC,GTD,Hand,,,
55157-110344,PG,Ja,Ja Morant,Morant,35.019048781622026,21,7100,MEM@HOU,MEM,HOU,,,,,
55157-66236,PF,John,John Collins,Collins,31.699999260179926,33,7000,ATL@MIA,ATL,MIA,,,,,
55157-84673,C,Deandre,Deandre Ayton,Ayton,33.290626525878906,32,7000,PHO@MIN,PHO,MIN,,,,,
