,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,FPPG (Fanduel),Injury Indicator,Injury Details,Hot,Cold
0,Luka Doncic,SG,LAC@DAL,DAL,47.75,$9550,$10500,-$950,51.87,GTD,Ankle,0.0,0.0
22,Marcus Smart,SG,BOS@PHI,BOS,34.81,$6962,$5500,$1462,29.49, , ,0.0,0.0
11,Pascal Siakam,SF,TOR@BKN,TOR,42.57,$8513,$7900,$613,39.78, , ,0.0,0.0
17,Jaylen Brown,SF,BOS@PHI,BOS,33.38,$6677,$6800,-$123,33.38, , ,0.0,0.0
6,Kyle Lowry,PG,TOR@BKN,TOR,41.75,$8349,$8200,$149,39.13, , ,0.0,0.0
56,Reggie Jackson,PG,LAC@DAL,LAC,22.06,$4411,$3700,$711,21.69, , ,0.0,0.0
20,Serge Ibaka,PF,TOR@BKN,TOR,36.73,$7345,$6200,$1145,29.38, , ,0.0,0.0
27,Al Horford,PF,BOS@PHI,PHI,34.28,$6856,$5200,$1656,29.99, , ,0.4561904270205265,0.0
32,Montrezl Harrell,C,LAC@DAL,LAC,30.23,$6047,$4800,$1247,33.23, , ,0.0,0.0
