team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,35,78,9,20,30,34,5,24,16,9,1,13,21
GOLDEN STATE WARRIORS,240,53,92,18,39,22,26,11,38,38,6,8,12,27
CLEVELAND CAVALIERS,240,40,89,9,33,24,26,6,33,24,12,4,13,24
HOUSTON ROCKETS,240,46,89,20,52,29,32,8,37,28,8,9,15,18
DALLAS MAVERICKS,240,44,97,13,38,18,24,11,32,25,7,7,7,16
MINNESOTA TIMBERWOLVES,240,47,102,10,24,11,13,17,36,27,5,10,13,20
INDIANA PACERS,240,49,94,12,26,11,11,11,36,30,8,1,14,15
NEW YORK KNICKS,240,39,88,14,39,14,16,8,29,22,8,5,16,18
ATLANTA HAWKS,240,45,81,12,25,21,27,15,29,27,7,4,21,24
PHILADELPHIA 76ERS,240,45,87,11,33,20,27,11,19,31,13,4,15,23
CHARLOTTE HORNETS,240,36,90,13,30,11,16,10,33,23,3,2,13,10
PORTLAND TRAIL BLAZERS,240,52,93,15,40,8,9,7,40,31,10,16,9,20
BROOKLYN NETS,240,37,88,11,30,20,30,9,45,20,4,4,17,21
TORONTO RAPTORS,240,48,105,11,35,15,24,13,42,32,10,4,9,22
LOS ANGELES LAKERS,240,37,103,5,27,16,24,16,39,14,9,5,12,23
UTAH JAZZ,240,38,96,15,42,22,32,15,50,24,9,9,16,20
MILWAUKEE BUCKS,240,40,89,13,40,13,17,10,33,26,8,6,15,17
WASHINGTON WIZARDS,240,40,82,18,33,15,20,6,37,28,10,3,16,17
