team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,50,98,8,24,7,8,11,40,32,1,4,8,19
BOSTON CELTICS,240,38,94,7,35,13,16,11,34,23,4,2,8,14
DETROIT PISTONS,240,39,84,12,31,24,25,10,19,25,6,0,6,13
GOLDEN STATE WARRIORS,240,46,74,13,25,16,19,7,30,31,3,5,13,23
DENVER NUGGETS,240,33,93,7,29,15,16,15,26,21,5,7,17,17
INDIANA PACERS,240,51,91,8,18,14,17,10,39,34,9,5,11,17
SACRAMENTO KINGS,240,39,104,14,33,14,23,16,34,27,13,4,7,22
LOS ANGELES LAKERS,240,39,85,13,40,20,24,9,47,29,4,8,20,22
CLEVELAND CAVALIERS,240,41,96,11,41,12,17,12,33,23,6,1,12,21
MILWAUKEE BUCKS,240,48,87,15,41,16,21,4,41,26,8,7,9,13
HOUSTON ROCKETS,240,42,86,21,49,8,9,13,37,24,10,5,17,16
NEW ORLEANS PELICANS,240,38,92,7,28,7,10,15,29,26,9,3,15,9
LOS ANGELES CLIPPERS,240,38,86,15,35,33,37,12,30,24,7,4,8,19
NEW YORK KNICKS,240,41,86,9,33,22,25,13,31,22,5,7,14,24
CHARLOTTE HORNETS,240,41,93,18,41,15,17,14,25,32,12,3,7,17
TORONTO RAPTORS,240,45,77,11,26,13,13,3,32,29,6,11,13,17
