team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
UTAH JAZZ,240,43,94,10,32,18,26,14,35,25,12,3,15,24
ATLANTA HAWKS,240,41,87,19,40,16,23,9,34,26,8,5,16,23
MINNESOTA TIMBERWOLVES,240,39,88,10,28,18,29,9,40,23,6,7,13,21
CHARLOTTE HORNETS,240,43,100,9,29,18,24,15,40,26,5,6,10,24
INDIANA PACERS,240,35,91,6,23,13,17,12,35,17,7,3,15,18
GOLDEN STATE WARRIORS,240,44,89,13,36,11,16,10,40,32,6,8,15,19
DETROIT PISTONS,240,38,90,17,42,25,34,19,27,23,11,6,13,26
PHOENIX SUNS,240,35,73,7,26,21,26,7,28,22,6,4,19,27
DALLAS MAVERICKS,240,36,92,12,40,16,23,9,34,23,5,6,7,22
SACRAMENTO KINGS,240,41,87,13,35,21,28,12,46,24,7,9,12,18
DENVER NUGGETS,240,46,87,14,30,7,11,9,31,30,9,4,8,20
WASHINGTON WIZARDS,240,40,79,8,28,20,21,6,32,25,4,2,12,15
