slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
gordoaa01,Aaron Gordon,ORLANDO MAGIC,HOME,OKLAHOMA CITY THUNDER,WIN,2637,13,23,6,12,8,11,0,15,4,4,1,1,1,38.5
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,MEMPHIS GRIZZLIES,WIN,2207,17,24,3,3,4,4,2,4,1,0,1,0,2,34.2
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2202,12,18,8,11,4,4,1,4,6,1,0,3,4,30.7
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,ORLANDO MAGIC,LOSS,2267,11,23,7,10,8,12,4,7,5,5,0,7,3,28.9
hardeja01,James Harden,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,2119,8,22,4,12,9,9,2,6,10,1,0,1,2,26.2
kanteen01,Enes Kanter,NEW YORK KNICKS,HOME,MIAMI HEAT,WIN,1516,7,9,0,0,8,9,6,8,1,1,0,1,2,24.6
wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,NEW ORLEANS PELICANS,WIN,2192,10,18,3,6,5,5,2,6,5,0,1,2,1,24.4
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,2436,8,16,0,1,15,29,5,13,4,2,2,6,3,23.8
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,CHARLOTTE HORNETS,WIN,2126,14,22,0,2,2,3,1,3,6,0,0,1,3,23.4
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1931,6,15,0,0,13,18,7,7,4,1,4,3,6,23.1
saricda01,Dario Šarić,PHILADELPHIA 76ERS,HOME,WASHINGTON WIZARDS,WIN,1930,8,12,1,3,7,7,2,6,2,1,0,1,2,22.6
