,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
49,Lonzo Ball,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,36.074666666666666,1.6988140000000005,2.13774,0.8679290000000002,6.190377000000001,5.9158,0.60666,1.4449500000000002,2.43031,35.120999999999995,30.705449400000006,33.2
50,Marcus Morris,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,30.358666666666668,4.543008000000001,2.0949400000000002,3.194738,5.294556,2.50812,0.4653,1.50147,1.4487500000000004,29.062999999999995,33.13278120000001,22.5
51,Derrick Favors,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,22.671666666666667,4.119736,0.80238,1.9013109999999998,8.449755,2.79536,0.7844200000000001,0.9906900000000001,1.3714,23.550000000000004,30.834598999999997,21.4
52,Grant Williams,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,20.9575,3.0297099999999997,1.12124,1.431946,5.549586,2.611,0.98898,1.1429399999999998,1.2738699999999996,16.863,26.5529792,11.8
53,Trey Lyles,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,25.1385,2.762302,1.4401,1.486411,5.558322,2.17932,0.45098,1.1248799999999999,1.06907,19.831000000000003,24.928791399999998,29.5
54,Anfernee Simons,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,14.000666666666666,2.270499903368421,0.8372546042105263,1.1820674441403507,2.9706422945263156,2.0275912842105264,0.24001563929824563,0.6496383021052631,0.8293847557894739,10.191999999999998,16.68056581167719,16.4
55,Lonnie Walker,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,19.871333333333332,3.7782680000000006,1.02066,1.8963590000000001,4.977645,2.91624,0.64618,1.17234,1.3236600000000003,13.82,26.994308999999998,19.8
56,Dennis Schröder,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,32.721,5.340858000000001,1.8830799999999999,3.4744840000000003,5.263938,4.3296399999999995,0.49816000000000005,1.27089,1.8547700000000003,37.449000000000005,36.0690056,16.5
57,Matisse Thybulle,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,22.372666666666664,2.08735,1.30956,1.236959,4.124373,2.4480000000000004,0.79882,1.2188999999999999,1.0108000000000001,12.554,23.003946600000003,15.3
58,Luke Kornet,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,24.441166666666668,2.5496420000000004,1.77394,1.8848010000000002,5.340732,2.63276,0.7433,1.04301,1.13959,21.421000000000003,26.883263400000004,16.4
