slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,2146,13,18,5,8,2,2,0,6,3,1,0,5,3,24.3
irvinky01,Kyrie Irving,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,WIN,1518,10,16,4,7,2,2,1,3,4,0,0,1,3,21.0
harremo01,Montrezl Harrell,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1935,6,7,0,0,5,7,4,6,3,0,1,1,1,19.7
duranke01,Kevin Durant,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,WIN,1496,7,16,1,2,7,7,1,4,3,3,1,1,3,19.1
leverca01,Caris LeVert,BROOKLYN NETS,HOME,GOLDEN STATE WARRIORS,WIN,1489,6,17,3,5,5,6,1,8,5,2,1,2,1,17.0
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1819,7,21,2,10,4,4,3,1,10,2,0,3,1,16.1
wisemja01,James Wiseman,GOLDEN STATE WARRIORS,AWAY,BROOKLYN NETS,LOSS,1457,7,13,1,1,4,8,1,5,0,2,0,1,2,13.5
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1701,7,17,3,8,5,7,2,3,5,0,0,4,2,13.1
ibakase01,Serge Ibaka,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,1233,5,7,2,3,3,5,2,4,0,0,1,1,3,12.4
schrode01,Dennis Schröder,LOS ANGELES LAKERS,HOME,LOS ANGELES CLIPPERS,LOSS,1668,5,15,2,5,2,4,1,11,8,0,0,1,4,11.7
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,AWAY,LOS ANGELES LAKERS,WIN,2041,10,26,1,8,5,5,0,2,3,2,0,3,5,11.5
