team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
OKLAHOMA CITY THUNDER,240,45,92,14,35,25,34,11,31,25,12,5,11,18
BOSTON CELTICS,240,54,91,13,34,13,17,5,33,36,8,6,14,22
MEMPHIS GRIZZLIES,240,37,91,9,26,13,18,10,39,25,8,4,7,20
NEW YORK KNICKS,240,28,74,12,40,16,22,6,39,20,4,6,15,16
LOS ANGELES CLIPPERS,240,38,89,2,12,25,29,7,29,15,7,7,13,24
TORONTO RAPTORS,240,43,94,9,33,26,31,16,40,21,10,5,14,28
