,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_8_9,predicted_points,actual_points
0,Bradley Beal,WASHINGTON WIZARDS,2020-02-28,AWAY,UTAH JAZZ,39.99492562939221,8.419940497938963,3.7273008764037363,7.048941226624877,4.730516356897159,5.005311212730261,0.3432518627601402,1.3151346349449309,3.4845182035998157,48.7245,0,49.679535713443286,49.7459525886014,67.0
1,Seth Curry,DALLAS MAVERICKS,2020-02-28,AWAY,MIAMI HEAT,29.242578045007765,2.3454031250347054,2.3678379585809677,1.357025663178057,3.734105127942061,2.8545855640577513,0.15383378172537654,0.9213843122112384,1.1394664695487835,26.837249999999997,0,24.524168792183847,24.000338100868536,41.4
2,John Collins,ATLANTA HAWKS,2020-02-28,HOME,BROOKLYN NETS,32.15070130559853,6.880498732690093,1.0729027657050807,3.1452175732154375,9.332824650733206,2.0331003598753643,1.3732904513268513,0.8569389231085496,2.0606420803834276,45.06100000000001,0,39.590626377793356,39.00400949932653,51.6
3,Giannis Antetokounmpo,MILWAUKEE BUCKS,2020-02-28,HOME,OKLAHOMA CITY THUNDER,37.03151401871612,8.380640102933375,0.9833247234579017,6.3764522841310285,15.69634684574652,6.843441880246085,1.4450434729660677,0.9950790608798394,3.945048714668613,57.98025,0,59.3437716616117,58.56380458250553,53.6
4,Terrence Ross,ORLANDO MAGIC,2020-02-28,HOME,MINNESOTA TIMBERWOLVES,31.898859941049302,3.1027482328341622,2.8634442709750707,2.408190355516597,4.472921788283209,2.174426279257362,0.4495629168356654,0.9715172405435899,1.4102110383176947,28.011750000000003,0,28.999461947437496,28.68619463275609,49.5
5,Brandon Ingram,NEW ORLEANS PELICANS,2020-02-28,HOME,CLEVELAND CAVALIERS,33.09852882882361,4.992177668165013,2.599995095413607,4.362852297665372,5.701575907731673,4.72010281365425,0.255695721866517,1.1602086231945066,2.6563761029320894,37.59675,0,37.39829601094532,37.66057516224657,46.7
6,Derrick Rose,DETROIT PISTONS,2020-02-28,AWAY,PHOENIX SUNS,28.38640880753193,4.837879105836745,1.244373602050201,2.4745366901568078,2.4704128319283924,4.1763150589409435,0.197935027708378,0.9015405934144314,2.1821119878469024,21.87025,0,26.438636965088996,26.22869857022791,46.6
7,Spencer Dinwiddie,BROOKLYN NETS,2020-02-28,AWAY,ATLANTA HAWKS,29.796028542570443,4.210029263185335,2.1110277840057967,4.733192888476041,4.481849696492601,6.897235788760881,0.26271838285379534,0.7813204385815102,3.112919694760996,33.985,0,34.62906740691057,35.229604855341464,46.7
8,Nikola Vučević,ORLANDO MAGIC,2020-02-28,HOME,MINNESOTA TIMBERWOLVES,36.97433493979585,6.808037144068861,1.4961025096770373,2.4241645999608874,10.184406009030015,4.236137887114166,1.1605948223443479,1.0433720747777775,2.175589551577406,46.04725,0,43.60929315701945,43.54035159842597,48.5
9,Christian Wood,DETROIT PISTONS,2020-02-28,AWAY,PHOENIX SUNS,30.799028523234764,5.495598089851609,1.2891904446257336,4.185361759871701,9.216836304272473,1.6020528842829942,1.1760985899932268,0.6136284413162185,2.1120843687006534,37.961749999999995,0,35.54554305749282,35.764508890231255,48.3
