team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BROOKLYN NETS,240,39,103,13,34,13,16,16,32,20,10,5,17,20
BOSTON CELTICS,240,45,100,13,40,9,10,16,36,29,11,16,17,16
NEW YORK KNICKS,240,34,85,7,23,17,26,8,38,19,6,6,8,15
CHARLOTTE HORNETS,240,39,94,11,34,12,16,13,38,25,4,10,10,20
GOLDEN STATE WARRIORS,240,53,98,13,31,13,16,13,35,39,9,7,12,19
INDIANA PACERS,240,40,94,12,30,8,10,10,28,29,4,5,15,18
ATLANTA HAWKS,240,44,87,10,34,25,29,15,29,28,7,6,17,25
LOS ANGELES CLIPPERS,240,41,85,10,27,26,28,13,25,27,10,4,16,26
DENVER NUGGETS,240,37,84,8,36,13,14,9,28,17,10,2,15,18
MEMPHIS GRIZZLIES,240,35,78,9,32,13,19,9,33,26,5,7,19,22
