team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,50,99,13,35,17,21,12,36,32,7,8,13,26
BROOKLYN NETS,240,46,90,19,34,24,33,5,35,36,9,5,13,22
NEW ORLEANS PELICANS,240,45,85,15,35,20,30,14,32,26,1,6,11,18
CHICAGO BULLS,240,45,91,16,36,14,19,9,27,27,8,6,8,23
CHARLOTTE HORNETS,240,36,89,9,37,12,17,8,39,17,9,9,14,17
DALLAS MAVERICKS,240,38,94,11,36,12,17,15,42,25,8,5,13,12
SAN ANTONIO SPURS,240,35,81,12,32,20,21,4,26,24,6,5,18,19
GOLDEN STATE WARRIORS,240,55,95,16,34,15,21,14,38,42,14,5,11,20
WASHINGTON WIZARDS,240,48,92,17,37,16,19,8,32,34,6,5,24,23
MILWAUKEE BUCKS,240,56,93,19,30,17,26,8,26,33,15,3,14,20
HOUSTON ROCKETS,240,45,100,20,51,17,18,13,29,17,13,7,11,19
SACRAMENTO KINGS,240,39,91,11,33,12,20,20,34,21,5,6,22,22
PHOENIX SUNS,240,35,75,3,17,15,19,7,29,23,8,2,22,25
UTAH JAZZ,240,42,84,11,28,21,32,12,31,29,13,5,13,18
