team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
WASHINGTON WIZARDS,265,44,93,14,42,18,23,12,38,25,10,9,16,21
CHICAGO BULLS,265,50,106,12,23,14,17,15,33,29,10,2,13,16
MILWAUKEE BUCKS,240,36,91,13,32,17,21,11,40,24,9,7,9,16
CLEVELAND CAVALIERS,240,39,93,11,39,18,24,13,41,18,4,6,11,17
HOUSTON ROCKETS,265,42,94,21,48,20,20,11,28,19,10,4,12,27
MEMPHIS GRIZZLIES,265,41,89,13,37,31,39,15,36,20,8,0,17,19
UTAH JAZZ,240,48,85,20,42,21,25,7,33,38,7,3,10,18
NEW YORK KNICKS,240,45,86,13,31,13,21,8,32,23,6,6,14,21
TORONTO RAPTORS,265,45,87,14,36,19,21,6,46,30,11,5,17,27
OKLAHOMA CITY THUNDER,265,43,103,13,43,15,29,16,32,22,6,2,17,22
NEW ORLEANS PELICANS,240,38,102,10,34,10,13,14,35,24,9,2,13,15
ORLANDO MAGIC,240,46,102,15,38,12,14,20,45,28,8,10,14,14
BOSTON CELTICS,240,45,96,12,32,13,16,10,36,22,1,3,8,25
PHILADELPHIA 76ERS,240,34,90,11,33,39,43,17,37,23,5,5,8,17
DALLAS MAVERICKS,240,43,87,10,30,22,25,6,29,20,8,6,11,22
PORTLAND TRAIL BLAZERS,240,45,91,16,36,20,25,12,36,23,6,4,14,17
MIAMI HEAT,240,40,86,16,35,14,18,6,42,23,6,5,10,21
SAN ANTONIO SPURS,240,38,88,14,34,15,21,10,36,30,2,3,8,13
