team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MIAMI HEAT,240,31,87,5,34,15,27,12,29,23,11,7,13,17
ATLANTA HAWKS,240,43,91,10,24,10,13,14,45,25,7,2,17,22
BROOKLYN NETS,240,42,83,16,46,17,22,6,32,29,6,3,9,16
CHICAGO BULLS,240,41,88,7,18,11,15,11,33,20,6,4,12,15
ORLANDO MAGIC,240,33,89,9,31,21,29,13,41,24,6,7,12,18
LOS ANGELES CLIPPERS,240,40,93,8,22,18,23,11,42,20,5,5,7,21
LOS ANGELES LAKERS,240,32,87,5,22,17,28,12,36,20,6,4,21,20
MINNESOTA TIMBERWOLVES,240,41,89,11,32,15,21,8,42,24,10,9,14,27
WASHINGTON WIZARDS,240,44,101,10,37,18,22,16,39,25,8,8,9,16
OKLAHOMA CITY THUNDER,240,38,88,10,25,12,19,7,34,22,8,3,14,17
CHARLOTTE HORNETS,240,44,91,7,25,24,34,14,32,22,9,1,15,21
PHOENIX SUNS,240,43,83,10,25,17,19,3,33,23,8,4,14,25
INDIANA PACERS,240,43,94,4,17,15,20,12,32,24,8,4,14,19
TORONTO RAPTORS,240,44,85,17,33,16,17,8,33,30,9,4,15,21
