team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,42,93,11,27,13,18,15,28,28,4,3,8,21
DENVER NUGGETS,240,44,95,12,34,15,23,16,37,36,7,6,8,19
PHILADELPHIA 76ERS,240,42,87,12,26,23,33,17,38,25,7,7,20,28
LOS ANGELES CLIPPERS,240,42,91,5,25,24,34,12,29,18,12,0,13,29
DETROIT PISTONS,240,35,92,12,33,16,21,14,29,23,7,2,14,26
MILWAUKEE BUCKS,240,47,79,10,27,17,26,5,38,28,7,6,13,19
PORTLAND TRAIL BLAZERS,265,39,90,9,32,26,30,10,46,22,11,10,18,19
SACRAMENTO KINGS,265,44,115,11,33,9,12,14,39,24,13,4,13,23
UTAH JAZZ,240,42,97,9,32,23,29,12,31,23,6,4,4,27
TORONTO RAPTORS,240,45,82,7,20,25,35,5,40,18,4,6,9,21
