team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,40,87,13,40,26,33,12,38,29,6,2,8,23
ATLANTA HAWKS,240,36,80,16,35,13,25,8,34,25,5,3,17,25
LOS ANGELES LAKERS,240,50,97,22,41,7,18,10,33,35,5,6,8,19
BOSTON CELTICS,240,46,94,16,38,20,20,11,37,35,7,5,8,16
LOS ANGELES CLIPPERS,240,37,85,6,17,12,19,9,27,23,14,6,19,19
INDIANA PACERS,240,49,87,9,22,9,11,7,35,26,15,12,19,20
MEMPHIS GRIZZLIES,240,34,77,7,24,20,23,8,37,19,9,4,24,21
OKLAHOMA CITY THUNDER,240,43,90,17,44,14,22,11,33,29,17,2,11,25
MINNESOTA TIMBERWOLVES,240,46,99,10,26,10,12,16,27,23,8,4,12,19
ORLANDO MAGIC,240,45,83,11,26,21,23,10,31,23,5,7,13,16
SAN ANTONIO SPURS,240,48,91,12,21,10,14,10,33,19,3,3,18,16
PORTLAND TRAIL BLAZERS,240,49,91,11,31,18,18,4,29,26,11,4,8,14
