,Name,Position,Game,Team,Projected Draftkings Points,Projected Draftkings Value,Draftkings Salary,Value above Draftkings Value,FPPG,Hot,Cold,Injury Indicator,Injury Details
53,Gary Harris,SG,DEN@UTA,DEN,17.68,$3315,$3600,-$285,20.48,0.0,0.0,GTD,Hip
24,Marcus Smart,PG/SG,BOS@PHI,BOS,36.02,$6755,$5600,$1155,29.18,0.0,0.0, , 
0,Luka Doncic,PG/SF,LAC@DAL,DAL,51.58,$9671,$10800,-$1129,57.24,0.0,0.0,GTD,Ankle
8,Kyle Lowry,PG,TOR@BKN,TOR,44.0,$8249,$8100,$149,41.0,0.0,0.0, , 
10,Pascal Siakam,PF,TOR@BKN,TOR,44.27,$8300,$7900,$400,41.0,0.0,0.0, , 
44,Paul Millsap,PF,DEN@UTA,DEN,23.82,$4467,$4100,$367,23.56,0.0,0.0, , 
22,Serge Ibaka,C,TOR@BKN,TOR,36.89,$6917,$5800,$1117,30.76,0.0,0.0, , 
45,Montrezl Harrell,C,LAC@DAL,LAC,29.98,$5621,$4000,$1621,32.02,0.0,0.0, , 
