team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,49,96,14,34,16,17,9,37,38,12,5,11,24
GOLDEN STATE WARRIORS,240,34,85,8,35,19,23,9,36,26,5,2,21,24
CHICAGO BULLS,240,36,93,4,25,20,24,15,34,16,7,7,9,20
INDIANA PACERS,240,38,84,11,25,18,24,11,39,19,6,9,12,22
PORTLAND TRAIL BLAZERS,240,42,79,9,29,18,21,5,31,25,7,4,20,29
MEMPHIS GRIZZLIES,240,40,75,13,27,27,36,4,30,22,11,5,16,21
OKLAHOMA CITY THUNDER,240,42,94,18,46,18,31,15,30,20,4,8,12,26
MINNESOTA TIMBERWOLVES,240,47,89,11,22,26,35,10,42,28,6,2,9,24
ORLANDO MAGIC,240,42,93,13,32,9,12,10,34,21,4,2,12,16
PHILADELPHIA 76ERS,240,42,89,11,28,19,21,10,40,28,10,4,11,13
HOUSTON ROCKETS,240,38,85,15,34,16,18,9,34,22,11,6,9,23
TORONTO RAPTORS,240,37,89,9,32,12,16,16,31,16,1,5,13,15
