slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
millspa01,Paul Millsap,DENVER NUGGETS,HOME,DALLAS MAVERICKS,WIN,2179,14,19,1,3,4,4,1,7,3,1,0,0,4,29.6
hieldbu01,Buddy Hield,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,2119,14,24,6,10,0,0,2,2,7,0,0,1,4,27.1
irvinky01,Kyrie Irving,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,2256,11,28,1,9,8,9,3,7,12,1,1,2,2,26.9
sabondo01,Domantas Sabonis,INDIANA PACERS,HOME,OKLAHOMA CITY THUNDER,WIN,1653,7,12,0,0,12,13,0,7,4,0,1,0,3,24.4
georgpa01,Paul George,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,2146,10,23,6,11,10,12,0,6,5,2,0,5,3,24.2
augusdj01,D.J. Augustin,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,1549,7,11,1,2,5,5,2,1,7,2,0,0,0,23.7
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,AWAY,INDIANA PACERS,LOSS,2300,8,18,1,5,2,2,1,13,11,4,2,4,2,22.5
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1593,9,15,3,4,5,7,4,8,4,1,0,3,6,21.9
morrima03,Marcus Morris,BOSTON CELTICS,HOME,SACRAMENTO KINGS,WIN,2137,7,15,3,7,4,5,1,12,2,2,0,1,0,19.6
barneha02,Harrison Barnes,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,2108,7,12,3,6,3,4,0,5,4,1,0,0,1,18.9
doncilu01,Luka Dončić,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,2104,10,23,1,8,3,7,1,10,9,2,0,3,1,18.9
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,BOSTON CELTICS,LOSS,2247,7,15,1,4,4,8,0,7,9,3,0,1,3,18.9
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1941,8,17,1,6,7,9,1,2,6,0,1,1,2,18.9
powelno01,Norman Powell,TORONTO RAPTORS,HOME,LOS ANGELES LAKERS,WIN,1457,7,14,3,6,3,4,1,7,2,2,1,0,2,18.7
favorde01,Derrick Favors,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1610,8,12,0,1,1,2,5,6,0,1,2,0,2,18.3
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,CLEVELAND CAVALIERS,WIN,1612,9,15,0,0,1,1,1,10,2,2,0,1,0,18.2
jamesle01,LeBron James,LOS ANGELES LAKERS,AWAY,TORONTO RAPTORS,LOSS,1907,12,23,1,5,4,7,0,4,6,1,0,4,2,18.1
