team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,42,91,10,23,33,39,14,38,21,7,4,13,15
ATLANTA HAWKS,240,49,106,15,47,16,21,15,34,28,8,7,12,25
UTAH JAZZ,240,46,95,11,32,11,15,12,46,27,7,8,11,17
CHICAGO BULLS,240,33,92,2,16,15,20,11,34,16,6,3,12,16
BOSTON CELTICS,240,44,93,19,43,10,15,7,35,31,6,8,10,23
CHARLOTTE HORNETS,240,42,95,18,38,22,28,14,39,26,7,5,11,15
DALLAS MAVERICKS,240,44,83,21,49,17,22,8,41,33,7,2,9,22
GOLDEN STATE WARRIORS,240,36,90,4,30,15,21,8,28,22,6,2,10,22
MINNESOTA TIMBERWOLVES,240,40,83,12,26,20,21,13,36,25,7,10,19,20
MEMPHIS GRIZZLIES,240,36,96,10,33,17,22,20,27,22,8,4,15,22
DETROIT PISTONS,240,42,84,14,34,14,14,6,23,24,9,3,7,21
PORTLAND TRAIL BLAZERS,240,43,79,11,26,20,27,11,31,22,4,4,12,14
PHOENIX SUNS,240,36,88,9,34,22,26,10,33,25,10,4,14,21
SACRAMENTO KINGS,240,39,92,17,38,17,22,13,38,25,7,3,14,19
MIAMI HEAT,240,44,88,12,39,13,19,12,32,29,5,10,11,23
WASHINGTON WIZARDS,240,41,96,9,30,17,23,21,32,25,5,2,12,20
