slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,2272,14,20,1,1,12,14,0,5,9,1,0,1,5,37.6
davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,CHICAGO BULLS,WIN,1701,14,21,2,3,7,9,1,5,3,2,1,1,3,31.9
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,2105,10,20,1,2,12,17,5,9,1,1,2,3,2,26.5
couside01,DeMarcus Cousins,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1788,9,15,4,8,6,7,4,13,5,0,0,4,5,24.9
simmobe01,Ben Simmons,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,WIN,2068,5,7,0,0,10,12,1,8,7,3,1,2,3,24.8
gordoer01,Eric Gordon,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1815,10,17,6,9,7,9,0,3,2,0,0,2,1,24.2
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,2520,9,21,0,0,11,14,7,15,6,1,0,6,3,24.1
irvinky01,Kyrie Irving,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2183,10,17,3,5,5,6,1,5,7,0,1,2,5,23.5
paulch01,Chris Paul,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2520,9,20,1,6,2,2,1,8,13,2,0,2,2,22.0
duranke01,Kevin Durant,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2216,11,19,4,7,5,6,1,3,4,0,2,4,4,21.9
curryst01,Stephen Curry,GOLDEN STATE WARRIORS,AWAY,UTAH JAZZ,LOSS,1626,9,18,5,10,1,2,0,7,7,0,0,1,2,19.8
doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,1768,9,18,1,6,7,12,0,5,8,0,1,3,0,19.8
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1648,9,18,3,8,2,3,2,5,6,1,0,2,1,19.3
bledser01,Eric Bledsoe,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2051,11,23,3,5,3,6,1,4,3,1,0,1,1,18.7
nwabada01,David Nwaba,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1613,6,7,2,2,4,5,1,1,3,1,0,0,3,18.0
murraja01,Jamal Murray,DENVER NUGGETS,AWAY,PHOENIX SUNS,WIN,2598,10,22,3,7,3,4,0,6,5,0,1,2,1,17.8
vandeja01,Jarred Vanderbilt,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1271,8,13,0,0,0,0,5,6,0,2,1,0,1,17.7
ellinwa01,Wayne Ellington,DETROIT PISTONS,HOME,PHILADELPHIA 76ERS,LOSS,1700,6,9,4,6,1,2,1,3,2,2,0,1,0,16.7
reidna01,Naz Reid,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS PELICANS,WIN,1643,5,10,2,4,8,8,1,3,2,0,1,1,4,16.1
harrijo01,Joe Harris,BROOKLYN NETS,HOME,MIAMI HEAT,WIN,2213,8,14,7,12,0,0,0,2,2,0,1,2,3,15.9
goberru01,Rudy Gobert,UTAH JAZZ,HOME,GOLDEN STATE WARRIORS,WIN,1446,4,6,0,0,3,4,4,10,2,0,1,0,1,15.5
willizi01,Zion Williamson,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2271,6,16,0,1,7,9,4,7,3,1,1,2,3,14.9
ingrabr01,Brandon Ingram,NEW ORLEANS PELICANS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2199,11,20,2,7,6,6,0,4,2,0,1,7,5,14.7
crowdja01,Jae Crowder,PHOENIX SUNS,HOME,DENVER NUGGETS,LOSS,2681,6,15,6,13,3,3,0,7,3,1,0,2,4,14.5
jonesma05,Mason Jones,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1116,6,8,3,4,1,2,0,5,3,0,0,1,4,13.4
nunnke01,Kendrick Nunn,MIAMI HEAT,AWAY,BROOKLYN NETS,LOSS,1943,7,14,4,9,0,0,0,5,3,1,0,1,4,13.0
