Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (15235137),Luka Doncic,15235137,PG/SF/F/G/UTIL,11200,LAC@DAL 08/30/2020 03:30PM ET,DAL,57.49
SF,Kawhi Leonard (15235142),Kawhi Leonard,15235142,SF/F/UTIL,10100,LAC@DAL 08/30/2020 03:30PM ET,LAC,48.89
PG/SG,Donovan Mitchell (15235145),Donovan Mitchell,15235145,PG/SG/G/UTIL,9700,DEN@UTA 08/30/2020 08:30PM ET,UTA,39.30
C,Nikola Jokic (15235149),Nikola Jokic,15235149,C/UTIL,9500,DEN@UTA 08/30/2020 08:30PM ET,DEN,46.60
SF/PF,Jayson Tatum (15235151),Jayson Tatum,15235151,SF/PF/F/UTIL,9200,BOS@TOR 08/30/2020 01:00PM ET,BOS,42.23
C,Kristaps Porzingis (15235155),Kristaps Porzingis,15235155,C/UTIL,9000,LAC@DAL 08/30/2020 03:30PM ET,DAL,41.39
PG,Jamal Murray (15235157),Jamal Murray,15235157,PG/G/UTIL,8600,DEN@UTA 08/30/2020 08:30PM ET,DEN,35.02
SF,Paul George (15235160),Paul George,15235160,SF/F/UTIL,8300,LAC@DAL 08/30/2020 03:30PM ET,LAC,38.22
PF,Pascal Siakam (15235163),Pascal Siakam,15235163,PF/F/UTIL,8100,BOS@TOR 08/30/2020 01:00PM ET,TOR,41.10
PG,Kyle Lowry (15235166),Kyle Lowry,15235166,PG/G/UTIL,7900,BOS@TOR 08/30/2020 01:00PM ET,TOR,40.55
C,Rudy Gobert (15235169),Rudy Gobert,15235169,C/UTIL,7800,DEN@UTA 08/30/2020 08:30PM ET,UTA,39.53
PG/SG,Fred VanVleet (15235171),Fred VanVleet,15235171,PG/SG/G/UTIL,7700,BOS@TOR 08/30/2020 01:00PM ET,TOR,37.50
PG,Kemba Walker (15235175),Kemba Walker,15235175,PG/G/UTIL,7200,BOS@TOR 08/30/2020 01:00PM ET,BOS,36.06
SG/SF,Jaylen Brown (15235178),Jaylen Brown,15235178,SG/SF/F/G/UTIL,7100,BOS@TOR 08/30/2020 01:00PM ET,BOS,34.67
SF/PF,Gordon Hayward (15235183),Gordon Hayward,15235183,SF/PF/F/UTIL,6700,BOS@TOR 08/30/2020 01:00PM ET,BOS,34.31
PG,Mike Conley (15235187),Mike Conley,15235187,PG/G/UTIL,6600,DEN@UTA 08/30/2020 08:30PM ET,UTA,27.42
PG,Will Barton (15235190),Will Barton,15235190,PG/G/UTIL,6500,DEN@UTA 08/30/2020 08:30PM ET,DEN,31.88
PG/SG,Lou Williams (15235193),Lou Williams,15235193,PG/SG/G/UTIL,6400,LAC@DAL 08/30/2020 03:30PM ET,LAC,31.64
C,Serge Ibaka (15235197),Serge Ibaka,15235197,C/UTIL,6200,BOS@TOR 08/30/2020 01:00PM ET,TOR,31.18
SG/SF,Tim Hardaway Jr. (15235199),Tim Hardaway Jr.,15235199,SG/SF/F/G/UTIL,6000,LAC@DAL 08/30/2020 03:30PM ET,DAL,25.32
SF/PF,Marcus Morris Sr. (15235204),Marcus Morris Sr.,15235204,SF/PF/F/UTIL,5700,LAC@DAL 08/30/2020 03:30PM ET,LAC,28.06
PG/SG,Marcus Smart (15235208),Marcus Smart,15235208,PG/SG/G/UTIL,5600,BOS@TOR 08/30/2020 01:00PM ET,BOS,29.04
SF/PF,Michael Porter Jr. (15235212),Michael Porter Jr.,15235212,SF/PF/F/UTIL,5500,DEN@UTA 08/30/2020 08:30PM ET,DEN,19.21
SG/SF,Joe Ingles (15235216),Joe Ingles,15235216,SG/SF/F/G/UTIL,5400,DEN@UTA 08/30/2020 08:30PM ET,UTA,24.54
PG/SG,Jordan Clarkson (15235221),Jordan Clarkson,15235221,PG/SG/G/UTIL,5300,DEN@UTA 08/30/2020 08:30PM ET,UTA,23.86
PF/C,Maxi Kleber (15235225),Maxi Kleber,15235225,PF/C/F/UTIL,5200,LAC@DAL 08/30/2020 03:30PM ET,DAL,20.69
SG/SF,Norman Powell (15235229),Norman Powell,15235229,SG/SF/F/G/UTIL,5100,BOS@TOR 08/30/2020 01:00PM ET,TOR,26.66
SF/PF,Dorian Finney-Smith (15235234),Dorian Finney-Smith,15235234,SF/PF/F/UTIL,5000,LAC@DAL 08/30/2020 03:30PM ET,DAL,22.07
SF,Bojan Bogdanovic (15235238),Bojan Bogdanovic,15235238,SF/F/UTIL,4900,DEN@UTA 08/30/2020 08:30PM ET,UTA,30.04
PF,Paul Millsap (15235241),Paul Millsap,15235241,PF/F/UTIL,4900,DEN@UTA 08/30/2020 08:30PM ET,DEN,23.51
PG,Trey Burke (15235248),Trey Burke,15235248,PG/G/UTIL,4800,LAC@DAL 08/30/2020 03:30PM ET,DAL,15.38
SF/PF,Jerami Grant (15235244),Jerami Grant,15235244,SF/PF/F/UTIL,4800,DEN@UTA 08/30/2020 08:30PM ET,DEN,21.49
SF/PF,OG Anunoby (15235251),OG Anunoby,15235251,SF/PF/F/UTIL,4700,BOS@TOR 08/30/2020 01:00PM ET,TOR,23.82
C,Ivica Zubac (15235255),Ivica Zubac,15235255,C/UTIL,4600,LAC@DAL 08/30/2020 03:30PM ET,LAC,21.51
