Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
123,Devon Dotson\dotsode01,PG,21,CHI,1,10,6.8,.500,.000,.000,0.0,10.9,5.6,0.0,0.0,0.0,0.0,17.1,,0.0,0.0,0.0,.000,,-6.2,-2.3,-8.5,0.0
124,Sekou Doumbouya\doumbse01,PF,20,DET,32,439,5.9,.440,.426,.184,3.9,15.0,9.3,7.4,1.5,0.4,10.6,16.9,,-0.5,0.3,-0.2,-0.018,,-5.5,-1.9,-7.4,-0.6
125,PJ Dozier\doziepj01,SG,24,DEN,21,408,13.8,.553,.402,.299,5.1,17.6,11.4,11.4,1.3,3.1,10.0,17.1,,0.5,0.4,0.9,.105,,-0.3,-0.2,-0.5,0.1
126,Goran Dragić\dragigo01,PG,34,MIA,22,596,13.8,.573,.383,.273,1.4,11.0,6.4,29.5,1.1,0.7,17.7,25.9,,0.2,0.6,0.7,.059,,-1.1,-1.9,-3.0,-0.2
127,Andre Drummond\drumman01,C,27,CLE,25,722,20.8,.500,.021,.339,15.4,37.8,26.3,15.7,2.7,3.7,15.6,30.9,,-0.6,1.4,0.8,.050,,-0.5,0.2,-0.3,0.3
128,Jared Dudley\dudleja01,PF,35,LAL,11,76,5.5,.429,.714,.000,6.0,21.7,14.0,7.9,0.6,1.2,22.2,5.1,,0.0,0.1,0.1,.082,,-3.8,0.2,-3.6,0.0
129,Kevin Durant\duranke01,PF,32,BRK,19,679,25.2,.652,.315,.404,1.2,20.7,11.5,23.6,1.0,3.3,13.7,31.4,,2.0,0.7,2.7,.187,,5.4,0.0,5.4,1.2
130,Anthony Edwards\edwaran01,SG,19,MIN,36,1048,9.8,.466,.419,.162,2.5,12.6,7.3,13.4,1.4,1.2,10.3,25.6,,-1.5,0.6,-0.9,-0.043,,-2.7,-2.4,-5.1,-0.8
131,Carsen Edwards\edwarca01,SG,22,BOS,14,147,13.6,.568,.540,.143,1.5,9.3,5.4,6.2,1.3,0.6,2.9,20.2,,0.2,0.1,0.3,.103,,-1.8,-1.6,-3.4,-0.1
132,CJ Elleby\ellebcj01,SF,20,POR,13,105,10.8,.558,.613,.290,3.9,10.4,7.1,4.0,1.9,2.6,7.9,15.6,,0.1,0.1,0.1,.068,,-3.4,-0.5,-4.0,-0.1
133,Wayne Ellington\ellinwa01,SG,33,DET,28,650,13.2,.634,.784,.119,1.3,6.9,4.0,9.7,1.0,0.8,7.4,17.3,,1.0,0.3,1.3,.098,,2.0,-1.7,0.2,0.4
134,Joel Embiid\embiijo01,C,26,PHI,30,990,31.1,.646,.163,.636,7.4,30.3,19.3,17.5,1.8,3.7,12.1,34.1,,3.9,1.9,5.8,.283,,6.9,1.6,8.5,2.6
135,James Ennis\ennisja01,SF,30,ORL,24,514,12.9,.628,.392,.350,5.1,14.0,9.4,9.0,1.9,1.1,13.2,13.3,,0.7,0.5,1.2,.112,,-2.3,0.6,-1.7,0.0
136,Drew Eubanks\eubandr01,C,23,SAS,15,180,10.7,.468,.000,.392,5.1,21.7,13.3,6.7,0.3,7.7,11.8,16.3,,-0.1,0.3,0.2,.044,,-4.8,0.6,-4.2,-0.1
137,Dante Exum\exumda01,SG,25,CLE,6,116,6.0,.428,.423,.077,1.9,15.0,8.3,15.4,1.7,1.6,20.7,12.6,,-0.1,0.1,0.0,-0.017,,-4.8,1.7,-3.1,0.0
138,Tacko Fall\fallta01,C,25,BOS,8,57,22.4,.636,.000,.615,15.6,26.0,20.7,2.5,0.0,16.4,5.7,13.2,,0.1,0.1,0.3,.220,,-0.1,2.5,2.4,0.1
139,Derrick Favors\favorde01,C,29,UTA,34,550,20.2,.689,.008,.435,13.0,22.8,18.1,7.2,1.6,4.5,11.9,13.8,,1.7,1.1,2.8,.244,,0.3,2.0,2.3,0.6
140,Cristiano Felício\feliccr01,C,28,CHI,6,38,18.2,.731,.000,2.000,18.0,17.2,17.6,16.2,2.5,0.0,28.5,11.8,,0.1,0.0,0.2,.196,,1.8,1.8,3.6,0.1
141,Terrance Ferguson\fergute01,SG,22,PHI,9,34,-6.9,.200,.600,.000,0.0,3.1,1.6,7.1,0.0,0.0,37.5,10.0,,-0.1,0.0,-0.1,-0.164,,-11.9,-3.5,-15.4,-0.1
142,Bruno Fernando\fernabr01,C,22,ATL,18,151,6.8,.491,.080,.600,9.5,33.9,21.7,8.0,0.6,1.2,32.2,13.2,,-0.2,0.2,0.0,-0.008,,-5.3,-0.6,-5.9,-0.1
143,Yogi Ferrell\ferreyo01,PG,27,CLE,2,40,12.6,.434,.429,.095,8.2,11.6,9.9,20.4,3.7,2.3,12.1,26.8,,-0.1,0.1,0.0,-0.021,,-1.9,0.4,-1.5,0.0
144,Dorian Finney-Smith\finnedo01,PF,27,DAL,25,787,9.7,.553,.661,.067,5.0,12.7,8.9,5.8,1.5,1.2,7.5,11.2,,0.6,0.6,1.3,.077,,-1.3,-0.3,-1.6,0.1
145,Malachi Flynn\flynnma01,PG,22,TOR,15,125,3.3,.346,.578,.133,0.9,9.2,4.9,17.5,1.5,0.0,7.7,17.9,,-0.2,0.1,-0.2,-0.067,,-7.4,-1.3,-8.7,-0.2
146,Bryn Forbes\forbebr01,SG,27,MIL,36,675,11.9,.618,.629,.104,1.1,6.0,3.6,4.2,0.6,0.0,6.6,18.0,,0.9,0.3,1.2,.086,,0.2,-2.4,-2.2,0.0
147,Trent Forrest\forretr01,PG,22,UTA,7,20,6.7,.258,.667,.667,0.0,10.3,5.3,23.3,4.9,0.0,20.5,10.5,,0.0,0.0,0.0,.044,,-7.1,4.1,-3.0,0.0
148,Evan Fournier\fournev01,SF,28,ORL,21,613,17.9,.593,.496,.372,0.8,10.5,5.5,21.3,1.7,1.1,12.1,26.1,,0.9,0.5,1.4,.107,,1.5,-1.0,0.5,0.4
149,De'Aaron Fox\foxde01,PG,23,SAC,35,1198,18.8,.551,.297,.369,2.1,8.5,5.2,34.2,1.7,1.2,13.6,30.0,,1.6,0.0,1.6,.063,,2.3,-2.1,0.2,0.7
150,Tim Frazier\fraziti01,PG,30,MEM,3,33,0.3,.250,.250,.000,0.0,13.5,6.6,25.8,1.4,0.0,27.3,14.1,,-0.1,0.0,-0.1,-0.110,,-10.9,-2.6,-13.6,-0.1
151,Markelle Fultz\fultzma01,PG,22,ORL,8,215,12.0,.458,.154,.183,2.3,10.0,6.0,32.2,1.8,0.9,13.8,26.0,,-0.2,0.2,-0.1,-0.012,,-2.9,-1.7,-4.6,-0.1
152,Wenyen Gabriel\gabriwe01,PF,23,NOP,4,12,-0.3,.000,.333,.000,9.2,37.2,23.2,9.4,0.0,0.0,0.0,10.7,,0.0,0.0,0.0,-0.146,,-6.3,-5.0,-11.3,0.0
153,Daniel Gafford\gaffoda01,PF,22,CHI,26,343,17.7,.684,.000,.520,11.3,15.2,13.3,6.3,1.5,8.0,17.1,13.8,,0.7,0.5,1.2,.170,,-1.5,1.6,0.2,0.2
154,Danilo Gallinari\gallida01,PF,32,ATL,24,525,13.7,.582,.585,.367,1.0,15.8,8.4,10.6,1.2,0.5,10.1,21.8,,0.7,0.4,1.1,.099,,0.4,-1.4,-1.1,0.1
155,Langston Galloway\gallola01,SG,29,PHO,25,262,12.9,.635,.561,.195,1.8,9.2,5.6,8.4,0.8,0.0,7.3,16.4,,0.5,0.2,0.7,.127,,0.4,-0.9,-0.4,0.1
156,Darius Garland\garlada01,PG,21,CLE,28,922,12.6,.524,.307,.130,1.5,6.2,3.8,28.7,1.8,0.3,16.0,23.9,,-0.1,0.5,0.4,.021,,-0.6,-1.9,-2.5,-0.1
157,Marc Gasol\gasolma01,C,36,LAL,35,703,11.3,.561,.634,.269,4.1,18.5,11.4,12.5,1.2,5.6,16.7,11.1,,0.5,1.4,1.9,.130,,-1.7,2.9,1.2,0.6
158,Rudy Gay\gayru01,PF,34,SAS,26,572,13.9,.524,.434,.167,4.3,20.5,12.3,10.1,1.5,2.0,9.8,23.2,,-0.1,0.8,0.7,.057,,-0.6,-0.7,-1.3,0.1
159,Paul George\georgpa01,SF,30,LAC,27,904,22.7,.642,.468,.237,3.1,17.0,10.2,25.9,1.6,1.3,15.4,28.8,,2.3,1.0,3.3,.173,,5.6,-0.4,5.3,1.7
160,Taj Gibson\gibsota01,PF,35,NYK,12,181,12.4,.620,.226,.387,10.8,19.1,15.0,4.7,1.4,2.2,16.2,10.6,,0.2,0.3,0.5,.134,,-2.4,1.0,-1.4,0.0
161,Harry Giles\gilesha01,C,22,POR,22,260,11.3,.486,.129,.290,9.9,34.7,22.0,10.3,0.9,3.1,18.6,14.2,,0.0,0.3,0.3,.060,,-4.3,-0.5,-4.7,-0.2
162,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,30,1020,22.0,.627,.316,.425,1.7,13.8,7.8,32.1,1.1,1.7,13.5,27.5,,2.5,1.1,3.6,.170,,4.0,0.3,4.4,1.6
163,Anthony Gill\gillan01,PF,28,WAS,12,67,8.0,.425,.700,.400,4.6,25.7,14.9,7.3,2.1,2.6,20.3,9.1,,0.0,0.1,0.0,.029,,-3.9,0.2,-3.7,0.0
164,Rudy Gobert\goberru01,C,28,UTA,36,1105,22.5,.649,.003,.644,12.0,32.7,22.7,6.4,0.7,7.1,14.0,17.7,,2.6,2.5,5.1,.220,,1.3,2.1,3.4,1.5
165,Brandon Goodwin\goodwbr01,PG,25,ATL,24,289,8.1,.438,.500,.226,1.1,9.0,5.1,21.3,1.7,0.0,10.0,19.2,,-0.1,0.2,0.0,.006,,-3.2,-0.3,-3.6,-0.1
166,Aaron Gordon\gordoaa01,PF,25,ORL,19,552,14.7,.528,.394,.376,6.0,20.3,12.9,22.4,1.2,2.7,17.6,23.4,,-0.1,0.6,0.5,.042,,0.5,0.1,0.6,0.4
167,Eric Gordon\gordoer01,SG,32,HOU,26,763,14.9,.582,.574,.314,0.9,7.1,3.9,15.3,0.9,1.5,11.2,25.1,,0.6,0.5,1.2,.074,,1.0,-1.4,-0.4,0.3
168,Devonte' Graham\grahade01,PG,25,CHO,25,821,12.1,.503,.652,.229,1.8,8.2,5.0,23.9,1.5,0.0,9.3,19.4,,0.8,0.4,1.2,.069,,-0.5,-1.4,-1.9,0.0
169,Jerami Grant\grantje01,SF,26,DET,33,1194,17.8,.571,.381,.353,2.2,14.7,8.2,13.9,1.0,2.7,8.4,26.9,,1.8,1.0,2.8,.111,,2.6,-0.8,1.8,1.1
170,Danny Green\greenda02,SF,33,PHI,36,1018,9.8,.547,.789,.074,3.5,10.1,6.9,8.0,2.1,2.4,14.2,13.5,,0.1,1.3,1.5,.069,,-1.2,0.5,-0.7,0.3
171,Draymond Green\greendr01,PF,30,GSW,31,918,11.4,.464,.339,.218,2.7,18.7,10.8,37.2,2.2,2.1,30.6,12.7,,0.1,1.5,1.6,.083,,-2.7,2.6,-0.1,0.4
172,JaMychal Green\greenja01,PF,30,DEN,25,512,14.7,.587,.533,.178,9.3,23.8,16.7,6.4,1.4,1.3,11.8,18.8,,0.7,0.6,1.3,.122,,0.3,-2.0,-1.7,0.0
173,Javonte Green\greenja02,SG,27,BOS,22,330,12.7,.624,.310,.423,6.7,10.4,8.5,4.1,2.7,0.6,12.5,12.5,,0.4,0.3,0.8,.110,,-1.4,0.9,-0.4,0.1
174,Jeff Green\greenje02,C,34,BRK,33,870,11.7,.642,.520,.220,2.0,12.6,7.6,6.9,1.3,0.8,9.9,13.6,,1.2,0.5,1.7,.096,,-0.6,-0.9,-1.5,0.1
175,Josh Green\greenjo02,SG,20,DAL,17,212,6.4,.514,.333,.306,6.2,13.8,10.0,6.2,0.9,0.4,21.2,10.8,,-0.1,0.1,0.1,.015,,-4.6,-0.6,-5.2,-0.2
176,Blake Griffin\griffbl01,PF,31,DET,20,626,9.9,.491,.559,.279,1.2,17.9,9.2,18.6,1.1,0.3,11.4,19.5,,-0.1,0.5,0.3,.026,,-1.5,-1.1,-2.6,-0.1
177,Kyle Guy\guyky01,PG,23,SAC,14,115,9.1,.431,.545,.182,2.8,10.9,6.7,17.0,1.7,0.0,5.9,18.7,,0.0,0.0,0.0,-0.008,,-3.5,-1.6,-5.1,-0.1
178,Rui Hachimura\hachiru01,PF,22,WAS,27,813,11.5,.546,.258,.356,3.7,15.6,9.5,8.1,1.1,0.2,8.3,17.2,,0.6,0.5,1.0,.061,,-1.7,-1.8,-3.5,-0.3
179,Ashton Hagans\haganas01,PG,21,MIN,2,4,-12.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,,0.0,0.0,0.0,-0.350,,-13.8,-7.9,-21.7,0.0
180,Tyrese Haliburton\halibty01,PG,20,SAC,30,903,18.2,.619,.529,.077,3.5,9.8,6.6,24.7,2.2,1.7,12.5,17.3,,2.0,0.2,2.2,.117,,3.2,-0.4,2.8,1.1
181,Josh Hall\halljo01,SF,20,OKC,7,51,-2.4,.285,.444,.389,2.1,16.3,9.2,18.9,0.0,0.0,15.9,21.5,,-0.2,0.0,-0.2,-0.194,,-10.6,-3.7,-14.4,-0.2
182,R.J. Hampton\hamptrj01,PG,19,DEN,24,220,7.4,.481,.310,.172,5.3,18.8,12.2,7.0,1.1,0.9,15.0,14.6,,-0.1,0.2,0.1,.019,,-4.8,-1.1,-5.9,-0.2
183,Tim Hardaway Jr.\hardati02,SG,28,DAL,33,975,14.7,.577,.581,.187,1.4,10.3,5.9,8.9,1.0,0.6,6.0,22.6,,1.2,0.5,1.7,.083,,1.4,-1.8,-0.4,0.4
184,James Harden\hardeja01,PG-SG,31,TOT,31,1173,24.8,.642,.487,.412,2.6,19.7,11.5,44.5,1.5,1.5,17.7,27.4,,4.3,1.2,5.4,.222,,6.5,0.1,6.6,2.5
185,James Harden\hardeja01,SG,31,HOU,8,290,22.8,.613,.533,.444,1.8,13.7,7.5,48.3,1.1,1.8,17.4,28.8,,0.8,0.3,1.1,.177,,5.6,-1.0,4.6,0.5
186,James Harden\hardeja01,PG,31,BRK,23,883,25.5,.652,.471,.401,2.8,21.7,12.8,43.2,1.6,1.4,17.8,26.9,,3.5,0.9,4.3,.236,,6.8,0.5,7.3,2.0
187,Maurice Harkless\harklma01,SF,27,MIA,10,109,4.6,.551,.800,.200,1.1,7.9,4.7,8.5,0.9,2.9,15.5,5.3,,0.0,0.1,0.1,.057,,-3.1,0.6,-2.5,0.0
188,Jared Harper\harpeja01,PG,23,NYK,2,5,-11.9,.532,.000,2.000,0.0,0.0,0.0,0.0,0.0,0.0,51.5,34.2,,-0.1,0.0,0.0,-0.465,,-15.0,-8.5,-23.5,0.0
189,Montrezl Harrell\harremo01,C,27,LAL,37,891,22.5,.658,.018,.368,11.4,18.4,14.9,7.0,1.3,2.6,9.6,20.9,,2.7,1.6,4.3,.229,,2.3,0.3,2.6,1.0
190,Gary Harris\harriga01,SG,26,DEN,19,581,9.4,.544,.481,.192,2.6,6.6,4.6,7.1,1.4,0.7,7.6,13.8,,0.4,0.4,0.8,.064,,-2.1,-1.5,-3.6,-0.2
191,Jalen Harris\harrija01,SG,22,TOR,2,4,-10.6,,,,27.1,0.0,13.9,0.0,0.0,0.0,100.0,10.8,,0.0,0.0,0.0,-0.200,,-16.5,-4.8,-21.2,0.0
192,Joe Harris\harrijo01,SF,29,BRK,37,1144,15.1,.700,.657,.079,2.0,10.4,6.4,7.8,0.8,0.5,6.9,16.0,,2.7,0.5,3.2,.133,,2.3,-1.5,0.9,0.9
193,Tobias Harris\harrito02,PF,28,PHI,31,1066,19.4,.607,.270,.226,3.9,19.8,12.1,15.6,1.1,2.2,10.1,22.9,,2.2,1.4,3.6,.161,,2.8,0.1,2.9,1.3
194,Shaquille Harrison\harrish01,SG,27,UTA,17,56,6.6,.375,.100,.300,5.9,11.0,8.6,21.4,1.7,0.0,18.1,21.2,,-0.1,0.1,0.0,-0.035,,-6.5,-1.3,-7.9,-0.1
195,Josh Hart\hartjo01,SF,25,NOP,36,1032,12.4,.577,.576,.275,4.1,24.4,14.2,9.3,1.4,0.9,8.9,13.0,,1.4,0.6,2.1,.096,,-1.0,-0.2,-1.1,0.2
196,Isaiah Hartenstein\harteis01,C,22,DEN,26,243,15.6,.539,.000,.447,17.6,17.1,17.3,7.9,2.0,6.0,17.3,19.8,,0.2,0.4,0.6,.112,,-4.1,-0.7,-4.7,-0.2
197,Jaxson Hayes\hayesja02,C,20,NOP,25,311,15.7,.687,.000,.426,11.1,20.8,15.9,3.9,1.4,3.8,16.5,13.3,,0.6,0.2,0.8,.126,,-1.8,0.0,-1.8,0.0
198,Killian Hayes\hayeski01,PG,19,DET,7,148,-1.5,.334,.426,.043,0.7,5.5,3.0,24.1,0.7,0.0,26.2,19.1,,-0.6,0.0,-0.5,-0.177,,-9.3,-4.2,-13.6,-0.4
199,Gordon Hayward\haywago01,SF,30,CHO,31,1080,18.8,.595,.314,.264,2.7,14.3,8.4,17.8,1.8,1.1,9.9,24.5,,2.0,0.9,3.0,.132,,2.6,-0.6,2.0,1.1
200,Juan Hernangómez\hernaju01,PF,25,MIN,17,271,11.1,.513,.589,.211,4.9,25.6,14.8,5.3,1.0,0.6,6.6,16.3,,0.1,0.2,0.3,.049,,-1.8,-1.9,-3.7,-0.1
201,Willy Hernangómez\hernawi01,C,26,NOP,20,359,19.9,.576,.045,.327,16.4,26.7,21.5,10.1,0.9,2.8,8.0,16.2,,1.0,0.3,1.2,.162,,1.5,-1.9,-0.4,0.1
202,Tyler Herro\herroty01,SG,21,MIA,25,818,11.9,.535,.417,.165,1.6,17.3,9.8,18.1,0.9,1.3,14.2,23.6,,-0.5,0.9,0.5,.027,,-1.3,-1.2,-2.5,-0.1
203,Buddy Hield\hieldbu01,SG,28,SAC,36,1253,11.3,.551,.730,.126,1.0,13.6,7.2,12.4,1.1,0.7,10.7,20.3,,0.6,-0.1,0.5,.018,,-0.2,-2.0,-2.2,-0.1
204,George Hill\hillge01,PG,34,OKC,14,369,16.1,.630,.475,.208,2.3,5.9,4.1,18.2,1.6,0.5,8.4,16.9,,0.8,0.3,1.1,.144,,0.9,-0.5,0.4,0.2
205,Solomon Hill\hillso01,PF,29,ATL,36,686,6.6,.498,.738,.114,2.9,10.2,6.5,6.5,1.8,0.8,11.8,11.1,,0.0,0.5,0.5,.032,,-3.0,0.0,-3.0,-0.2
206,Nate Hinton\hintona01,SG,21,DAL,6,19,-6.5,.288,.385,.154,0.0,0.0,0.0,0.0,2.6,5.0,12.6,36.8,,-0.2,0.0,-0.2,-0.434,,-12.2,-5.6,-17.8,-0.1
207,Aaron Holiday\holidaa01,PG,24,IND,35,667,7.4,.470,.422,.156,1.2,6.6,3.9,13.0,1.4,0.5,9.6,19.7,,-0.6,0.4,-0.2,-0.011,,-4.0,-1.5,-5.5,-0.6
208,Jrue Holiday\holidjr01,PG,30,MIL,26,805,18.9,.577,.373,.145,4.1,10.4,7.3,22.8,2.8,1.5,10.9,20.2,,1.7,1.0,2.7,.160,,2.1,0.9,3.0,1.0
209,Justin Holiday\holidju01,SG,31,IND,35,1130,12.2,.628,.710,.165,2.2,11.7,6.9,7.1,1.8,1.1,7.9,13.5,,1.5,1.1,2.5,.106,,0.4,0.1,0.6,0.7
210,Richaun Holmes\holmeri01,C,27,SAC,32,942,19.0,.680,.022,.262,9.3,22.3,15.6,8.3,1.2,4.3,12.3,15.8,,2.4,0.5,2.8,.144,,-0.1,-0.2,-0.3,0.4
211,Rodney Hood\hoodro01,SF,28,POR,30,575,4.7,.434,.399,.048,1.4,8.0,4.6,7.6,1.4,0.5,12.7,14.7,,-0.7,0.1,-0.6,-0.052,,-6.1,-2.0,-8.1,-0.9
212,Al Horford\horfoal01,C,34,OKC,24,677,16.6,.527,.423,.058,3.6,21.0,12.3,20.6,1.5,2.7,7.8,22.4,,0.3,1.0,1.4,.096,,1.4,1.3,2.7,0.8
213,Talen Horton-Tucker\hortota01,SG,20,LAL,33,576,11.7,.517,.296,.183,2.0,13.4,7.8,16.5,2.3,2.9,15.7,20.6,,-0.3,1.1,0.8,.070,,-3.3,1.7,-1.6,0.1
214,Danuel House\houseda01,SF,27,HOU,22,602,9.0,.499,.592,.201,2.7,13.0,7.7,10.2,1.1,1.7,9.5,15.7,,-0.1,0.6,0.5,.039,,-2.7,-0.4,-3.1,-0.2
215,Dwight Howard\howardw01,C,35,PHI,36,574,15.7,.602,.080,.725,18.0,32.0,25.2,6.6,1.2,4.8,25.4,18.0,,0.3,1.1,1.4,.116,,-3.4,0.0,-3.4,-0.2
216,Markus Howard\howarma02,SG,21,DEN,17,55,-6.4,.251,.710,.065,0.0,10.2,5.2,13.9,1.8,0.0,11.1,28.5,,-0.4,0.0,-0.3,-0.298,,-14.3,-5.5,-19.8,-0.2
217,Kevin Huerter\huertke01,SG,22,ATL,36,1157,11.9,.541,.545,.088,2.5,9.9,6.2,17.0,1.9,0.5,10.5,16.6,,1.0,0.8,1.8,.076,,-0.6,0.1,-0.6,0.4
218,Elijah Hughes\hugheel01,SF,22,UTA,6,27,9.7,.477,.667,.267,0.0,15.2,7.9,16.5,1.8,2.9,19.3,33.0,,-0.1,0.0,0.0,-0.070,,-3.2,-1.3,-4.5,0.0
219,De'Andre Hunter\huntede01,SF,23,ATL,18,579,17.6,.640,.390,.348,3.0,15.2,9.2,10.9,1.4,1.4,9.4,19.8,,1.4,0.5,1.8,.151,,2.2,0.3,2.5,0.7
220,Chandler Hutchison\hutchch01,SF,24,CHI,7,64,0.5,.344,.167,.111,1.8,32.3,17.4,7.7,0.7,0.0,20.9,15.9,,-0.2,0.1,-0.1,-0.104,,-9.4,-1.5,-10.9,-0.1
221,Serge Ibaka\ibakase01,C,31,LAC,37,887,17.5,.583,.312,.132,8.0,22.7,15.5,10.9,0.5,4.5,10.7,19.7,,1.4,1.1,2.5,.135,,0.9,-0.4,0.5,0.6
222,Andre Iguodala\iguodan01,SF,37,MIA,34,735,9.8,.525,.762,.170,3.2,15.5,9.7,14.7,2.4,2.3,18.6,11.8,,0.0,1.1,1.1,.073,,-2.1,2.2,0.1,0.4
223,Joe Ingles\inglejo01,SF,33,UTA,32,846,16.5,.705,.694,.155,1.7,11.4,6.7,23.4,0.9,0.8,16.0,15.8,,2.5,0.9,3.4,.190,,3.1,0.8,3.9,1.3
224,Brandon Ingram\ingrabr01,SF,23,NOP,36,1255,20.4,.590,.346,.285,1.9,14.5,8.2,21.4,1.0,2.2,10.3,27.6,,3.0,0.4,3.4,.130,,4.1,-1.4,2.7,1.5
225,Kyrie Irving\irvinky01,PG,28,BRK,26,924,24.1,.617,.351,.201,4.0,10.7,7.5,27.5,1.5,1.5,9.3,29.8,,3.1,0.6,3.7,.191,,5.4,-1.1,4.2,1.4
226,Wesley Iwundu\iwundwe01,SF,26,DAL,20,246,3.9,.386,.489,.234,2.2,13.2,7.8,4.2,1.4,1.2,8.8,10.2,,-0.3,0.2,-0.1,-0.013,,-5.9,-0.1,-6.0,-0.3
227,Frank Jackson\jacksfr01,PG,22,DET,9,54,3.3,.364,.591,.000,0.0,17.1,8.2,27.3,0.9,0.0,15.4,20.9,,-0.1,0.0,-0.1,-0.098,,-6.4,-2.0,-8.4,-0.1
228,Josh Jackson\jacksjo02,SG,23,DET,32,797,12.6,.521,.390,.334,4.6,15.5,9.8,12.6,1.8,3.2,15.1,26.7,,-0.8,0.9,0.1,.006,,-2.1,-0.7,-2.8,-0.2
229,Justin Jackson\jacksju01,SF,25,OKC,25,405,9.7,.510,.530,.134,2.8,12.0,7.5,14.3,1.2,0.2,13.2,19.6,,-0.2,0.4,0.1,.018,,-2.7,-0.9,-3.7,-0.2
230,Reggie Jackson\jacksre01,SG,30,LAC,35,709,13.8,.569,.460,.164,2.1,11.9,7.1,20.4,1.4,0.4,11.5,18.9,,1.1,0.5,1.6,.108,,-0.4,-0.8,-1.2,0.1
231,Justin James\jamesju01,SF,24,SAC,13,69,8.3,.415,.391,.348,4.7,9.9,7.2,9.5,2.1,1.2,7.0,17.6,,-0.1,0.0,-0.1,-0.047,,-3.5,-2.4,-5.9,-0.1
232,LeBron James\jamesle01,PG,36,LAL,36,1245,24.4,.597,.349,.303,1.9,23.7,13.0,38.9,1.6,1.5,14.8,31.9,,2.6,2.3,4.9,.189,,5.9,1.7,7.5,3.0
233,DaQuan Jeffries\jeffrda01,SG,23,SAC,12,189,8.1,.527,.462,.135,4.0,8.4,6.2,2.7,1.3,1.8,8.3,13.5,,0.0,0.0,0.0,.006,,-3.4,-1.9,-5.3,-0.2
234,Ty Jerome\jeromty01,SG,23,OKC,4,100,13.2,.617,.633,.000,3.1,8.3,5.7,19.8,1.4,0.0,6.3,14.0,,0.2,0.1,0.3,.146,,-1.1,1.7,0.6,0.1
235,Isaiah Joe\joeis01,SG,21,PHI,20,240,9.7,.530,.759,.063,2.8,7.5,5.3,8.5,1.4,1.5,5.8,15.2,,0.2,0.2,0.4,.083,,-1.6,-0.7,-2.3,0.0
236,Cameron Johnson\johnsca02,PF,24,PHO,34,823,13.0,.587,.675,.129,2.7,12.7,7.8,7.7,1.3,1.1,7.9,17.8,,0.8,1.0,1.8,.106,,0.8,-0.4,0.4,0.5
237,James Johnson\johnsja01,PF,33,DAL,27,484,12.0,.525,.414,.186,2.7,15.9,9.4,13.8,2.3,4.3,14.7,16.1,,0.0,0.6,0.6,.060,,-2.1,2.2,0.1,0.3
238,Keldon Johnson\johnske04,SF,21,SAS,29,845,15.4,.561,.269,.316,5.7,18.2,11.9,10.9,1.3,1.4,10.1,20.7,,0.8,1.0,1.8,.104,,-0.2,-0.7,-0.9,0.2
239,Stanley Johnson\johnsst04,PF,24,TOR,32,441,9.0,.546,.633,.177,3.7,14.1,8.7,12.3,2.6,2.1,20.5,10.5,,0.1,0.5,0.6,.068,,-2.8,1.5,-1.3,0.1
240,Tyler Johnson\johnsty01,SG,28,BRK,18,250,9.9,.559,.708,.097,1.9,11.5,7.0,8.6,1.1,0.0,6.2,13.9,,0.3,0.1,0.4,.071,,-1.8,-1.6,-3.4,-0.1
241,Nikola Jokić\jokicni01,C,25,DEN,36,1293,31.5,.652,.201,.277,9.0,25.6,17.5,39.9,2.2,1.7,13.2,29.2,,6.5,1.9,8.3,.310,,9.1,2.5,11.6,4.4
242,Damian Jones\jonesda03,C,25,TOT,17,125,10.3,.636,.048,.619,8.3,12.2,10.3,4.1,0.4,6.4,18.3,11.6,,0.1,0.2,0.3,.116,,-5.4,1.6,-3.7,-0.1
243,Damian Jones\jonesda03,C,25,PHO,14,94,6.7,.528,.063,.688,8.6,12.8,10.7,5.4,0.5,4.8,22.4,12.8,,0.0,0.1,0.1,.054,,-7.2,1.1,-6.1,-0.1
244,Damian Jones\jonesda03,C,25,LAL,3,31,21.1,1.020,.000,.400,7.3,10.6,9.0,0.0,0.0,11.3,0.0,8.2,,0.1,0.1,0.2,.304,,0.2,3.4,3.6,0.0
245,Derrick Jones Jr.\jonesde02,SF,23,POR,31,838,12.9,.597,.429,.341,7.2,11.8,9.4,4.4,1.4,3.6,9.5,11.9,,1.3,0.4,1.7,.098,,-1.2,-0.1,-1.3,0.2
246,Mason Jones\jonesma05,SG,22,HOU,22,244,11.6,.576,.563,.494,1.7,19.0,10.0,18.5,1.2,0.0,19.7,23.1,,-0.1,0.2,0.2,.032,,-2.3,-1.0,-3.3,-0.1
247,Tre Jones\jonestr01,PG,21,SAS,12,43,16.0,.698,.067,.333,9.5,0.0,4.8,10.7,0.0,0.0,18.9,21.3,,0.1,0.0,0.1,.117,,-0.1,-3.3,-3.4,0.0
248,Tyus Jones\jonesty01,PG,24,MEM,32,691,15.9,.508,.339,.080,2.3,10.7,6.4,29.2,2.8,0.5,9.7,17.6,,0.8,0.8,1.6,.114,,0.1,0.9,1.0,0.5
