PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
James Harden,HOU,68,14.1,45.00%,1.12,15.8,6.7,11.3,40.70%,52.30%,16.10%,7.30%,14.70%,3.70%,44.80%,91.5
Russell Westbrook,HOU,57,7.4,25.00%,0.87,6.4,3.6,6.2,41.90%,43.30%,12.00%,8.50%,11.10%,3.30%,42.90%,52.2
Damian Lillard,POR,66,4.8,17.90%,1.07,5.1,2,3.8,46.00%,53.00%,15.00%,8.60%,11.10%,2.50%,47.80%,87
LeBron James,LAL,67,4.5,17.50%,0.9,4,2.2,3.7,39.30%,45.70%,13.30%,8.70%,11.30%,4.30%,40.00%,59.3
Luka Doncic,DAL,61,4.3,15.00%,1.02,4.4,1.9,3.3,41.20%,50.00%,17.20%,10.70%,15.30%,3.80%,43.50%,81.8
Jayson Tatum,BOS,66,3.6,15.80%,1,3.6,1.8,3.1,40.80%,50.70%,7.90%,6.70%,8.30%,1.30%,41.70%,75.7
Giannis Antetokounmpo,MIL,63,4.1,14.90%,0.9,3.7,1.8,3.3,43.40%,48.00%,14.00%,11.60%,11.60%,5.00%,40.70%,58.3
Kawhi Leonard,LAC,57,3.7,14.70%,1.05,3.9,1.6,3,47.10%,52.00%,13.10%,7.50%,9.90%,1.40%,49.80%,84.6
DeMar DeRozan,SAS,68,2.9,13.90%,1.13,3.3,1.1,2.3,51.30%,51.90%,21.50%,6.70%,21.50%,7.20%,54.40%,92.3
Pascal Siakam,TOR,60,4,17.60%,0.88,3.5,1.9,3.1,38.80%,43.40%,14.90%,10.30%,12.40%,2.90%,42.10%,56.7
Chris Paul,OKC,70,3,17.90%,0.99,3,1.6,2.7,41.60%,49.20%,6.70%,4.80%,4.30%,2.40%,42.10%,75.3
Spencer Dinwiddie,BKN,64,3.2,14.80%,0.95,3,1.5,2.4,36.60%,41.20%,23.90%,5.40%,23.40%,3.90%,45.90%,68.8
Devin Booker,PHX,71,2.8,11.40%,0.95,2.7,1.3,2.2,42.30%,46.20%,13.90%,11.40%,12.90%,3.00%,43.80%,68
Shai Gilgeous-Alexander,OKC,70,2.7,14.20%,1,2.7,1.2,2,42.70%,46.90%,17.70%,6.50%,14.50%,1.10%,48.40%,80
Brandon Ingram,NOP,62,3.1,13.40%,0.96,3,1.2,2.2,45.30%,46.70%,17.80%,13.10%,16.20%,2.60%,47.10%,70.9
CJ McCollum,POR,70,3,13.30%,0.88,2.6,1.5,2.6,41.30%,45.30%,7.20%,7.70%,6.30%,1.00%,41.80%,56.3
Zach LaVine,CHI,60,2.9,11.40%,0.91,2.7,1.6,2.5,35.10%,42.60%,11.40%,6.30%,10.30%,2.30%,38.90%,61.9
Julius Randle,NYK,64,3.2,15.10%,0.76,2.4,1.6,2.6,37.80%,39.00%,8.80%,13.70%,7.80%,2.90%,36.30%,26.3
Khris Middleton,MIL,62,2.4,12.90%,0.98,2.4,1.2,2,40.50%,45.20%,12.60%,5.30%,11.90%,1.30%,44.40%,73.7
Trae Young,ATL,60,2.5,8.50%,0.97,2.4,1.1,1.9,40.00%,46.50%,15.30%,10.00%,14.00%,2.00%,44.00%,73.3
Austin Rivers,HOU,68,2,22.80%,1.04,2.1,1,1.7,43.60%,51.30%,14.00%,5.10%,12.50%,5.10%,45.60%,83.4
Bradley Beal,WAS,57,2.7,9.20%,0.9,2.5,1.3,2.2,40.70%,42.30%,15.40%,10.90%,14.70%,5.10%,42.30%,58.7
Jrue Holiday,NOP,61,2,9.80%,1.08,2.2,0.9,1.7,49.50%,57.60%,8.10%,8.90%,6.50%,1.60%,47.60%,88.3
Malcolm Brogdon,IND,54,2.7,15.10%,0.92,2.4,1.2,2.1,43.10%,47.00%,9.00%,11.10%,9.00%,0.70%,43.10%,62.9
Caris LeVert,BKN,45,3.8,18.20%,0.78,2.9,2.1,3,30.60%,33.60%,18.30%,5.30%,16.60%,3.60%,38.50%,31.2
Dennis Schroder,OKC,65,1.9,10.00%,1.01,1.9,0.7,1.4,47.80%,51.10%,15.40%,13.80%,14.60%,2.40%,47.20%,81.4
