PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Darius Garland,CLE,21,1.4,7.90%,0.41,0.6,0.7,1,25.00%,25.00%,3.40%,27.60%,3.40%,0.00%,20.70%,2.2
Mason Plumlee,DET,26,0.5,5.30%,0.79,0.4,0.2,0.4,40.00%,40.00%,14.30%,21.40%,14.30%,7.10%,35.70%,28.4
Danilo Gallinari,ATL,16,1,9.90%,0.69,0.7,0.6,0.8,30.80%,34.60%,6.30%,12.50%,6.30%,0.00%,31.30%,17.2
OG Anunoby,TOR,18,0.6,4.20%,1,0.6,0.2,0.3,40.00%,40.00%,40.00%,10.00%,30.00%,0.00%,60.00%,68
Victor Oladipo,IND,9,1.1,5.50%,1,1.1,0.6,1,44.40%,55.60%,0.00%,10.00%,0.00%,0.00%,40.00%,68
Tyrese Maxey,PHI,28,0.4,4.80%,0.83,0.4,0.3,0.4,36.40%,36.40%,16.70%,0.00%,8.30%,8.30%,41.70%,35.9
Saddiq Bey,DET,26,0.5,5.40%,0.83,0.4,0.2,0.3,50.00%,50.00%,8.30%,25.00%,8.30%,0.00%,41.70%,35.9
Bobby Portis,MIL,28,0.5,5.30%,0.67,0.4,0.3,0.5,35.70%,35.70%,0.00%,6.70%,0.00%,0.00%,33.30%,12.9
Rui Hachimura,WAS,19,0.8,6.50%,0.63,0.5,0.5,0.7,28.60%,28.60%,18.80%,6.30%,18.80%,12.50%,31.30%,10.5
Talen Horton-Tucker,LAL,25,0.6,8.30%,0.63,0.4,0.4,0.4,18.20%,22.70%,18.80%,12.50%,18.80%,0.00%,31.30%,10.5
Precious Achiuwa,MIA,23,0.4,6.30%,0.6,0,0.2,0.3,28.60%,28.60%,10.00%,20.00%,10.00%,0.00%,30.00%,5.8
Jeremy Lamb,IND,16,0.6,6.20%,0.9,0.6,0.3,0.5,37.50%,37.50%,20.00%,10.00%,20.00%,10.00%,40.00%,49.3
Caleb Martin,CHA,23,0.5,7.50%,0.82,0.4,0.2,0.3,42.90%,42.90%,27.30%,9.10%,27.30%,0.00%,45.50%,33.6
Shake Milton,PHI,22,0.5,3.60%,0.73,0.4,0.3,0.5,30.00%,30.00%,9.10%,0.00%,9.10%,0.00%,36.40%,19.5
Ben Simmons,PHI,25,0.4,2.70%,0.73,0.3,0.1,0.3,57.10%,57.10%,0.00%,36.40%,0.00%,0.00%,36.40%,19.5
Rodney Hood,POR,23,0.6,8.60%,0.62,0.3,0.4,0.5,25.00%,33.30%,0.00%,7.70%,0.00%,0.00%,23.10%,8.3
Goran Dragic,MIA,17,0.9,5.70%,0.53,0.5,0.6,0.8,23.10%,23.10%,6.70%,6.70%,0.00%,0.00%,26.70%,6
Luguentz Dort,OKC,27,0.5,3.70%,0.54,0.3,0.2,0.3,37.50%,37.50%,7.70%,30.80%,7.70%,0.00%,30.80%,6.7
Bojan Bogdanovic,UTA,29,0.6,4.10%,0.39,0.2,0.4,0.4,7.70%,7.70%,16.70%,11.10%,16.70%,0.00%,22.20%,1.5
Delon Wright,DET,28,0.4,4.00%,0.5,0.2,0.2,0.3,25.00%,25.00%,16.70%,16.70%,16.70%,0.00%,33.30%,3.1
Aaron Gordon,ORL,19,0.6,4.00%,0.5,0.3,0.3,0.4,28.60%,35.70%,8.30%,33.30%,8.30%,0.00%,25.00%,3.1
JaVale McGee,CLE,20,0.5,5.60%,0.5,0.3,0.4,0.5,22.20%,22.20%,10.00%,10.00%,10.00%,10.00%,20.00%,3.1
Sterling Brown,HOU,26,0.4,5.50%,0.5,0.2,0.3,0.4,20.00%,25.00%,0.00%,0.00%,0.00%,0.00%,20.00%,3.1
Patrick Beverley,LAC,20,0.6,7.20%,0.36,0.2,0.4,0.4,0.00%,0.00%,18.20%,9.10%,18.20%,0.00%,18.20%,0.7
Aaron Holiday,IND,29,0.3,4.00%,0.3,0.1,0.2,0.2,16.70%,16.70%,10.00%,30.00%,10.00%,0.00%,20.00%,0
