PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
James Harden,HOU,78,16.4,48.70%,1.11,18.1,7.9,13.2,40.10%,51.20%,15.50%,7.20%,15.00%,3.30%,44.30%,92.7
DeMar DeRozan,SAS,77,4.1,18.70%,1,4.1,1.6,3.1,49.40%,49.40%,19.30%,9.80%,17.00%,5.10%,51.30%,80.1
Kevin Durant,GSW,78,3.7,15.60%,1.06,3.9,1.6,3,46.20%,49.80%,13.70%,6.30%,10.00%,2.80%,48.80%,85.5
Spencer Dinwiddie,BKN,68,3.7,22.50%,1.05,3.9,1.6,2.9,46.20%,51.30%,17.00%,9.10%,16.00%,4.70%,48.60%,84.1
Giannis Antetokounmpo,MIL,72,3.9,15.50%,0.95,3.7,1.7,3,42.90%,45.40%,17.10%,9.60%,17.00%,5.40%,45.40%,68.2
Russell Westbrook,OKC,72,4.9,18.00%,0.75,3.7,2.7,4.2,34.80%,38.10%,9.30%,7.90%,9.00%,2.00%,36.30%,30.1
Chris Paul,HOU,59,4.7,28.80%,0.92,4.3,2.6,4.1,36.60%,46.50%,6.20%,6.90%,4.00%,1.80%,36.70%,63.3
LeBron James,LAL,55,4.7,17.50%,0.97,4.5,2.3,3.8,41.20%,47.60%,14.80%,5.50%,14.00%,2.70%,43.80%,73.4
Paul George,OKC,76,3.5,13.40%,0.92,3.3,1.9,2.9,36.80%,43.00%,13.40%,5.60%,12.00%,2.20%,41.60%,62.6
Kawhi Leonard,TOR,60,3.9,16.50%,1.05,4.1,1.8,3.3,46.50%,48.00%,14.00%,4.30%,12.00%,3.40%,49.40%,83.7
Khris Middleton,MIL,77,2.9,15.80%,1.09,3.2,1.3,2.5,49.50%,56.80%,7.60%,8.00%,8.00%,1.30%,48.20%,91.3
Blake Griffin,DET,75,3.2,13.00%,0.97,3.1,1.6,2.7,38.70%,48.00%,11.30%,6.70%,10.00%,1.70%,41.60%,72.7
Damian Lillard,POR,80,3.3,13.70%,0.87,2.9,1.8,2.7,32.60%,37.20%,14.70%,5.60%,11.00%,2.30%,39.10%,53.6
Devin Booker,PHX,64,3.3,12.50%,0.93,3.1,1.4,2.4,39.70%,42.40%,20.70%,11.30%,17.00%,2.80%,45.10%,63.7
Kyrie Irving,BOS,67,3,13.20%,0.98,2.9,1.3,2.5,45.80%,49.10%,9.00%,8.50%,7.00%,1.50%,45.70%,74.4
Zach LaVine,CHI,63,3.1,13.10%,0.96,3,1.4,2.4,41.30%,47.30%,15.70%,11.20%,15.00%,3.00%,44.20%,72.3
Kemba Walker,CHA,82,2.1,8.20%,1.03,2.1,1,1.8,43.60%,50.00%,11.70%,5.30%,11.00%,4.10%,45.00%,82
Julius Randle,NOP,73,2.5,12.20%,0.95,2.4,1,1.9,47.10%,48.60%,15.80%,12.00%,16.00%,4.40%,46.40%,67.8
Bradley Beal,WAS,82,2.3,9.40%,0.92,2.1,1,1.8,45.10%,47.20%,14.40%,13.80%,14.00%,4.80%,43.10%,61.2
Luka Doncic,DAL,72,2.6,11.20%,0.91,2.3,1.3,2,34.20%,44.90%,13.00%,7.60%,11.00%,0.00%,38.60%,59.5
D'Angelo Russell,BKN,81,2.5,10.80%,0.83,2,1.4,2.2,37.60%,42.70%,5.00%,6.00%,5.00%,0.50%,37.70%,49.1
Danilo Gallinari,LAC,68,2.4,14.50%,0.95,2.3,1.2,1.9,39.40%,42.80%,15.70%,6.00%,14.00%,1.20%,45.80%,69.2
Jordan Clarkson,CLE,81,2.3,13.50%,0.83,1.9,1.2,2,40.00%,40.90%,7.50%,7.50%,6.00%,0.50%,41.20%,49.5
CJ McCollum,POR,70,2.3,11.30%,0.96,2.2,1.2,2,43.40%,45.80%,8.70%,4.30%,7.00%,1.90%,45.30%,70.9
John Wall,WAS,32,5.6,23.80%,0.83,4.6,2.3,3.9,42.90%,43.30%,15.60%,16.20%,13.00%,2.20%,43.60%,47.8
Rudy Gay,SAS,69,2.1,15.70%,0.98,2.1,0.9,1.8,48.80%,49.60%,8.30%,7.60%,8.00%,2.10%,48.30%,75.1
Brandon Ingram,LAL,52,2.7,14.20%,1,2.7,1,2.1,52.70%,53.20%,16.40%,10.00%,15.00%,5.00%,50.70%,80.1
Trae Young,ATL,80,1.9,9.00%,0.9,1.7,0.8,1.3,36.20%,41.00%,19.50%,13.60%,14.00%,1.30%,42.90%,58.1
Jrue Holiday,NOP,67,2.5,11.50%,0.81,2,1.3,2.1,37.50%,41.30%,8.20%,8.80%,8.00%,1.80%,37.60%,40.1
Lou Williams,LAC,75,1.9,9.20%,0.96,1.8,1,1.5,35.30%,40.50%,15.00%,2.90%,13.00%,0.70%,43.60%,71.3
Mike Conley,MEM,70,1.8,9.10%,1.03,1.9,0.9,1.6,43.80%,47.80%,14.00%,5.40%,12.00%,6.20%,45.00%,82.4
Dennis Schroder,OKC,78,2,11.40%,0.86,1.7,1,1.6,35.80%,38.60%,14.80%,7.70%,13.00%,1.90%,41.30%,52.6
Donovan Mitchell,UTA,77,2,8.10%,0.85,1.7,1.1,1.6,35.70%,40.90%,10.90%,8.30%,9.00%,0.00%,39.10%,51.9
Karl-Anthony Towns,MIN,77,1.9,8.40%,0.88,1.7,0.9,1.5,40.00%,42.20%,15.10%,10.30%,13.00%,4.10%,41.80%,56.4
Collin Sexton,CLE,82,2.2,11.90%,0.69,1.5,1.2,1.8,32.20%,33.60%,8.30%,9.40%,8.00%,0.60%,34.40%,23.5
Tobias Harris,LAC,55,2.2,11.60%,0.99,2.2,1,1.9,44.70%,48.10%,12.30%,7.40%,10.00%,4.10%,45.90%,76.5
Derrick Rose,MIN,51,2.2,12.50%,1.07,2.4,0.9,1.8,50.00%,53.70%,10.70%,9.80%,11.00%,4.50%,48.20%,88.9
De'Aaron Fox,SAC,81,1.8,9.70%,0.82,1.5,1,1.5,35.50%,37.50%,14.30%,5.40%,14.00%,4.10%,38.80%,45
Pascal Siakam,TOR,80,1.5,9.90%,0.97,1.5,0.6,1.2,47.90%,47.90%,16.50%,9.90%,16.00%,5.80%,48.80%,73
Jeremy Lamb,CHA,79,1.6,11.00%,0.9,1.5,0.8,1.3,36.20%,39.50%,15.60%,6.30%,15.00%,3.90%,40.60%,57.1
Austin Rivers,HOU,47,2.3,25.10%,1.01,2.3,1.1,2,43.60%,52.70%,9.30%,5.60%,9.00%,1.90%,43.50%,81.3
Caris LeVert,BKN,40,2.8,18.40%,0.94,2.6,1.4,2.4,43.20%,46.30%,12.60%,8.10%,13.00%,6.30%,43.20%,67.1
Jayson Tatum,BOS,79,2.1,12.80%,0.63,1.3,1.2,1.7,31.60%,33.80%,4.30%,14.80%,4.00%,1.20%,29.00%,17
Anthony Davis,NOP,56,1.8,7.70%,0.98,1.8,0.8,1.5,45.30%,45.30%,15.70%,6.90%,15.00%,6.90%,47.10%,75.4
Reggie Jackson,DET,82,1.5,9.70%,0.81,1.2,0.9,1.3,30.80%,36.00%,12.20%,4.90%,11.00%,4.10%,35.00%,43.6
Harrison Barnes,DAL,49,2.4,14.00%,0.83,2,1.2,2,37.10%,41.20%,12.50%,8.30%,12.00%,1.70%,39.20%,46.7
Stephen Curry,GSW,69,1.3,5.60%,1.08,1.4,0.5,1,50.00%,56.30%,11.00%,12.10%,10.00%,2.20%,48.40%,89.9
Andrew Wiggins,MIN,73,1.7,8.20%,0.81,1.3,0.8,1.4,39.60%,42.60%,11.60%,7.40%,12.00%,2.50%,38.80%,42.2
Jimmy Butler,PHI,55,1.8,10.20%,0.99,1.8,0.9,1.5,42.40%,45.30%,15.30%,3.10%,15.00%,5.10%,45.90%,76.1
Jamal Murray,DEN,75,1.5,7.80%,0.83,1.2,0.9,1.4,34.30%,41.20%,3.60%,4.50%,4.00%,0.90%,34.50%,48.1
Eric Bledsoe,MIL,78,1.2,7.70%,0.95,1.2,0.6,1,46.30%,52.50%,5.30%,10.50%,5.00%,0.00%,43.20%,68.8
Joel Embiid,PHI,64,1.7,6.40%,0.81,1.4,0.8,1.3,38.40%,39.00%,17.10%,8.10%,14.00%,2.70%,42.30%,42.6
