PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
James Harden,HOU,81,6.8,23.70%,0.97,6.6,3.3,5.2,37.30%,45.50%,14.70%,10.30%,14.10%,1.40%,41.10%,76.3
Russell Westbrook,OKC,81,6.4,19.00%,0.94,6,3.3,5.5,38.80%,43.90%,11.20%,6.00%,10.60%,2.70%,41.50%,71.5
Kyrie Irving,CLE,72,5.1,21.40%,1.12,5.7,2.3,4.4,47.00%,53.20%,11.70%,4.60%,10.60%,2.70%,49.60%,94.9
Carmelo Anthony,NYK,74,5.3,23.10%,0.99,5.2,2.5,4.4,44.20%,46.80%,13.80%,5.40%,14.10%,3.10%,47.30%,78.3
LeBron James,CLE,74,5.1,20.30%,0.97,5,2.4,4.2,43.50%,49.50%,12.70%,8.00%,11.90%,3.70%,44.60%,76.6
DeMar DeRozan,TOR,74,4.6,17.10%,1.02,4.7,2,3.7,46.90%,47.80%,15.70%,6.10%,14.90%,1.70%,50.70%,86.4
Harrison Barnes,DAL,79,4.7,24.50%,0.93,4.4,2.2,4,45.70%,46.20%,8.40%,7.60%,7.90%,1.40%,46.10%,70.2
Damian Lillard,POR,75,4,15.80%,1.05,4.2,1.8,3,41.90%,45.20%,21.30%,7.60%,19.60%,4.30%,48.50%,90.5
Paul George,IND,75,4,17.50%,0.94,3.8,1.8,3.2,44.30%,45.80%,12.70%,10.00%,10.30%,2.00%,45.70%,72.5
John Wall,WAS,78,4.2,16.50%,0.81,3.4,2,3.3,39.60%,40.00%,11.30%,10.70%,11.00%,1.50%,41.30%,46.4
Jamal Crawford,LAC,82,3.3,25.30%,0.92,3.1,1.7,2.8,40.50%,44.60%,10.60%,6.60%,9.90%,1.80%,42.70%,68.1
Devin Booker,PHX,78,3.1,13.00%,0.94,2.9,1.4,2.4,40.60%,42.80%,18.70%,9.50%,17.80%,5.80%,44.00%,71.2
Jimmy Butler,CHI,76,3.1,13.80%,0.87,2.7,1.5,2.4,37.80%,39.50%,15.70%,8.50%,14.50%,3.00%,42.60%,57.5
Isaiah Thomas,BOS,76,2.3,9.10%,1.12,2.6,1,1.8,45.30%,50.70%,20.80%,6.20%,17.40%,3.90%,51.70%,95.3
Kawhi Leonard,SAS,74,2.9,12.60%,0.94,2.7,1.3,2.3,42.30%,44.30%,15.50%,8.90%,16.00%,3.80%,44.60%,72.2
Chris Paul,LAC,61,3,17.50%,1.09,3.3,1.5,2.7,45.50%,52.70%,6.60%,3.30%,3.80%,0.50%,47.30%,93.6
DeMarcus Cousins,SAC,55,4.3,15.20%,0.84,3.6,1.9,3.3,41.40%,43.90%,14.00%,14.40%,13.60%,5.10%,39.80%,51.5
Jeff Teague,IND,82,2.4,14.90%,1.02,2.4,1,1.8,45.60%,48.00%,17.50%,8.20%,16.00%,3.10%,49.00%,84.4
Marcus Morris Sr.,DET,79,2.2,14.80%,1.05,2.3,1,2,51.60%,51.90%,8.60%,3.40%,8.00%,2.30%,52.30%,90.2
Giannis Antetokounmpo,MIL,80,2.8,12.70%,0.77,2.2,1.3,2.1,37.80%,38.40%,12.90%,12.40%,9.80%,1.80%,39.10%,39.7
Austin Rivers,LAC,74,2.4,19.40%,0.94,2.3,1.2,2,41.70%,48.00%,11.70%,7.20%,11.10%,2.80%,43.30%,73.5
Anthony Davis,NOP,75,2.5,9.70%,0.87,2.2,1.1,2,43.80%,43.80%,13.60%,9.90%,13.10%,3.70%,44.50%,58
CJ McCollum,POR,80,2.1,9.80%,0.98,2.1,1,1.8,44.40%,47.90%,9.50%,7.70%,8.30%,2.40%,45.00%,78
Dennis Schroder,ATL,79,2.2,11.10%,0.93,2.1,0.9,1.7,44.90%,47.10%,13.10%,12.00%,12.60%,2.90%,45.10%,69.8
Kevin Durant,GSW,62,2.5,11.50%,1.05,2.6,1.1,2,44.40%,47.20%,17.80%,6.60%,17.80%,5.90%,48.00%,89.2
Paul Millsap,ATL,69,2.4,12.50%,0.93,2.2,0.9,1.8,46.30%,46.30%,19.40%,10.90%,18.80%,4.20%,48.50%,70.5
Dion Waiters,MIA,46,3.9,21.70%,0.86,3.3,1.9,3.3,42.00%,44.70%,10.60%,8.40%,8.90%,2.80%,43.00%,54.6
Tobias Harris,DET,82,2,13.30%,0.9,1.8,1,1.8,45.30%,45.30%,9.00%,6.00%,9.00%,3.60%,44.90%,64.7
Andrew Wiggins,MIN,82,2.4,10.00%,0.74,1.8,1.3,1.9,33.10%,35.40%,14.10%,8.50%,14.10%,2.00%,37.70%,35.9
Stephen Curry,GSW,79,1.7,7.40%,1.09,1.9,0.8,1.5,45.50%,52.10%,9.60%,3.70%,7.40%,3.00%,47.40%,93.2
Jordan Clarkson,LAL,82,1.7,10.40%,1.02,1.7,0.7,1.4,49.60%,52.20%,11.80%,8.10%,11.80%,2.90%,50.00%,84.1
Kyle Lowry,TOR,60,2.3,11.00%,1.01,2.3,1,1.7,43.70%,47.10%,16.20%,11.00%,15.40%,2.90%,46.30%,83.7
Julius Randle,LAL,74,2.3,15.60%,0.81,1.8,1,1.7,42.10%,42.10%,15.60%,13.20%,13.80%,4.20%,42.50%,48.5
Karl-Anthony Towns,MIN,82,1.9,8.20%,0.86,1.6,1,1.6,40.20%,42.00%,8.40%,7.10%,7.10%,1.30%,40.90%,55.3
Mike Conley,MEM,69,1.9,10.00%,1,1.9,0.9,1.6,43.90%,51.40%,10.80%,10.00%,10.80%,3.10%,43.80%,82.6
Dwyane Wade,CHI,60,2.4,12.00%,0.88,2.1,1.3,2.1,38.30%,41.00%,11.60%,3.40%,11.00%,2.70%,41.80%,60
Blake Griffin,LAC,61,2.3,10.70%,0.91,2.1,1.1,2,43.70%,45.00%,10.10%,7.20%,9.40%,2.90%,43.90%,66.1
Derrick Rose,NYK,64,2.3,11.70%,0.88,2,1.1,1.9,43.40%,43.40%,10.40%,7.60%,9.70%,2.80%,44.40%,59.3
Jahlil Okafor,PHI,50,2.6,20.30%,0.97,2.5,1,2,52.00%,52.00%,14.10%,10.20%,12.50%,2.30%,50.00%,75.5
Danilo Gallinari,DEN,63,2,12.80%,0.97,2,1,1.6,37.90%,41.70%,15.60%,4.70%,13.30%,0.80%,45.30%,75.5
Bradley Beal,WAS,77,1.7,8.30%,0.92,1.6,0.7,1.2,41.10%,44.20%,18.00%,11.30%,17.30%,0.80%,45.90%,67.1
James Johnson,MIA,76,1.6,11.80%,0.98,1.6,0.6,1.2,47.30%,50.00%,15.60%,12.30%,14.80%,4.10%,46.70%,76.9
Wilson Chandler,DEN,71,1.9,11.80%,0.88,1.6,0.9,1.6,42.10%,43.00%,13.50%,7.50%,11.30%,6.80%,42.90%,59
Goran Dragic,MIA,73,1.5,7.60%,1.02,1.6,0.7,1.3,47.90%,53.10%,8.00%,9.70%,8.00%,2.70%,46.00%,84.7
Eric Bledsoe,PHX,66,2.1,9.40%,0.85,1.7,1.1,1.7,32.40%,39.60%,14.00%,7.40%,13.20%,3.70%,35.30%,52.5
Lou Williams,LAL,58,1.7,10.00%,1.07,1.8,0.7,1.2,41.40%,49.30%,20.20%,11.10%,20.20%,3.00%,46.50%,91.9
Brandon Ingram,LAL,79,1.7,14.70%,0.79,1.3,0.8,1.4,40.40%,40.80%,10.60%,9.10%,9.80%,2.30%,40.20%,42.7
Zach Randolph,MEM,73,2.1,13.20%,0.68,1.4,1.1,1.7,35.80%,35.80%,7.90%,11.80%,7.90%,0.70%,36.20%,25.1
Markieff Morris,WAS,76,1.4,9.50%,0.96,1.3,0.6,1.1,47.10%,48.30%,10.40%,9.40%,10.40%,1.90%,47.20%,74.9
Eric Gordon,HOU,75,1.3,8.20%,1.02,1.3,0.6,1.1,44.00%,50.60%,10.10%,8.10%,9.10%,3.00%,44.40%,85.4
Dario Saric,PHI,81,1.7,11.10%,0.74,1.2,0.7,1.2,39.40%,41.40%,11.20%,17.90%,10.40%,3.00%,36.60%,34.9
Jrue Holiday,NOP,67,1.3,7.50%,1.05,1.4,0.5,1.1,52.10%,56.80%,5.70%,11.50%,5.70%,1.10%,48.30%,88.8
Marc Gasol,MEM,74,1.4,7.20%,0.85,1.2,0.7,1.1,39.80%,40.40%,12.30%,11.30%,11.30%,1.90%,41.50%,53.2
Wesley Matthews,DAL,73,1.6,11.30%,0.78,1.2,0.8,1.3,36.10%,40.20%,9.50%,8.60%,9.50%,1.70%,37.10%,40.3
Seth Curry,DAL,70,1.2,9.90%,1.09,1.3,0.5,1,52.90%,55.70%,11.00%,8.50%,11.00%,4.90%,51.20%,92.9
Gordon Hayward,UTA,73,1.5,7.40%,0.82,1.2,0.8,1.3,38.00%,39.70%,10.20%,9.30%,10.20%,4.60%,38.00%,49.5
