PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
James Harden,HOU,72,10,35.00%,1.22,12.2,4.4,7.9,44.30%,55.20%,19.70%,4.60%,18.20%,3.50%,51.00%,95.7
LeBron James,CLE,82,6.4,24.40%,0.96,6.1,3,5.4,44.50%,49.90%,9.80%,8.30%,8.60%,2.50%,43.80%,70.9
Russell Westbrook,OKC,80,5,17.50%,0.82,4.1,2.7,4.2,36.40%,40.00%,11.40%,7.50%,10.70%,2.20%,38.80%,42.6
Chris Paul,HOU,58,5.1,29.30%,1.1,5.6,2.7,4.7,43.00%,53.70%,6.70%,4.00%,5.40%,1.70%,44.10%,90.8
Damian Lillard,POR,73,4,15.80%,1.06,4.2,1.7,2.9,41.00%,45.50%,21.40%,7.60%,18.30%,2.10%,49.30%,87.9
Harrison Barnes,DAL,77,4.1,21.90%,0.96,4,1.9,3.4,44.30%,46.80%,13.20%,7.50%,11.60%,3.80%,45.90%,70.6
Kevin Durant,GSW,68,3.6,15.50%,1.06,3.8,1.7,3,44.70%,50.20%,12.10%,6.50%,10.50%,2.00%,47.00%,86.9
DeMar DeRozan,TOR,80,3,13.30%,1.03,3.1,1.4,2.5,44.90%,46.70%,17.40%,5.40%,16.50%,4.50%,49.20%,84
Dennis Schroder,ATL,67,3.2,15.10%,1.09,3.5,1.3,2.6,48.90%,52.60%,14.80%,6.90%,13.40%,3.20%,50.90%,90.1
Austin Rivers,LAC,61,3.5,21.80%,1.06,3.7,1.8,3.1,44.30%,52.60%,9.80%,3.30%,8.80%,2.80%,46.50%,87.6
CJ McCollum,POR,81,2.8,13.00%,1,2.8,1.3,2.3,43.40%,47.90%,11.80%,7.00%,11.40%,1.80%,46.10%,80.8
Giannis Antetokounmpo,MIL,75,3.5,13.90%,0.84,3,1.8,2.9,39.20%,39.40%,14.70%,8.30%,14.00%,4.90%,41.10%,47.9
Kyrie Irving,BOS,60,3.5,16.00%,1.04,3.7,1.7,3.1,44.10%,50.30%,9.40%,4.70%,8.50%,1.90%,46.20%,85.1
Carmelo Anthony,OKC,78,3.1,18.10%,0.89,2.8,1.6,2.7,40.40%,42.30%,11.80%,4.10%,11.40%,2.90%,43.30%,58.2
Bradley Beal,WAS,82,2.9,12.90%,0.86,2.5,1.3,2.3,43.20%,45.80%,8.90%,11.40%,8.90%,2.10%,41.90%,53.9
John Wall,WAS,41,5.2,22.90%,0.95,4.9,2.1,3.9,44.70%,45.90%,19.70%,9.40%,17.80%,3.80%,48.80%,69.5
Spencer Dinwiddie,BKN,80,2.5,18.70%,0.97,2.5,1.2,1.9,38.30%,44.20%,20.30%,7.90%,20.30%,4.50%,44.60%,72.7
Dennis Smith Jr.,DAL,69,3.5,18.70%,0.8,2.8,1.9,3,36.60%,40.20%,9.80%,7.80%,8.60%,1.60%,37.70%,38.3
Michael Beasley,NYK,74,2.8,20.80%,0.92,2.6,1.3,2.4,45.70%,46.60%,11.40%,8.60%,11.00%,3.30%,46.20%,65.2
Victor Oladipo,IND,75,2.3,10.30%,1.03,2.4,1,1.9,45.10%,50.70%,13.10%,6.30%,11.90%,0.60%,48.90%,83.7
Jrue Holiday,NOP,81,2.1,11.20%,1,2.1,1,1.9,46.10%,50.30%,8.10%,6.40%,7.50%,3.50%,45.70%,80.8
Paul George,OKC,79,2.5,11.50%,0.87,2.2,1.2,2,38.00%,43.00%,13.60%,10.10%,11.60%,3.00%,40.20%,54.6
Jamal Crawford,MIN,80,2.2,19.80%,0.87,1.9,1.2,2,39.70%,42.30%,6.30%,5.20%,6.30%,1.10%,40.80%,55
Jeff Teague,MIN,70,2.2,14.30%,0.98,2.2,1.1,1.8,42.60%,48.80%,11.00%,6.50%,10.40%,1.30%,45.50%,74.1
Tyreke Evans,MEM,52,2.8,14.10%,1.02,2.8,1.4,2.4,42.40%,49.20%,10.50%,4.90%,10.50%,2.80%,44.80%,83
Jimmy Butler,MIN,59,2.6,12.80%,0.93,2.4,1.2,2,40.80%,42.50%,17.50%,8.40%,14.90%,3.90%,45.50%,67
Lou Williams,LAC,79,1.9,8.60%,0.93,1.8,0.9,1.5,39.10%,44.30%,14.40%,11.10%,12.40%,0.70%,43.10%,66
Devin Booker,PHX,54,3,11.70%,0.83,2.5,1.6,2.5,36.30%,41.10%,7.50%,8.70%,6.80%,0.00%,37.90%,45
Khris Middleton,MIL,82,1.8,9.30%,0.88,1.6,0.9,1.5,41.50%,43.90%,10.10%,10.70%,9.40%,3.40%,40.90%,56.4
DeMarcus Cousins,NOP,48,3.4,12.70%,0.78,2.6,1.5,2.4,39.70%,41.40%,16.00%,16.70%,14.80%,4.30%,39.50%,35.5
Eric Gordon,HOU,69,1.7,9.70%,0.99,1.7,0.7,1.2,46.50%,49.40%,17.20%,12.10%,14.70%,3.40%,48.30%,75.5
Anthony Davis,NOP,75,1.9,7.60%,0.81,1.5,1,1.5,36.20%,36.60%,13.40%,7.00%,13.40%,2.10%,40.10%,40.4
Brandon Ingram,LAL,59,2.5,14.20%,0.78,1.9,1.2,1.9,37.80%,37.80%,15.00%,10.90%,13.60%,2.00%,39.50%,33.7
Ben Simmons,PHI,81,1.6,9.00%,0.88,1.4,0.6,1.2,49.50%,49.50%,14.00%,14.70%,10.90%,2.30%,46.50%,56
Jamal Murray,DEN,81,1.7,10.30%,0.82,1.4,0.9,1.4,35.90%,40.20%,8.10%,8.10%,8.10%,2.20%,36.80%,44.3
Donovan Mitchell,UTA,79,1.6,7.60%,0.85,1.4,0.9,1.4,36.30%,41.20%,10.90%,4.70%,10.10%,3.10%,38.80%,51.8
James Johnson,MIA,73,1.6,14.30%,0.89,1.4,0.7,1.3,45.80%,47.40%,11.90%,11.90%,11.90%,5.10%,44.10%,58.5
Caris LeVert,BKN,71,1.6,11.90%,0.9,1.4,0.7,1.2,43.70%,44.80%,17.50%,12.30%,16.70%,6.10%,44.70%,59.6
Eric Bledsoe,MIL,71,1.3,7.30%,1.06,1.4,0.6,1.1,46.80%,52.60%,14.70%,9.50%,12.60%,4.20%,48.40%,88.7
Zach Randolph,SAC,60,1.6,10.70%,1.02,1.7,0.7,1.5,50.00%,50.00%,9.10%,5.10%,9.10%,3.00%,50.50%,82.6
Lance Stephenson,IND,82,1.5,13.80%,0.81,1.2,0.8,1.3,37.50%,40.40%,9.70%,7.30%,9.70%,0.80%,40.30%,39
Rudy Gay,SAS,57,1.7,14.50%,0.97,1.7,0.8,1.5,45.20%,45.20%,13.30%,5.10%,13.30%,4.10%,48.00%,72
Rondae Hollis-Jefferson,BKN,68,1.6,10.80%,0.89,1.4,0.8,1.3,44.00%,44.00%,10.40%,7.50%,10.40%,3.80%,44.30%,57.8
Julius Randle,LAL,82,1.3,8.50%,0.85,1.1,0.5,0.9,45.50%,45.50%,15.50%,15.50%,15.50%,0.90%,44.50%,49.3
Jayson Tatum,BOS,80,1.4,10.60%,0.82,1.2,0.8,1.2,37.10%,37.60%,9.70%,5.30%,8.80%,0.90%,40.70%,44
D'Angelo Russell,BKN,48,2.2,12.30%,0.86,1.9,1.1,1.8,40.90%,45.50%,8.40%,13.10%,7.50%,3.70%,38.30%,53.2
