TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Houston Rockets,82,22.4,20.40%,1.06,23.7,7.3,18.4,39.80%,50.10%,13.50%,7.10%,12.80%,2.80%,43.00%,100
Milwaukee Bucks,82,9.6,8.40%,0.98,9.4,3.5,7.8,45.20%,50.10%,11.20%,9.80%,10.50%,2.50%,45.20%,93.1
Brooklyn Nets,82,9.3,8.10%,0.96,8.9,3.2,7.6,42.00%,46.90%,13.10%,7.80%,12.20%,3.20%,44.30%,89.7
Oklahoma City Thunder,81,10.5,8.90%,0.83,8.8,3.2,8.8,36.50%,40.60%,11.10%,7.40%,10.20%,2.00%,39.30%,31
Los Angeles Lakers,82,9.4,8.10%,0.91,8.5,3.3,7.7,42.20%,46.10%,11.90%,8.20%,10.50%,2.60%,42.70%,72.4
Toronto Raptors,82,7.7,6.90%,0.94,7.2,2.8,6.5,42.80%,45.20%,11.70%,7.30%,10.80%,3.20%,44.10%,82.8
San Antonio Spurs,82,7.4,6.80%,0.95,7.1,2.7,5.9,46.60%,47.20%,15.60%,9.40%,13.80%,4.10%,48.10%,86.2
Cleveland Cavaliers,82,8.8,8.10%,0.8,7,2.7,7.4,36.20%,39.20%,9.20%,7.90%,8.20%,1.70%,37.90%,17.2
Golden State Warriors,82,7.1,6.40%,0.98,7,2.6,6,44.00%,47.90%,11.30%,7.30%,8.70%,2.40%,45.10%,96.6
Portland Trail Blazers,82,7.7,6.80%,0.9,7,2.5,6.5,38.30%,42.20%,11.40%,6.30%,9.10%,2.10%,41.60%,69
New Orleans Pelicans,82,8,6.90%,0.86,6.9,2.7,6.7,40.90%,43.20%,10.80%,9.10%,10.20%,2.90%,41.20%,48.3
LA Clippers,82,7.2,6.40%,0.93,6.8,2.3,5.9,40.00%,43.00%,14.60%,6.90%,13.00%,2.40%,44.60%,79.3
Sacramento Kings,82,8,6.90%,0.83,6.7,2.5,6.6,37.90%,40.90%,12.30%,8.40%,11.10%,3.00%,39.40%,24.1
Chicago Bulls,82,8,7.30%,0.82,6.5,2.5,6.5,37.90%,40.60%,11.20%,10.50%,10.00%,2.40%,39.10%,20.7
Washington Wizards,82,7.8,6.80%,0.84,6.5,2.5,6,41.10%,43.80%,11.60%,12.90%,10.80%,2.40%,40.70%,34.5
Minnesota Timberwolves,82,7.7,6.70%,0.84,6.5,2.4,6.3,38.20%,40.80%,12.20%,8.70%,11.40%,2.50%,40.10%,37.9
Charlotte Hornets,82,6.9,6.20%,0.91,6.3,2.3,5.8,39.20%,43.70%,12.90%,6.50%,12.10%,3.30%,41.50%,75.9
Boston Celtics,82,7.8,7.00%,0.79,6.2,2.5,6.5,37.80%,40.70%,7.40%,10.00%,6.30%,1.60%,37.20%,6.9
Dallas Mavericks,82,6.8,6.10%,0.85,5.8,2,5.4,37.10%,43.40%,11.60%,9.50%,10.00%,0.90%,38.70%,41.4
Phoenix Suns,82,6.5,5.80%,0.87,5.7,1.9,5.1,37.40%,41.20%,14.70%,8.40%,12.30%,1.90%,41.80%,58.6
Detroit Pistons,82,6.5,5.90%,0.87,5.7,2,5.5,36.00%,42.10%,11.00%,7.30%,9.90%,2.00%,38.70%,55.2
Memphis Grizzlies,82,6.2,5.80%,0.86,5.4,2,5,39.10%,42.50%,12.40%,9.60%,10.20%,3.30%,40.50%,51.7
New York Knicks,82,6.3,5.60%,0.76,4.8,1.7,5.1,33.90%,37.10%,11.80%,9.30%,10.40%,1.90%,36.10%,0
Indiana Pacers,82,5.7,5.20%,0.79,4.5,1.6,4.7,34.90%,38.80%,10.60%,7.90%,9.40%,1.10%,37.90%,10.3
Philadelphia 76ers,82,5,4.30%,0.88,4.4,1.6,3.9,41.10%,43.90%,14.80%,8.90%,13.80%,2.70%,43.80%,62.1
Denver Nuggets,82,5.3,4.80%,0.8,4.3,1.6,4.5,35.10%,39.40%,10.50%,7.80%,9.20%,2.50%,37.10%,13.8
Orlando Magic,82,4.6,4.20%,0.9,4.2,1.6,3.8,41.80%,45.50%,11.00%,10.20%,8.70%,2.90%,42.00%,65.5
Miami Heat,82,5.1,4.60%,0.78,3.9,1.5,4.3,34.30%,39.00%,8.40%,7.90%,7.20%,1.00%,35.70%,3.4
Atlanta Hawks,81,4.4,3.70%,0.85,3.8,1.2,3.4,37.10%,41.50%,14.00%,11.80%,10.40%,2.00%,39.50%,44.8
Utah Jazz,82,3.6,3.20%,0.83,3,1,2.9,34.90%,40.60%,10.80%,10.50%,9.10%,0.70%,37.50%,27.6
