TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Houston Rockets,72,22.6,19.60%,1.04,23.5,7.6,18.4,41.30%,49.60%,14.60%,7.60%,13.40%,3.60%,44.20%,100
Portland Trail Blazers,74,11.2,9.90%,0.96,10.8,3.9,9.3,41.90%,46.50%,12.10%,7.40%,10.30%,2.50%,44.00%,93.1
Oklahoma City Thunder,72,9.6,8.80%,0.96,9.2,3.2,7.8,41.30%,47.00%,12.80%,8.70%,11.00%,2.20%,43.40%,89.7
Milwaukee Bucks,73,8.4,7.20%,0.93,7.8,2.7,6.5,41.70%,46.90%,14.40%,11.10%,12.80%,3.30%,42.10%,75.9
Brooklyn Nets,72,8.7,7.60%,0.87,7.6,2.5,7.1,35.60%,40.20%,15.30%,5.70%,13.70%,2.90%,40.90%,24.1
LA Clippers,72,8.4,7.30%,0.89,7.5,2.7,6.7,40.00%,43.90%,14.00%,8.90%,12.70%,3.30%,42.30%,55.2
Los Angeles Lakers,71,8.6,7.60%,0.88,7.6,2.7,7,39.20%,43.50%,13.20%,9.30%,11.30%,3.80%,40.60%,27.6
Boston Celtics,72,7.7,6.90%,0.96,7.4,2.6,6.4,40.30%,47.10%,11.70%,7.40%,10.80%,1.80%,42.70%,86.2
Dallas Mavericks,75,7.1,6.30%,0.93,6.6,2.2,5.7,39.10%,45.40%,13.50%,9.00%,12.40%,2.80%,41.40%,72.4
Toronto Raptors,72,6.8,6.10%,0.9,6.1,2.1,5.3,40.30%,44.90%,13.30%,10.50%,11.70%,2.30%,42.60%,58.6
Utah Jazz,72,6.3,5.70%,0.97,6.1,2.2,5.1,42.90%,50.50%,9.70%,11.50%,8.80%,2.20%,42.30%,96.6
Cleveland Cavaliers,65,7.6,6.80%,0.88,6.7,2.6,6.3,40.50%,44.00%,10.90%,9.10%,10.10%,3.00%,40.80%,31
New Orleans Pelicans,72,6.5,5.50%,0.92,6,2.1,5,42.80%,46.90%,13.10%,12.00%,11.80%,2.40%,43.30%,65.5
San Antonio Spurs,71,6.2,5.60%,0.94,5.9,2.2,4.9,45.20%,46.40%,14.90%,10.40%,14.90%,3.80%,45.80%,79.3
Sacramento Kings,72,6.7,6.00%,0.86,5.8,2.1,5.2,39.90%,43.70%,12.60%,13.00%,11.80%,2.50%,40.60%,20.7
Minnesota Timberwolves,64,6.9,5.90%,0.92,6.4,2.3,5.6,41.80%,48.30%,9.80%,10.00%,9.30%,1.10%,41.70%,69
New York Knicks,66,7.6,6.70%,0.78,5.9,2.3,6.2,37.60%,39.80%,10.50%,11.30%,9.70%,2.60%,37.70%,6.9
Washington Wizards,72,6.2,5.40%,0.88,5.4,2,4.9,40.90%,43.50%,13.30%,10.60%,12.60%,3.20%,42.60%,41.4
Golden State Warriors,65,7,6.30%,0.84,5.9,2.1,5.6,37.40%,40.80%,12.30%,10.30%,11.40%,2.40%,39.50%,17.2
Philadelphia 76ers,73,5.8,5.20%,0.88,5.1,1.9,4.7,41.30%,43.70%,13.10%,8.10%,11.90%,2.10%,43.50%,37.9
Denver Nuggets,73,5.4,4.90%,0.89,4.8,1.8,4.5,40.00%,44.80%,10.90%,7.90%,10.40%,1.30%,42.60%,48.3
Indiana Pacers,73,5.4,4.90%,0.89,4.7,1.9,4.5,43.60%,46.50%,7.20%,10.50%,6.90%,1.00%,42.20%,44.8
Miami Heat,73,5.1,4.60%,0.88,4.5,1.6,3.9,40.40%,44.00%,14.10%,10.50%,13.20%,1.90%,42.40%,34.5
Detroit Pistons,66,5.3,4.80%,0.89,4.7,1.7,4.2,40.60%,44.00%,12.40%,10.10%,10.70%,2.00%,42.40%,51.7
Atlanta Hawks,67,4.8,4.10%,0.95,4.5,1.6,3.7,41.80%,45.60%,15.90%,9.00%,13.70%,3.10%,44.20%,82.8
Phoenix Suns,73,4.5,4.00%,0.91,4.1,1.4,3.5,40.90%,44.10%,14.80%,10.80%,13.30%,2.10%,43.40%,62.1
Memphis Grizzlies,73,5.4,4.70%,0.76,4.1,1.5,4.3,35.10%,38.30%,11.70%,9.90%,11.50%,2.00%,36.90%,0
Chicago Bulls,65,5.6,5.00%,0.82,4.6,1.7,4.7,35.40%,39.80%,10.20%,8.00%,9.70%,2.80%,37.10%,10.3
Charlotte Hornets,65,5.1,4.70%,0.78,4,1.4,4.2,32.80%,38.60%,10.90%,9.70%,9.70%,2.40%,34.40%,3.4
Orlando Magic,73,3.3,3.00%,0.83,2.7,1,2.6,38.30%,41.80%,12.40%,13.20%,10.70%,3.30%,38.40%,13.8
