TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Cleveland Cavaliers,82,12.8,11.90%,0.99,12.7,4.8,10.9,43.80%,48.80%,11.20%,6.80%,10.40%,2.80%,45.40%,100
LA Clippers,82,11.3,10.60%,0.92,10.4,4,9.7,40.70%,45.10%,9.30%,6.60%,8.20%,1.80%,42.10%,72.4
Houston Rockets,82,10.6,9.40%,0.95,10,3.2,8.3,38.40%,45.10%,13.80%,9.90%,13.10%,1.60%,41.60%,89.7
New York Knicks,82,10.7,9.70%,0.9,9.6,3.6,8.8,41.50%,43.70%,12.50%,7.40%,12.10%,2.50%,43.40%,62.1
Dallas Mavericks,82,10.6,10.50%,0.88,9.4,3.7,8.9,41.80%,43.70%,10.00%,8.50%,9.40%,1.80%,42.80%,58.6
Toronto Raptors,82,9,8.50%,0.98,8.9,3.2,7.1,44.80%,46.30%,15.40%,8.50%,14.60%,2.20%,48.00%,96.6
Portland Trail Blazers,82,8.7,8.00%,0.95,8.3,2.9,6.9,41.60%,44.30%,15.60%,8.50%,14.10%,3.30%,44.60%,93.1
Indiana Pacers,82,8.7,8.10%,0.94,8.2,3,6.8,43.20%,45.30%,14.20%,8.90%,12.70%,2.40%,45.80%,86.2
Los Angeles Lakers,82,9.2,8.30%,0.87,8.1,3,7.3,41.30%,43.80%,13.60%,9.70%,12.80%,2.80%,42.70%,51.7
Oklahoma City Thunder,82,8.7,7.70%,0.9,7.8,2.9,7.3,39.50%,43.90%,10.50%,7.60%,10.30%,2.70%,40.80%,69
Washington Wizards,82,8.6,7.90%,0.87,7.5,2.8,6.8,41.90%,43.80%,11.60%,11.60%,11.00%,1.60%,42.70%,41.4
Sacramento Kings,82,8.3,7.80%,0.87,7.2,2.7,6.6,40.70%,43.30%,12.50%,11.20%,11.70%,3.50%,41.00%,44.8
Phoenix Suns,82,8.2,7.10%,0.85,7,2.4,6.5,37.30%,40.50%,14.40%,9.80%,13.70%,3.90%,39.60%,34.5
Denver Nuggets,82,7.2,6.40%,0.94,6.8,2.5,5.9,41.90%,44.80%,13.60%,7.60%,11.60%,2.70%,45.10%,82.8
New Orleans Pelicans,82,8,7.40%,0.85,6.8,2.7,6.4,41.90%,43.80%,10.40%,11.50%,10.10%,2.40%,41.20%,31
Detroit Pistons,82,7.3,6.80%,0.92,6.7,2.8,6.4,44.20%,45.30%,9.30%,6.10%,8.80%,2.50%,44.70%,75.9
Brooklyn Nets,82,7.5,6.70%,0.9,6.7,2.4,5.9,41.40%,44.40%,13.90%,10.50%,13.10%,2.90%,43.50%,65.5
Miami Heat,82,7.5,6.90%,0.85,6.3,2.5,6.3,39.70%,42.40%,10.50%,8.20%,9.70%,2.80%,40.90%,27.6
Memphis Grizzlies,82,7.8,7.40%,0.79,6.2,2.2,6.1,36.70%,39.60%,12.50%,11.20%,11.70%,1.60%,39.10%,6.9
Chicago Bulls,82,7.5,6.80%,0.82,6.1,2.3,6.2,37.70%,39.90%,11.10%,9.10%,10.40%,2.60%,39.40%,13.8
Golden State Warriors,82,6.3,5.70%,0.94,6,2.2,5.3,41.80%,44.90%,12.10%,6.70%,10.80%,3.10%,43.80%,79.3
Philadelphia 76ers,82,7,6.40%,0.84,5.9,2.3,5.5,42.40%,44.70%,10.60%,13.00%,9.90%,1.60%,41.30%,24.1
Atlanta Hawks,82,6.6,6.00%,0.85,5.6,2.1,5.1,41.80%,43.80%,13.50%,12.20%,13.10%,2.60%,42.30%,37.9
Milwaukee Bucks,82,7.6,7.20%,0.74,5.6,2.2,5.9,36.60%,37.30%,10.90%,13.00%,9.50%,1.60%,37.10%,0
Utah Jazz,82,6.8,6.60%,0.81,5.5,2.1,5.7,36.80%,39.70%,10.50%,8.10%,9.50%,2.30%,38.90%,10.3
Minnesota Timberwolves,82,7.1,6.60%,0.75,5.4,2,5.8,34.10%,36.10%,11.60%,9.20%,11.10%,1.70%,36.90%,3.4
Boston Celtics,82,5.9,5.50%,0.88,5.2,1.8,4.8,36.70%,40.90%,14.50%,8.30%,12.60%,4.10%,40.00%,55.2
San Antonio Spurs,82,6.3,5.90%,0.82,5.1,1.9,4.8,38.90%,40.30%,12.90%,11.30%,11.90%,1.80%,40.40%,17.2
Orlando Magic,82,5.5,5.10%,0.87,4.8,1.8,4.4,41.70%,43.20%,12.20%,11.30%,11.70%,3.50%,41.80%,48.3
Charlotte Hornets,82,4.3,4.10%,0.82,3.6,1.4,3.7,37.00%,39.00%,11.00%,7.00%,10.70%,2.80%,39.40%,20.7
