TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Brooklyn Nets,30,10,9.00%,1.17,11.7,4.1,8.1,50.00%,59.40%,12.70%,8.70%,11.70%,2.70%,50.30%,100
Portland Trail Blazers,28,11,9.60%,1.01,10.9,3.7,8.9,42.00%,49.40%,12.30%,6.30%,11.30%,1.70%,44.70%,89.7
Los Angeles Lakers,29,10,9.40%,0.92,9.6,3.6,8.2,44.00%,48.10%,11.90%,11.90%,11.30%,2.60%,43.00%,51.7
Houston Rockets,28,10,9.10%,0.95,9.6,3.5,8.2,43.00%,47.00%,12.00%,8.50%,10.20%,1.40%,45.10%,79.3
Milwaukee Bucks,28,9,8.00%,0.95,8.6,3.2,7.4,43.00%,47.80%,11.80%,8.70%,8.70%,2.00%,44.10%,69
LA Clippers,30,8,7.80%,0.9,7.5,2.7,7,39.00%,42.60%,11.20%,6.40%,10.00%,1.20%,42.20%,37.9
New York Knicks,30,8,7.20%,0.94,7.3,2.7,6.1,44.00%,48.90%,11.60%,11.20%,10.30%,2.20%,44.00%,62.1
Boston Celtics,28,9,8.20%,0.85,7.7,2.9,7.5,38.00%,43.40%,8.70%,9.80%,7.50%,1.60%,38.60%,20.7
Oklahoma City Thunder,28,8,7.60%,0.83,7,2.7,6.8,40.00%,43.90%,9.30%,11.40%,9.30%,1.70%,39.00%,10.3
New Orleans Pelicans,28,6,5.70%,1.05,6.8,2.4,4.6,52.00%,56.20%,16.10%,14.40%,15.60%,2.80%,50.60%,96.6
Dallas Mavericks,28,7,6.30%,0.92,6.3,2.3,5.7,39.00%,44.10%,12.60%,6.80%,9.40%,3.10%,42.40%,48.3
San Antonio Spurs,27,6,5.60%,1.04,6.4,2.3,4.8,48.00%,49.60%,16.70%,8.30%,15.50%,2.40%,51.20%,93.1
Toronto Raptors,28,6,5.70%,0.94,6,2.1,5.1,42.00%,45.10%,16.30%,6.20%,15.20%,3.40%,45.50%,65.5
Washington Wizards,26,8,7.20%,0.77,6.4,2.6,6.5,40.00%,41.70%,12.00%,13.90%,11.10%,4.20%,37.50%,6.9
Phoenix Suns,27,7,6.40%,0.88,6.1,2.4,5.9,41.00%,45.30%,8.60%,9.10%,9.10%,2.70%,40.60%,31
Denver Nuggets,28,6,5.50%,0.95,5.8,2.4,5.3,44.00%,47.30%,8.70%,8.10%,8.70%,3.50%,43.60%,75.9
Detroit Pistons,28,7,6.10%,0.84,5.8,1.9,5.1,37.00%,41.50%,14.60%,13.50%,14.10%,2.10%,40.10%,17.2
Golden State Warriors,29,6,5.00%,0.98,5.5,2,4.6,43.00%,49.60%,14.20%,9.90%,13.60%,5.60%,43.80%,82.8
Philadelphia 76ers,29,5,4.80%,1.01,5.4,2.2,4.3,51.00%,52.40%,12.20%,10.30%,10.30%,2.60%,50.60%,86.2
Charlotte Hornets,28,6,5.60%,0.85,5.4,1.8,5,37.00%,41.00%,12.90%,10.10%,12.40%,1.10%,39.90%,24.1
Miami Heat,28,6,5.20%,0.89,5,1.8,4.2,43.00%,44.10%,14.00%,14.00%,12.70%,3.20%,43.30%,34.5
Sacramento Kings,27,5,4.80%,0.95,5.1,2,4.4,44.00%,47.90%,14.30%,7.50%,14.30%,4.10%,46.30%,72.4
Indiana Pacers,29,5,4.60%,0.87,4.4,1.7,4.2,41.00%,43.40%,11.40%,10.70%,10.70%,4.00%,40.90%,27.6
Minnesota Timberwolves,29,5,4.40%,0.84,4.2,1.5,4.2,36.00%,42.10%,9.60%,8.90%,6.80%,1.40%,37.00%,13.8
Cleveland Cavaliers,29,6,5.50%,0.66,4.1,1.6,4.8,34.00%,37.50%,6.10%,16.70%,5.00%,0.60%,30.60%,0
Utah Jazz,29,5,4.80%,0.76,4,1.3,4,33.00%,38.00%,12.30%,14.20%,10.30%,1.90%,34.80%,3.4
Chicago Bulls,27,5,4.20%,0.92,4.3,1.7,3.7,46.00%,50.00%,10.30%,11.90%,10.30%,1.60%,43.70%,55.2
Orlando Magic,29,4,3.70%,0.92,3.8,1.3,3.3,40.00%,43.70%,13.40%,7.60%,13.40%,0.80%,44.50%,44.8
Atlanta Hawks,28,4,3.80%,0.9,3.8,1.2,3.1,38.00%,40.10%,18.50%,11.80%,16.00%,2.50%,42.90%,41.4
Memphis Grizzlies,24,4,3.90%,0.93,4.1,1.5,3.5,43.00%,47.60%,13.30%,11.40%,12.40%,3.80%,43.80%,58.6
