,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average
48,Richaun Holmes,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,28.474333333333334,5.246015999999999,0.766,2.3330249999999997,7.013784,2.15012,1.35742,0.97896,1.35742,27.756999999999998
49,De'Anthony Melton,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.5475,0.329,0.0
50,Steven Adams,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0.0,2.5001999999999995,0.766,1.373,3.495,2.06,0.329,0.483,0.329,0.0
51,Myles Turner,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0.0,2.3369,0.766,1.0441,3.495,2.06,0.329,0.5991000000000001,0.329,0.0
52,Dwayne Bacon,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0.0,2.9545999999999992,0.766,1.373,3.495,2.06,0.329,0.6377999999999998,0.329,0.0
53,Bruce Brown,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
54,Nikola Jokić,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
55,Džanan Musa,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
56,DeAndre Jordan,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
57,Bam Adebayo,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
58,Will Barton,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
59,Cedi Osman,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0.0,2.5924999999999994,0.766,1.0441,3.495,2.06,0.329,0.4701000000000001,0.329,0.0
60,JaMychal Green,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0.0,2.3582,0.766,1.0441,3.495,2.06,0.329,0.6507000000000002,0.329,0.0
61,Harrison Barnes,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0.0,2.3297999999999996,0.766,1.0441,3.495,2.06,0.329,0.7281000000000001,0.329,0.0
62,Zach LaVine,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0.0,2.1097,0.766,1.0441,3.495,2.06,0.329,0.7926000000000001,0.329,0.0
63,Mason Plumlee,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
64,Spencer Dinwiddie,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
65,Wilson Chandler,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
66,Rondae Hollis-Jefferson,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0.0,2.2445999999999993,0.766,1.373,3.495,2.06,0.329,0.7538999999999999,0.329,0.0
67,Joe Ingles,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0.0,2.6422000000000008,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
68,Christian Wood,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
