,Unnamed: 0,name,team,date,location,opponent,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,FanDuel_Points,FanDuel_Dollars
23,4837,Monte Morris,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,3.7956100000000017,1.6776399999999998,1.565624,5.02302,4.61892,0.2561,0.8973300000000002,0.2561,30.349958,6069.9916
24,4838,Trae Young,ATLANTA HAWKS,2019-02-02,AWAY,PHOENIX SUNS,3.4206480000000004,2.52508,4.1527769999999995,4.933845,6.721360000000001,0.4637,1.1187900000000002,0.4637,38.855737,7771.1474
25,4839,Andre Iguodala,GOLDEN STATE WARRIORS,2019-02-02,HOME,LOS ANGELES LAKERS,2.582822,1.0484799999999999,2.0382040000000003,5.1055470000000005,4.56744,0.7901400000000001,1.1316000000000002,0.7901400000000001,28.3021844,5660.43688
26,4840,Ben Simmons,PHILADELPHIA 76ERS,2019-02-02,AWAY,SACRAMENTO KINGS,7.682240000000001,0.80666,4.49471,7.895297999999999,5.72876,0.94496,1.18482,0.94496,45.7910476,9158.20952
27,4841,Dwyane Wade,MIAMI HEAT,2019-02-02,HOME,INDIANA PACERS,4.6188139999999995,1.2988600000000001,2.5330939999999997,4.875401999999999,5.2945600000000015,0.34326,1.1382,0.34326,33.5607444,6712.14888
28,4842,Otto Porter,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,2.372142000000001,1.94728,0.925376,5.079729,3.36636,0.3579,1.10016,0.3579,26.6729948,5334.59896
29,4843,Malik Beasley,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,3.129482000000001,2.33034,2.907508,4.115784,3.0442,0.24692000000000006,0.8736000000000002,0.24692000000000006,28.777372800000002,5755.474560000001
30,4844,Khris Middleton,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,4.7458860000000005,1.61344,2.505141,5.691713999999998,4.5686800000000005,0.34769999999999995,0.9693600000000002,0.34769999999999995,34.1237898,6824.757959999999
31,4845,Frank Jackson,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,4.166278,1.48932,1.750393,5.434836,2.8846000000000003,0.36768,0.69318,0.36768,28.2145122,5642.90244
32,4846,Mikal Bridges,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,2.6987440000000005,1.76538,1.520587,5.575068,3.15052,0.54884,1.5494100000000002,0.54884,29.3759866,5875.19732
33,4847,Bradley Beal,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,3.9047560000000012,2.39454,3.7684260000000003,5.867172,5.36904,0.36586,1.11711,0.36586,37.9387744,7587.75488
34,4848,Cheick Diallo,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,4.455522,0.7981,1.902327,4.747533,2.17864,0.6469,0.59826,0.6469,25.261250600000004,5052.250120000001
35,4849,Donovan Mitchell,UTAH JAZZ,2019-02-02,HOME,HOUSTON ROCKETS,6.748998000000001,1.7461200000000001,4.1818599999999995,5.5599750000000006,4.8646400000000005,0.5976,0.92727,0.5976,40.864156,8172.8312000000005
36,4850,Marco Belinelli,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,2.250902,1.9965,1.3396740000000005,4.190508,3.52124,0.38968,0.6893999999999999,0.38968,24.9890076,4997.80152
37,4851,Darren Collison,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,3.893958,1.3759,2.9922990000000005,4.479833999999999,5.95424,0.32792,1.02849,0.32792,32.9563858,6591.27716
38,4852,Reggie Bullock,DETROIT PISTONS,2019-02-02,HOME,LOS ANGELES CLIPPERS,1.308834,2.36886,1.250399,4.865271,3.69276,0.44264,0.7022999999999998,0.44264,25.344292199999998,5068.85844
39,4853,De'Aaron Fox,SACRAMENTO KINGS,2019-02-02,HOME,PHILADELPHIA 76ERS,5.66546,1.3245399999999998,2.9500110000000004,5.414718,5.16896,0.4975399999999999,0.9654,0.4975399999999999,36.3969326,7279.38652
40,4854,Larry Nance,CLEVELAND CAVALIERS,2019-02-02,HOME,DALLAS MAVERICKS,4.104112000000001,0.9158,1.5342600000000002,6.326016,2.7628000000000004,0.61134,0.8073899999999998,0.61134,27.870153200000004,5574.030640000001
41,4855,DeMarcus Cousins,GOLDEN STATE WARRIORS,2019-02-02,HOME,LOS ANGELES LAKERS,4.945194,1.1619000000000002,3.5631249999999994,5.994351,4.34388,0.5312399999999999,1.28754,0.5312399999999999,35.573354200000004,7114.670840000001
42,4856,Myles Turner,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,4.717554,1.4208399999999999,2.897806,6.068352,2.9959200000000004,0.83534,1.1573099999999998,0.83534,33.513946399999995,6702.789279999999
43,4857,Ed Davis,BROOKLYN NETS,2019-02-02,AWAY,ORLANDO MAGIC,3.9283959999999993,0.7659999999999999,2.4791380000000003,8.244192,2.8785200000000004,0.8842,0.7211400000000001,0.8842,30.7765604,6155.312080000001
44,4858,Rudy Gay,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,5.773282,1.22824,2.086219,5.928522,3.82788,0.42472,1.17078,0.42472,34.5353294,6907.06588
45,4859,Zach LaVine,CHICAGO BULLS,2019-02-02,AWAY,CHARLOTTE HORNETS,5.841419999999999,1.86168,4.411657,5.604578999999998,3.79964,0.2745200000000001,0.98538,0.2745200000000001,37.609671799999994,7521.934359999998
46,4860,Jerryd Bayless,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,3.537326,2.2854,1.8840480000000004,5.5192739999999985,6.3144800000000005,0.40018000000000004,0.9991200000000001,0.40018000000000004,35.7074688,7141.49376
47,4861,Trey Lyles,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,3.415700000000001,1.27104,1.99521,4.5495,2.6249599999999997,0.4561,0.5752800000000001,0.4561,24.674610000000005,4934.922000000001
48,4862,D.J. Augustin,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,2.95791,1.65196,4.36785,5.080017000000002,3.8634800000000005,0.4914600000000001,0.8867700000000001,0.4914600000000001,30.7740204,6154.80408
49,4863,Malik Monk,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,2.751114000000001,2.18054,1.4970940000000001,4.24224,2.7489600000000003,0.45916,0.7836599999999998,0.45916,26.02437,5204.874
50,4864,Malcolm Brogdon,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,5.00523,1.47434,3.4401770000000003,5.6058629999999985,3.3591200000000003,0.4240400000000001,1.1151300000000002,0.4240400000000001,33.8328426,6766.56852
51,4865,Shai Gilgeous-Alexander,LOS ANGELES CLIPPERS,2019-02-02,AWAY,DETROIT PISTONS,4.173584,1.2539200000000001,2.5139620000000003,4.502922,3.8954,0.38636,1.1829300000000005,0.38636,30.191006400000003,6038.20128
52,4866,D'Angelo Russell,BROOKLYN NETS,2019-02-02,AWAY,ORLANDO MAGIC,5.010542,2.4138,3.306156,5.389767,5.7275599999999995,0.5346599999999999,1.2194700000000005,0.5346599999999999,40.3554304,8071.086080000001
53,4867,Hassan Whiteside,MIAMI HEAT,2019-02-02,HOME,INDIANA PACERS,5.480702000000001,0.7659999999999999,2.645245,10.495622999999998,2.5409200000000003,1.36286,0.8568300000000001,1.36286,37.606986600000006,7521.397320000001
54,4868,Nicolas Batum,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,2.835098000000001,1.73328,1.58512,6.050016,3.5240400000000003,1.0061,1.06503,1.0061,30.208525200000004,6041.705040000001
55,4869,Elie Okobo,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,2.7671680000000007,1.4379600000000001,0.9277290000000001,4.618059,3.22568,0.40218000000000004,0.95955,0.40218000000000004,24.839145799999997,4967.829159999999
56,4870,George Hill,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,2.7165420000000005,1.5043000000000002,1.51563,4.729598999999999,2.76072,0.38468,0.9286800000000002,0.38468,24.8336128,4966.72256
57,4871,Tomas Satoransky,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,3.6500280000000007,1.17474,2.233552,5.332881,6.00212,0.4272800000000001,1.03236,0.4272800000000001,32.4121052,6482.42104
