,name,team,date,location,opponent,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers
4844,Khris Middleton,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,4.7458860000000005,1.61344,2.505141,5.691713999999999,4.5686800000000005,0.34769999999999995,0.9693600000000002,0.34769999999999995
4845,Frank Jackson,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,4.166278,1.48932,1.750393,5.434836,2.8846000000000003,0.36767999999999995,0.69318,0.36767999999999995
4846,Mikal Bridges,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,2.6987440000000005,1.76538,1.5205870000000001,5.575068,3.15052,0.54884,1.5494100000000002,0.54884
4847,Bradley Beal,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,3.904756000000001,2.39454,3.768426,5.867172,5.36904,0.36585999999999996,1.11711,0.36585999999999996
4848,Cheick Diallo,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,4.455522,0.7981,1.902327,4.747533,2.17864,0.6469,0.59826,0.6469
4849,Donovan Mitchell,UTAH JAZZ,2019-02-02,HOME,HOUSTON ROCKETS,6.748998000000001,1.74612,4.18186,5.5599750000000006,4.8646400000000005,0.5976,0.92727,0.5976
4850,Marco Belinelli,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,2.250902,1.9965,1.3396740000000003,4.190508,3.52124,0.38968,0.6893999999999999,0.38968
4851,Darren Collison,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,3.8939579999999996,1.3759000000000001,2.9922990000000005,4.479834,5.95424,0.32792,1.02849,0.32792
4852,Reggie Bullock,DETROIT PISTONS,2019-02-02,HOME,LOS ANGELES CLIPPERS,1.308834,2.3688599999999997,1.250399,4.865271,3.6927600000000003,0.44264000000000003,0.7022999999999998,0.44264000000000003
4853,De'Aaron Fox,SACRAMENTO KINGS,2019-02-02,HOME,PHILADELPHIA 76ERS,5.6654599999999995,1.3245399999999998,2.9500110000000004,5.414718,5.16896,0.4975399999999999,0.9654,0.4975399999999999
4854,Larry Nance,CLEVELAND CAVALIERS,2019-02-02,HOME,DALLAS MAVERICKS,4.104112,0.9158,1.5342600000000002,6.326016,2.7628000000000004,0.61134,0.8073899999999998,0.61134
4855,DeMarcus Cousins,GOLDEN STATE WARRIORS,2019-02-02,HOME,LOS ANGELES LAKERS,4.945194,1.1619000000000002,3.5631249999999994,5.994351,4.34388,0.5312399999999999,1.2875400000000001,0.5312399999999999
4856,Myles Turner,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,4.717554,1.42084,2.897806,6.068352,2.9959200000000004,0.83534,1.1573099999999998,0.83534
4857,Ed Davis,BROOKLYN NETS,2019-02-02,AWAY,ORLANDO MAGIC,3.9283959999999993,0.766,2.479138,8.244192,2.8785200000000004,0.8842,0.7211400000000001,0.8842
