name,pos,team,rank
"Nurkic, Jusuf",C,Portland,24.0
"Collins, Zach",PF/C,Portland,26.5
"Towns, Karl-Anthony",C,Minnesota,13.0
"Bender, Dragan",PF/C,Milwaukee,10.0
"Bryant, Thomas",PF/C,Washington,14.5
"Rabb, Ivan",PF/C,New York,15.0
"Kaminsky, Frank",PF/C,Phoenix,14.0
"Wagner, Moritz",PF/C,Washington,14.5
"Hachimura, Rui",PF/C,Washington,14.5
"Labissiere, Skal",PF/C,Portland,26.5
"Doncic, Luka^",PG/SG,Dallas,7.5
"Fox, De'Aaron^",PG,Sacramento,24.0
"Gilgeous-Alexander, Shai^",PG/SG,Oklahoma City,13.0
"Rozier, Terry^",PG/SG,Charlotte,13.5
"LaVine, Zach^",PG/SG,Chicago,3.5
"Murray, Jamal^",PG/SG,Denver,6.5
"Barton, Will^",PG/SF,Denver,15.0
"Williams, Louis",PG/SG,LA Clippers,7.0
"Paul, Chris^",PG,Oklahoma City,17.0
"Graham, Devonte'^",PG,Charlotte,3.0
"Garland, Darius^",PG,Cleveland,27.0
"Lowry, Kyle^",PG,Toronto,12.0
"Curry, Seth",PG/SG,Dallas,7.5
"Morant, Ja^",PG,Memphis,22.0
"Mitchell, Donovan^",PG/SG,Utah,15.0
"Dinwiddie, Spencer^",PG/SG,Brooklyn,15.0
"Brown, Bruce",PG/SG,Detroit,8.5
"Schroder, Dennis",PG/SG,Oklahoma City,13.0
"Nunn, Kendrick^",PG/SG,Miami,8.0
"Sexton, Collin^",PG/SG,Cleveland,28.0
"White, Derrick",PG/SG,San Antonio,20.5
"McConnell, T.J.",PG,Indiana,10.0
"Rose, Derrick",PG/SG,Detroit,8.5
"Herro, Tyler",SG,Miami,14.0
"Melton, De'Anthony",PG/SG,Memphis,22.0
"Harris, Gary^",SG,Denver,2.0
"Barea, Jose^",PG/SG,Dallas,7.5
"VanVleet, Fred^",PG/SG,Toronto,7.5
"Dunn, Kris^",PG/SF,Chicago,13.0
"Pinson, Theo",PG/SG,Brooklyn,15.0
"Joseph, Cory",PG/SG,Sacramento,23.5
"Holiday, Aaron^",PG/SG,Indiana,11.0
"Dragic, Goran",PG,Miami,2.0
"Galloway, Langston",PG/SG,Detroit,8.5
"Satoransky, Tomas^",PG/SF,Chicago,13.0
"White, Coby",PG/SG,Chicago,3.5
"Murray, Dejounte^",PG,San Antonio,16.0
"Bowman, Ky",PG,Golden State,29.0
"Exum, Dante",PG/SG,Cleveland,28.0
"Clarkson, Jordan",PG/SG,Utah,15.0
"Green, Draymond^",PG/SF,Golden State,28.5
"Wright, Delon",PG/SG,Dallas,7.5
"Evans III, Jacob",PG/SF,Golden State,28.5
