Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,17,24,25,8,13
BOS,25,10,5,25,8
BRO,28,29,30,29,29
CHA,18,16,22,18,20
CHI,13,12,10,21,15
CLE,26,27,23,4,6
DAL,8,8,4,3,5
DEN,30,30,29,19,27
DET,20,5,8,14,12
GSW,10,7,11,7,18
HOU,6,21,28,16,28
IND,12,26,20,26,2
LAC,5,13,14,20,21
LAL,29,20,26,27,30
MEM,11,11,1,1,4
MIA,2,6,7,12,14
MIL,1,15,24,23,9
MIN,22,17,13,17,11
NOP,21,22,16,13,10
NYK,4,23,19,30,22
OKL,27,4,12,6,24
ORL,24,19,18,11,23
PHI,19,9,21,2,25
PHX,23,28,15,24,16
POR,16,18,27,22,26
SAC,14,25,17,28,19
SAS,9,14,3,5,1
TOR,15,3,6,10,17
UTA,7,1,2,9,3
WAS,3,2,9,15,7
