Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,30,26,28,30,22
BOS,2,3,4,8,10
BRO,9,9,19,19,23
CHA,20,29,8,22,25
CHI,28,27,18,17,29
CLE,29,30,14,25,12
DAL,25,25,24,6,18
DEN,1,14,26,1,14
DET,16,7,12,4,9
GSW,12,8,9,10,16
HOU,10,10,11,7,8
IND,3,17,1,16,3
LAC,26,18,21,26,30
LAL,19,15,30,9,21
MEM,14,11,20,2,4
MIA,4,19,17,18,1
MIL,7,6,10,14,13
MIN,18,13,13,24,6
NOP,27,23,29,28,27
NYK,13,28,15,29,19
OKL,11,24,6,15,7
ORL,6,20,5,5,11
PHI,8,5,2,27,28
PHX,22,22,25,23,26
POR,15,2,27,12,15
SAC,21,16,23,13,5
SAS,23,12,3,20,17
TOR,5,1,16,3,2
UTA,17,4,7,11,24
WAS,24,21,22,21,20
