,name,team,date,location,opponent,made_field_goals,made_two_point_field_goals,attempted_two_point_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,attempted_free_throws,made_free_throws,offensive_rebounds,defensive_rebounds,assists,blocks,turnovers,steals,seconds_played,Opponent Defensive Rating,Opponent Turnover %
31,T.J. Warren,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Kawhi Leonard,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Jonas Valančiūnas,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Wendell Carter,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,3.64,3.38,7.79,8.97,0.26,1.18,3.51,3.25,4.11,6.34,1.7,1.07,2.52,1.39,1701.07,108.44,13.6
35,Jae Crowder,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Montrezl Harrell,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Devonte' Graham,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Lauri Markkanen,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Chris Paul,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Lou Williams,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Rudy Gobert,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Maurice Harkless,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Kevin Love,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Dennis Schröder,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lonnie Walker,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Darius Garland,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Ja Morant,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Richaun Holmes,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,5.03,5.03,8.28,8.28,0.0,0.0,2.57,1.79,2.1,5.31,0.41,2.0,1.82,0.74,1708.46,111.73,14.91
49,De'Anthony Melton,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Steven Adams,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Myles Turner,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Dwayne Bacon,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Bruce Brown,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Nikola Jokić,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Džanan Musa,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,DeAndre Jordan,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Bam Adebayo,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Will Barton,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Cedi Osman,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,JaMychal Green,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Harrison Barnes,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Zach LaVine,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Mason Plumlee,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Spencer Dinwiddie,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Wilson Chandler,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Rondae Hollis-Jefferson,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Joe Ingles,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Christian Wood,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,OG Anunoby,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Jaren Jackson,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Tyler Herro,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Bojan Bogdanović,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Kyle Lowry,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Donovan Mitchell,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,T.J. McConnell,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Glenn Robinson,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Gary Harris,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Tony Snell,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Serge Ibaka,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Dorian Finney-Smith,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Cody Zeller,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Rudy Gay,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Thon Maker,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Collin Sexton,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Jimmy Butler,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Derrick Rose,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Ivica Zubac,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Nerlens Noel,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Naz Reid,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Tomáš Satoranský,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,P.J. Washington,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Paul George,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Georges Niang,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,John Henson,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Bogdan Bogdanović,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Cory Joseph,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Omari Spellman,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Marquese Chriss,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Langston Galloway,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Kelan Martin,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Josh Okogie,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Boban Marjanović,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,J.J. Barea,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Marvin Williams,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Darius Bazley,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Tony Bradley,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Jacob Evans,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Jarrett Allen,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Sekou Doumbouya,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Bismack Biyombo,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Sviatoslav Mykhailiuk,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Brandon Clarke,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Jerami Grant,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Joe Harris,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Goran Dragić,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Dante Exum,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Rodney McGruder,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Monte Morris,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Derrick White,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Emmanuel Mudiay,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Kendrick Nunn,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Danilo Gallinari,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Rodions Kurucs,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Timothé Luwawu-Cabarrot,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Dejounte Murray,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Dillon Brooks,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Jakob Poeltl,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Nemanja Bjelica,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Paul Millsap,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Andre Drummond,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Landry Shamet,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Gorgui Dieng,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Trevor Ariza,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Justin Jackson,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Larry Nance,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Alen Smailagić,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Jordan Clarkson,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Aaron Holiday,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Eric Paschall,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Thaddeus Young,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Delon Wright,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Chris Boucher,TORONTO RAPTORS,2020-01-02,AWAY,MIAMI HEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Meyers Leonard,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Jerome Robinson,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Kris Dunn,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Duncan Robinson,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Theo Pinson,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.57,0.43,0.8,1.93,0.13,1.14,0.0,0.0,0.19,0.94,1.76,0.0,0.25,0.59,354.96,110.87,14.63
148,Draymond Green,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Kevin Porter,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Taurean Waller-Prince,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Derrick Jones,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Royce O'Neale,UTAH JAZZ,2020-01-02,AWAY,CHICAGO BULLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Tristan Thompson,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Daniel Gafford,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Justin Holiday,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Damion Lee,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Chris Silva,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Coby White,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Shaquille Harrison,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Denzel Valentine,CHICAGO BULLS,2020-01-02,HOME,UTAH JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
