,Unnamed: 0,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,Date,Team Defensive Rating,Team Pace,Team Turnover %,Opponent Defensive Rating,Opponent Pace,Opponent Turnover %
2388,47,hayesja02,Jaxson Hayes,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,766,3,3,0,0,3,4,0,5,2,0,1,1,5,8.3,2020-01-16,112.6,103.3,12.6,105.7,100.3,13.4
2389,48,poolejo01,Jordan Poole,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,698,4,9,2,5,0,0,0,2,2,2,0,1,0,8.3,2020-01-16,109.5,100.9,12.6,108.9,97.7,11.9
2390,49,jacksfr01,Frank Jackson,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,1536,3,5,0,0,4,6,1,2,1,1,0,2,0,7.9,2020-01-16,112.6,103.3,12.6,105.7,100.3,13.4
2391,50,morrimo01,Monte Morris,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1551,3,9,1,3,4,4,1,2,3,0,0,1,1,7.9,2020-01-16,108.9,97.7,11.9,109.5,100.9,12.6
2392,51,pattepa01,Patrick Patterson,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,792,4,8,2,4,0,0,0,4,1,0,0,0,1,7.5,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2393,52,tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,2420,8,20,1,5,0,2,0,7,3,0,1,2,2,7.5,2020-01-16,107.8,99.6,11.5,105.2,103.3,12.0
2394,53,paytoel01,Elfrid Payton,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,1452,4,7,0,1,0,0,0,2,7,1,0,3,2,7.4,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2395,54,hartjo01,Josh Hart,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,2195,3,8,2,5,1,2,1,6,0,3,1,1,6,7.0,2020-01-16,112.6,103.3,12.6,105.7,100.3,13.4
2396,55,kanteen01,Enes Kanter,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,936,4,6,0,0,1,1,0,1,0,0,2,0,3,6.9,2020-01-16,107.8,99.6,11.5,105.2,103.3,12.0
2397,56,korveky01,Kyle Korver,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,1085,3,5,2,3,0,0,0,2,0,1,0,0,1,6.9,2020-01-16,105.2,103.3,12.0,107.8,99.6,11.5
2398,57,iwundwe01,Wesley Iwundu,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1674,3,8,2,6,0,0,0,4,1,1,1,0,2,6.4,2020-01-16,108.1,98.1,11.9,111.5,101.7,12.7
2399,58,johnsca02,Cameron Johnson,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,1403,4,9,2,3,0,0,2,2,0,0,1,1,2,6.2,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2400,59,balllo01,Lonzo Ball,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,2527,2,12,1,5,0,0,0,4,13,0,2,2,3,5.9,2020-01-16,112.6,103.3,12.6,105.7,100.3,13.4
2401,60,shamela01,Landry Shamet,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1939,5,13,3,8,0,0,0,3,2,0,0,2,1,5.8,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2402,61,willilo02,Lou Williams,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1443,4,14,1,3,2,2,0,4,5,0,0,2,0,5.5,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2403,62,mellini01,Nicolò Melli,NEW ORLEANS PELICANS,HOME,UTAH JAZZ,WIN,1555,3,6,1,1,0,0,1,3,0,0,0,0,2,4.8,2020-01-16,112.6,103.3,12.6,105.7,100.3,13.4
2404,63,bledser01,Eric Bledsoe,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,1206,2,9,1,3,4,4,0,2,4,1,0,2,4,4.3,2020-01-16,105.2,103.3,12.0,107.8,99.6,11.5
2405,64,robinje01,Jerome Robinson,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,814,1,3,1,1,0,0,0,3,3,0,0,0,0,4.3,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2406,65,ojelese01,Semi Ojeleye,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,1191,2,5,2,4,0,0,1,0,2,0,0,0,3,4.2,2020-01-16,107.8,99.6,11.5,105.2,103.3,12.0
2407,66,grantje01,Jerami Grant,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1640,3,9,0,3,0,0,1,3,2,2,0,1,2,4.1,2020-01-16,108.9,97.7,11.9,109.5,100.9,12.6
2408,67,diallch01,Cheick Diallo,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,924,1,2,0,0,0,0,0,1,1,3,0,1,0,4.0,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2409,68,portibo01,Bobby Portis,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,1041,2,7,1,4,0,0,1,9,1,0,0,1,0,4.0,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2410,69,bridgmi01,Mikal Bridges,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,2085,3,5,1,2,0,1,0,5,4,0,0,4,2,3.8,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2411,70,mcgruro01,Rodney McGruder,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,1022,1,1,1,1,0,0,1,3,1,1,0,1,3,3.8,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2412,71,knoxke01,Kevin Knox,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,998,2,8,1,3,2,4,0,4,0,2,0,1,1,3.2,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2413,72,okoboel01,Elie Okobo,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,834,1,4,1,2,0,0,1,0,1,2,0,0,2,3.2,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2414,73,fultzma01,Markelle Fultz,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1781,5,17,1,5,0,0,0,4,5,1,1,4,3,2.3,2020-01-16,108.1,98.1,11.9,111.5,101.7,12.7
2415,74,chrisma01,Marquese Chriss,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,686,2,4,0,0,0,0,1,1,1,1,1,2,3,2.2,2020-01-16,109.5,100.9,12.6,108.9,97.7,11.9
2416,75,bradlto01,Tony Bradley,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,LOSS,836,1,3,0,0,0,0,2,4,0,1,1,1,4,2.0,2020-01-16,105.7,100.3,13.4,112.6,103.3,12.6
2417,76,barrerj01,RJ Barrett,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,850,2,8,1,2,2,4,1,2,2,0,0,1,3,1.9,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2418,77,greenja02,Javonte Green,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,782,1,2,0,0,0,0,1,0,0,1,0,0,2,1.9,2020-01-16,107.8,99.6,11.5,105.2,103.3,12.0
2419,78,wanambr01,Brad Wanamaker,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,883,1,5,0,2,0,0,0,1,4,0,0,0,1,1.6,2020-01-16,107.8,99.6,11.5,105.2,103.3,12.0
2420,79,baynear01,Aron Baynes,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,884,2,6,1,4,0,0,1,1,1,0,0,1,2,1.5,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2421,80,gibsota01,Taj Gibson,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,779,2,2,0,0,1,1,0,1,0,0,0,2,3,1.5,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2422,81,haywago01,Gordon Hayward,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,1934,1,10,1,9,4,4,1,4,2,0,0,1,3,1.5,2020-01-16,107.8,99.6,11.5,105.2,103.3,12.0
2423,82,carteje01,Jevon Carter,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,422,1,3,1,1,0,0,0,1,1,0,0,1,0,1.3,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2424,83,tuckera01,Rayjon Tucker,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,LOSS,181,0,1,0,1,2,2,0,0,0,0,0,0,0,1.3,2020-01-16,105.7,100.3,13.4,112.6,103.3,12.6
2425,84,dotsoda01,Damyean Dotson,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,1565,3,6,0,2,0,0,0,2,0,0,0,2,1,1.2,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2426,85,spellom01,Omari Spellman,GOLDEN STATE WARRIORS,HOME,DENVER NUGGETS,LOSS,1026,1,3,1,2,0,0,0,1,2,0,0,1,2,1.2,2020-01-16,109.5,100.9,12.6,108.9,97.7,11.9
2427,86,ntilila01,Frank Ntilikina,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,1428,1,7,0,1,0,0,1,0,6,2,1,2,5,1.1,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2428,87,willigr01,Grant Williams,BOSTON CELTICS,AWAY,MILWAUKEE BUCKS,LOSS,429,1,4,1,4,1,2,0,2,0,0,0,1,0,0.8,2020-01-16,107.8,99.6,11.5,105.2,103.3,12.0
2429,88,jeromty01,Ty Jerome,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,130,0,0,0,0,0,0,0,0,1,0,0,0,1,0.3,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2430,89,mannte01,Terance Mann,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,248,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2431,90,craigto01,Torrey Craig,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,1015,0,3,0,2,0,0,1,2,1,2,0,1,2,0.1,2020-01-16,108.9,97.7,11.9,109.5,100.9,12.6
2432,91,connapa01,Pat Connaughton,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2020-01-16,105.2,103.3,12.0,107.8,99.6,11.5
2433,92,allenka01,Kadeem Allen,NEW YORK KNICKS,HOME,PHOENIX SUNS,LOSS,347,1,4,1,3,0,0,0,0,1,0,0,1,1,-0.1,2020-01-16,113.7,99.6,12.4,115.1,100.5,13.8
2434,93,hernaju01,Juan Hernangómez,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,308,1,3,1,1,0,0,0,0,0,0,0,1,1,-0.1,2020-01-16,108.9,97.7,11.9,109.5,100.9,12.6
2435,94,waltode01,Derrick Walton,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,272,0,1,0,1,0,0,0,1,1,0,0,0,1,-0.1,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2436,95,bambamo01,Mohamed Bamba,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1110,0,4,0,3,1,2,1,6,1,0,1,0,5,-0.3,2020-01-16,108.1,98.1,11.9,111.5,101.7,12.7
2437,96,jeffeam01,Amile Jefferson,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,272,1,2,0,0,0,4,0,1,0,0,0,0,0,-0.3,2020-01-16,108.1,98.1,11.9,111.5,101.7,12.7
2438,97,mudiaem01,Emmanuel Mudiay,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,LOSS,900,1,6,0,1,1,2,0,1,1,2,0,2,1,-0.6,2020-01-16,105.7,100.3,13.4,112.6,103.3,12.6
2439,98,birchkh01,Khem Birch,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1140,0,0,0,0,0,0,1,2,2,0,0,3,1,-0.7,2020-01-16,108.1,98.1,11.9,111.5,101.7,12.7
2440,99,lecquja01,Jalen Lecque,PHOENIX SUNS,AWAY,NEW YORK KNICKS,WIN,130,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,2020-01-16,115.1,100.5,13.8,113.7,99.6,12.4
2441,100,lopezro01,Robin Lopez,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,469,0,3,0,0,0,0,0,2,1,0,0,0,0,-0.8,2020-01-16,105.2,103.3,12.0,107.8,99.6,11.5
2442,101,harklma01,Maurice Harkless,LOS ANGELES CLIPPERS,HOME,ORLANDO MAGIC,WIN,810,0,4,0,1,0,0,1,5,0,0,0,0,1,-1.0,2020-01-16,111.5,101.7,12.7,108.1,98.1,11.9
2443,102,matthwe02,Wesley Matthews,MILWAUKEE BUCKS,HOME,BOSTON CELTICS,WIN,1730,0,3,0,1,0,0,1,3,1,0,0,0,3,-1.0,2020-01-16,105.2,103.3,12.0,107.8,99.6,11.5
2444,103,johnsbj01,B.J. Johnson,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,410,0,3,0,1,0,0,0,1,1,0,0,0,0,-1.1,2020-01-16,108.1,98.1,11.9,111.5,101.7,12.7
2445,104,clarkga01,Gary Clark,ORLANDO MAGIC,AWAY,LOS ANGELES CLIPPERS,LOSS,1013,0,4,0,3,0,0,1,3,0,0,0,0,0,-1.2,2020-01-16,108.1,98.1,11.9,111.5,101.7,12.7
2446,105,niangge01,Georges Niang,UTAH JAZZ,AWAY,NEW ORLEANS PELICANS,LOSS,904,0,4,0,3,0,0,0,1,3,0,0,0,2,-1.2,2020-01-16,105.7,100.3,13.4,112.6,103.3,12.6
2447,106,doziepj01,PJ Dozier,DENVER NUGGETS,AWAY,GOLDEN STATE WARRIORS,WIN,447,0,3,0,0,0,0,0,0,0,0,0,0,1,-2.5,2020-01-16,108.9,97.7,11.9,109.5,100.9,12.6
2448,0,youngtr01,Trae Young,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,WIN,2086,10,16,6,9,5,7,1,4,9,1,1,3,0,29.9,2020-01-17,113.9,103.9,14.3,111.2,98.3,11.0
2449,1,doncilu01,Luka Dončić,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,2040,11,23,8,12,5,8,2,6,7,1,0,3,2,27.4,2020-01-17,110.7,99.0,12.7,110.5,99.1,12.1
2450,2,lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,2386,13,25,3,10,5,7,0,1,10,2,0,4,1,25.8,2020-01-17,110.5,99.1,12.1,110.7,99.0,12.7
2451,3,whiteha01,Hassan Whiteside,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,2183,9,10,0,0,3,6,4,14,2,0,5,2,3,25.1,2020-01-17,110.5,99.1,12.1,110.7,99.0,12.7
2452,4,powelno01,Norman Powell,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1790,10,17,4,9,4,5,0,5,2,3,1,1,1,24.9,2020-01-17,107.1,100.2,12.4,113.9,101.4,12.3
2453,5,gallida01,Danilo Gallinari,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,1991,7,15,7,12,6,7,2,4,4,1,0,2,0,23.3,2020-01-17,107.0,102.8,11.7,107.6,98.2,13.1
2454,6,derozde01,DeMar DeRozan,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,LOSS,2263,9,18,0,1,7,7,1,8,9,2,0,4,3,22.2,2020-01-17,111.2,98.3,11.0,113.9,103.9,14.3
2455,7,warretj01,T.J. Warren,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2013,11,18,3,4,3,3,1,4,2,1,1,1,4,22.2,2020-01-17,106.5,98.1,12.4,112.9,100.2,11.4
2456,8,browntr01,Troy Brown,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,1578,9,13,2,4,2,3,3,5,1,3,0,2,1,21.0,2020-01-17,113.9,101.4,12.3,107.1,100.2,12.4
2457,9,hardati02,Tim Hardaway,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1915,9,16,5,8,6,7,1,3,0,1,0,2,3,20.4,2020-01-17,110.7,99.0,12.7,110.5,99.1,12.1
2458,10,gasolma01,Marc Gasol,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1726,7,9,6,7,0,0,0,6,5,2,1,3,3,20.3,2020-01-17,107.1,100.2,12.4,113.9,101.4,12.3
2459,11,reddica01,Cam Reddish,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,WIN,2188,8,13,5,7,1,1,0,5,4,4,1,4,2,20.3,2020-01-17,113.9,103.9,14.3,111.2,98.3,11.0
2460,12,korkmfu01,Furkan Korkmaz,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,WIN,1605,8,11,6,9,2,2,0,4,0,0,1,1,1,20.0,2020-01-17,110.0,101.6,12.9,113.2,99.0,12.7
2461,13,simmobe01,Ben Simmons,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,WIN,2229,10,17,0,0,0,0,3,8,7,1,0,2,2,19.7,2020-01-17,110.0,101.6,12.9,113.2,99.0,12.7
2462,14,aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,LOSS,1669,11,20,1,3,7,7,2,3,0,1,0,2,6,19.3,2020-01-17,111.2,98.3,11.0,113.9,103.9,14.3
2463,15,butleji01,Jimmy Butler,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,2058,3,8,1,3,7,7,2,8,7,2,1,2,1,18.6,2020-01-17,107.6,98.2,13.1,107.0,102.8,11.7
2464,16,adebaba01,Bam Adebayo,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,1927,7,11,0,0,7,10,1,7,5,0,1,3,2,18.1,2020-01-17,107.6,98.2,13.1,107.0,102.8,11.7
2465,17,horfoal01,Al Horford,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,WIN,1940,8,14,2,6,2,2,1,4,6,0,1,2,1,17.8,2020-01-17,110.0,101.6,12.9,113.2,99.0,12.7
2466,18,brookdi01,Dillon Brooks,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1708,9,16,4,7,4,4,0,2,1,0,0,1,4,17.1,2020-01-17,108.8,96.6,12.9,117.6,96.6,12.2
2467,19,gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,2230,5,13,2,6,6,6,0,5,8,1,0,1,4,16.4,2020-01-17,107.0,102.8,11.7,107.6,98.2,13.1
2468,20,lambje01,Jeremy Lamb,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1881,7,13,0,4,4,4,0,6,2,2,0,0,2,16.1,2020-01-17,106.5,98.1,12.4,112.9,100.2,11.4
2469,21,sextoco01,Collin Sexton,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2223,11,25,3,8,3,3,1,3,6,0,0,3,4,16.1,2020-01-17,117.6,96.6,12.2,108.8,96.6,12.9
2470,22,daviste02,Terence Davis,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1418,9,16,5,7,0,0,2,5,3,0,0,3,4,15.8,2020-01-17,107.1,100.2,12.4,113.9,101.4,12.3
2471,23,murrade01,Dejounte Murray,SAN ANTONIO SPURS,HOME,ATLANTA HAWKS,LOSS,1971,5,10,0,3,3,4,5,7,5,3,0,2,5,15.7,2020-01-17,111.2,98.3,11.0,113.9,103.9,14.3
2472,24,bongais01,Isaac Bonga,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,1722,6,9,2,2,3,3,5,4,0,1,0,2,4,15.2,2020-01-17,113.9,101.4,12.3,107.1,100.2,12.4
2473,25,anunoog01,OG Anunoby,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1539,8,13,2,6,0,0,1,5,2,4,0,4,2,14.9,2020-01-17,107.1,100.2,12.4,113.9,101.4,12.3
2474,26,nancela02,Larry Nance,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1445,7,8,2,2,0,2,1,5,0,2,0,1,2,14.8,2020-01-17,117.6,96.6,12.2,108.8,96.6,12.9
2475,27,townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,1685,9,21,3,9,6,6,3,2,1,0,0,3,4,14.7,2020-01-17,112.9,100.2,11.4,106.5,98.1,12.4
2476,28,nunnke01,Kendrick Nunn,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,1844,9,17,3,5,1,1,0,2,2,1,0,1,3,14.5,2020-01-17,107.6,98.2,13.1,107.0,102.8,11.7
2477,29,moranja01,Ja Morant,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1994,7,14,0,1,2,2,0,5,8,3,1,5,1,14.4,2020-01-17,108.8,96.6,12.9,117.6,96.6,12.2
2478,30,clarkbr01,Brandon Clarke,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1519,6,8,1,1,2,2,1,1,3,0,2,0,5,14.3,2020-01-17,108.8,96.6,12.9,117.6,96.6,12.2
2479,31,mckinal01,Alfonzo McKinnie,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,1596,6,7,0,1,0,0,3,7,0,2,1,1,3,14.2,2020-01-17,117.6,96.6,12.2,108.8,96.6,12.9
2480,32,loveke01,Kevin Love,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,LOSS,2063,5,12,0,6,9,13,2,7,2,0,0,1,2,14.1,2020-01-17,117.6,96.6,12.2,108.8,96.6,12.9
2481,33,collijo01,John Collins,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,WIN,1589,7,13,1,3,3,4,2,8,0,1,1,1,5,13.8,2020-01-17,113.9,103.9,14.3,111.2,98.3,11.0
2482,34,schrode01,Dennis Schröder,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,2258,6,16,3,11,3,3,0,7,8,0,0,2,4,13.3,2020-01-17,107.0,102.8,11.7,107.6,98.2,13.1
2483,35,ibakase01,Serge Ibaka,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1540,6,9,1,2,2,2,3,5,1,0,0,1,3,13.2,2020-01-17,107.1,100.2,12.4,113.9,101.4,12.3
2484,36,okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,1475,5,7,1,1,4,6,1,3,0,1,0,1,0,12.9,2020-01-17,112.9,100.2,11.4,106.5,98.1,12.4
2485,37,holidaa01,Aaron Holiday,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,999,5,7,1,2,2,2,1,2,2,0,1,0,2,12.7,2020-01-17,106.5,98.1,12.4,112.9,100.2,11.4
2486,38,lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,WASHINGTON WIZARDS,WIN,1299,4,9,2,6,1,1,1,2,8,2,0,1,4,12.6,2020-01-17,107.1,100.2,12.4,113.9,101.4,12.3
2487,39,wiggian01,Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2048,9,17,2,3,2,3,1,1,4,0,0,3,4,12.5,2020-01-17,112.9,100.2,11.4,106.5,98.1,12.4
2488,40,anthoca01,Carmelo Anthony,PORTLAND TRAIL BLAZERS,AWAY,DALLAS MAVERICKS,LOSS,1925,8,16,1,4,5,6,1,4,0,0,0,2,3,12.3,2020-01-17,110.5,99.1,12.1,110.7,99.0,12.7
2489,41,cartevi01,Vince Carter,ATLANTA HAWKS,AWAY,SAN ANTONIO SPURS,WIN,1349,4,7,3,4,3,4,1,2,1,1,0,1,0,12.3,2020-01-17,113.9,103.9,14.3,111.2,98.3,11.0
2490,42,smithis01,Ish Smith,WASHINGTON WIZARDS,AWAY,TORONTO RAPTORS,LOSS,1894,5,9,2,2,0,1,0,4,8,1,0,3,0,12.1,2020-01-17,113.9,101.4,12.3,107.1,100.2,12.4
2491,43,lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,LOSS,2180,9,20,0,7,5,5,0,7,3,0,0,4,2,12.0,2020-01-17,113.2,99.0,12.7,110.0,101.6,12.9
2492,44,noelne01,Nerlens Noel,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,1269,4,6,1,1,1,1,2,4,0,1,3,0,3,11.9,2020-01-17,107.0,102.8,11.7,107.6,98.2,13.1
2493,45,crowdja01,Jae Crowder,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1819,3,8,1,6,2,3,0,8,3,3,0,0,0,11.7,2020-01-17,108.8,96.6,12.9,117.6,96.6,12.2
2494,46,napiesh01,Shabazz Napier,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,1799,4,8,2,4,2,2,0,2,9,1,0,3,3,11.7,2020-01-17,112.9,100.2,11.4,106.5,98.1,12.4
2495,47,paulch01,Chris Paul,OKLAHOMA CITY THUNDER,HOME,MIAMI HEAT,LOSS,2058,6,10,2,6,0,0,0,3,6,0,0,2,3,11.3,2020-01-17,107.0,102.8,11.7,107.6,98.2,13.1
2496,48,curryse01,Seth Curry,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1718,6,14,3,10,1,2,0,4,3,1,0,1,1,11.1,2020-01-17,110.7,99.0,12.7,110.5,99.1,12.1
2497,49,harrito02,Tobias Harris,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,WIN,2170,5,12,0,3,3,3,0,3,4,2,0,1,1,10.9,2020-01-17,110.0,101.6,12.9,113.2,99.0,12.7
2498,50,valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,WIN,1949,4,11,0,2,0,2,5,13,4,0,4,2,3,10.9,2020-01-17,108.8,96.6,12.9,117.6,96.6,12.2
2499,51,markkla01,Lauri Markkanen,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,LOSS,1728,5,9,2,5,0,0,1,3,1,2,1,2,0,10.7,2020-01-17,113.2,99.0,12.7,110.0,101.6,12.9
2500,52,brogdma01,Malcolm Brogdon,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1892,5,12,2,4,0,0,0,4,10,0,1,4,0,10.5,2020-01-17,106.5,98.1,12.4,112.9,100.2,11.4
2501,53,olynyke01,Kelly Olynyk,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,1065,5,5,1,1,1,2,1,6,2,0,0,2,4,10.4,2020-01-17,107.6,98.2,13.1,107.0,102.8,11.7
2502,54,kornelu01,Luke Kornet,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,LOSS,1665,4,10,2,8,3,5,1,2,2,1,2,1,2,10.1,2020-01-17,113.2,99.0,12.7,110.0,101.6,12.9
2503,55,leoname01,Meyers Leonard,MIAMI HEAT,AWAY,OKLAHOMA CITY THUNDER,WIN,889,3,4,2,2,1,1,1,2,2,0,0,0,0,10.1,2020-01-17,107.6,98.2,13.1,107.0,102.8,11.7
