,Unnamed: 0,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,Date,Team Defensive Rating,Team Pace,Team Turnover %,Opponent Defensive Rating,Opponent Pace,Opponent Turnover %
25,25,mcraejo01,Jordan McRae,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1866,4,12,2,6,5,6,0,7,1,1,0,2,0,9.6,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
26,26,browntr01,Troy Brown,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1698,5,12,1,2,3,4,2,5,1,1,0,2,1,9.4,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
27,27,okogijo01,Josh Okogie,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1570,3,8,1,3,5,8,1,3,1,2,0,1,1,9.3,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
28,28,rubiori01,Ricky Rubio,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1561,2,7,1,3,1,2,2,3,9,1,0,2,1,8.7,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
29,29,iwundwe01,Wesley Iwundu,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1321,4,7,0,1,2,2,1,5,1,1,0,1,3,8.4,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3
30,30,smithis01,Ish Smith,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1707,4,10,1,4,1,2,1,4,3,1,0,0,2,8.4,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
31,31,dienggo01,Gorgui Dieng,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1412,4,14,2,5,5,6,3,3,1,0,1,1,4,8.2,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
32,32,lopezbr01,Brook Lopez,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1858,5,12,0,5,1,3,0,4,3,1,6,3,4,7.7,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
33,33,bledser01,Eric Bledsoe,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1212,4,10,0,2,2,2,2,4,2,0,2,2,1,7.6,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
34,34,fournev01,Evan Fournier,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2255,7,16,2,6,2,3,0,4,0,2,1,4,4,7.5,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3
35,35,ilyaser01,Ersan İlyasova,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1011,1,6,0,2,5,5,1,4,3,0,1,0,1,7.5,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
36,36,mathega01,Garrison Mathews,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1022,2,4,1,3,5,5,1,0,1,0,0,1,3,7.2,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
37,37,bateske01,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1274,3,9,2,5,2,2,0,3,1,1,0,0,1,7.1,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
38,38,lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,2124,5,20,1,8,0,0,1,9,8,1,0,2,1,6.6,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4
39,39,bambamo01,Mohamed Bamba,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,912,3,6,1,3,0,0,0,6,1,0,1,0,2,6.4,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3
40,40,howardw01,Dwight Howard,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,949,3,6,0,0,2,6,3,1,0,1,0,0,1,6.4,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8
41,41,paytoel01,Elfrid Payton,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,1500,2,9,0,3,0,2,1,3,8,0,2,0,0,6.3,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1
42,42,culveja01,Jarrett Culver,MINNESOTA TIMBERWOLVES,AWAY,MILWAUKEE BUCKS,LOSS,1976,5,14,0,5,0,1,1,7,5,1,1,2,4,6.2,2020-01-01,112.9,100.2,11.4,105.2,103.3,12.0
43,43,middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1950,5,18,2,7,1,1,2,6,4,2,0,3,3,6.2,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
44,44,bullore01,Reggie Bullock,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,926,4,9,3,5,0,0,0,2,0,0,0,0,2,6.1,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1
45,45,mcgeeja01,JaVale McGee,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1169,1,3,0,0,1,2,2,1,4,1,3,1,4,5.9,2020-01-01,109.5,103.2,13.4,115.1,100.5,13.8
46,46,willijo04,Johnathan Williams,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,723,1,1,0,0,0,0,1,5,1,0,1,0,0,5.3,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
47,47,jeffeam01,Amile Jefferson,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,784,0,1,0,0,2,4,2,4,2,0,1,0,0,5.2,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3
48,48,bongais01,Isaac Bonga,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,759,1,1,1,1,1,2,0,1,1,1,1,0,3,4.8,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
