Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,26,14,16,15,10
BOS,21,12,11,5,21
BRO,15,2,18,20,30
CHA,4,17,28,27,5
CHI,10,15,8,25,26
CLE,18,27,5,26,27
DAL,12,7,2,18,9
DEN,6,19,17,19,2
DET,11,20,7,30,8
GSW,9,8,20,29,24
HOU,13,30,12,8,23
IND,20,9,21,22,18
LAC,17,18,3,6,3
LAL,7,6,6,12,11
MEM,14,23,19,28,16
MIA,1,13,10,16,14
MIL,19,5,24,23,15
MIN,29,26,26,21,22
NOP,28,24,29,13,19
NYK,2,11,1,2,4
OKL,25,22,27,11,12
ORL,30,29,22,10,6
PHI,5,10,13,9,1
PHX,3,1,4,4,17
POR,16,25,15,14,25
SAC,22,28,23,24,13
SAS,24,4,14,3,20
TOR,23,16,30,17,7
UTA,8,3,9,1,28
WAS,27,21,25,7,29
